source_id,target_id,relationship
,Statistics Canada,contributor
,,owl#imports
,"The 'all' ontology for BE (Reference Individuals with Examples) is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Business Entities (BE) domain, including all of FND, all of the BE reference individuals as well as a number of examples in FIBO production to date.",explanatoryNote
,FIBO+-+FCT+-+Business+Entities+Home,creator
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,agnos.ai UK Ltd.,contributor
,2023-01-27T18:00:00,modified
,2018-08-27T18:00:00,issued
,"The FIBO Business Entities (BE) Domain, which covers defines business concepts that are used for data governance, interoperability, and in regulatory reporting about business entities.

The business scope of the BE ontologies covers a range of business and legal entities that are considered by financial industry firms, regulators and other industry participants to be of relevance in the financial services domain, including:
 - Legal entities generally
 - Corporate structure, ownership and control, including primary executive roles for businesses,
 - Functional entities such as governments and government entities, non-governmental organizations, international organizations, not-for-profit organization, etc.
 - Concepts specific to corporations, partnerships, private limited companies, sole proprietorships, and trusts.
 
 This ontology is provided for the convenience of FIBO users, and enables loading of all of BE, including reference individuals as well as example business entities that are used in FIBO use cases and training.",abstract
,Bloomberg LP,contributor
,John F. Gemski,contributor
,"EDMC Financial Industry Business Ontology (FIBO) Business Entities (BE) Domain, Reference Individuals with Examples",title
,,owl#versionIRI
,Wells Fargo,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,"Business Entities Domain, Reference Individuals with Examples",rdf-schema#label
,Working Ontologist,contributor
,Office of Financial Research (US Dept of the Treasury),contributor
,Citigroup,contributor
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,Hypercube Ltd.,contributor
,Nordea Bank AB,contributor
,Credit Suisse,contributor
,"Pinnacle Bank (Morgan Hill, California)",contributor
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,Tahoe Blue Ltd,contributor
