source_id,target_id,relationship
,Statistics Canada,contributor
,,owl#imports
,FIBO+-+FCT+-+Business+Entities+Home,creator
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,"The 'all' ontology for BE (Reference Individuals) is provided for convenience for FIBO users. This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Business Entities (BE) domain, including all of FND, and all of the individual entities and jurisdictions in FIBO production.",explanatoryNote
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,2023-01-27T18:00:00,modified
,agnos.ai UK Ltd.,contributor
,2018-08-27T18:00:00,issued
,"This ontology provides metadata about the FIBO Business Entities (BE) Domain, which covers defines business concepts that are used for data governance, interoperability, and in regulatory reporting about business entities.

The business scope of the BE ontologies covers a range of business and legal entities that are considered by financial industry firms, regulators and other industry participants to be of relevance in the financial services domain, including:
 - Legal entities generally
 - Corporate structure, ownership and control, including primary executive roles for businesses,
 - Functional entities such as governments and government entities, non-governmental organizations, international organizations, not-for-profit organization, etc.
 - Concepts specific to corporations, partnerships, private limited companies, sole proprietorships, and trusts.",abstract
,Bloomberg LP,contributor
,John F. Gemski,contributor
,,owl#versionIRI
,Wells Fargo,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,Working Ontologist,contributor
,Office of Financial Research (US Dept of the Treasury),contributor
,Citigroup,contributor
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,Hypercube Ltd.,contributor
,Nordea Bank AB,contributor
,Credit Suisse,contributor
,"EDMC Financial Industry Business Ontology (FIBO) Business Entities (BE) Domain, Reference Individuals",title
,"Pinnacle Bank (Morgan Hill, California)",contributor
,"Business Entities Domain, Reference Individuals",rdf-schema#label
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,Tahoe Blue Ltd,contributor
