id,type,name
Nordea Bank AB,Entity,Nordea Bank AB
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Deutsche Bank,Entity,Deutsche Bank
agnos.ai UK Ltd.,Entity,agnos.ai UK Ltd.
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Hypercube Ltd.,Entity,Hypercube Ltd.
All Business Entities (BE) Domain,Entity,All Business Entities (BE) Domain
Statistics Canada,Entity,Statistics Canada
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
Wells Fargo,Entity,Wells Fargo
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
FIBO+-+FCT+-+Business+Entities+Home,Entity,FIBO+-+FCT+-+Business+Entities+Home
,Entity,
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
EDMC Financial Industry Business Ontology (FIBO) Business Entities (BE) Domain,Entity,EDMC Financial Industry Business Ontology (FIBO) Business Entities (BE) Domain
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
"This ontology provides metadata about the FIBO Business Entities (BE) Domain, which covers defines business concepts that are used for data governance, interoperability, and in regulatory reporting about business entities.

The business scope of the BE ontologies covers a range of business and legal entities that are considered by financial industry firms, regulators and other industry participants to be of relevance in the financial services domain, including:
 - Legal entities generally
 - Corporate structure, ownership and control, including primary executive roles for businesses,
 - Functional entities such as governments and government entities, non-governmental organizations, international organizations, not-for-profit organization, etc.
 - Concepts specific to corporations, partnerships, private limited companies, sole proprietorships, and trusts.",Entity,"This ontology provides metadata about the FIBO Business Entities (BE) Domain, which covers defines business concepts that are used for data governance, interoperability, and in regulatory reporting about business entities.

The business scope of the BE ontologies covers a range of business and legal entities that are considered by financial industry firms, regulators and other industry participants to be of relevance in the financial services domain, including:
 - Legal entities generally
 - Corporate structure, ownership and control, including primary executive roles for businesses,
 - Functional entities such as governments and government entities, non-governmental organizations, international organizations, not-for-profit organization, etc.
 - Concepts specific to corporations, partnerships, private limited companies, sole proprietorships, and trusts."
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
Working Ontologist,Entity,Working Ontologist
"The 'all' ontology for BE is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Business Entities (BE) domain, including all of FND but excluding individuals for governments and jurisdictions, and the related LCC region-specific ontologies.",Entity,"The 'all' ontology for BE is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Business Entities (BE) domain, including all of FND but excluding individuals for governments and jurisdictions, and the related LCC region-specific ontologies."
John F. Gemski,Entity,John F. Gemski
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
