source_id,target_id,relationship
ProvinceOfBritishColumbiaEntity,GovernmentOfBritishColumbia,isRepresentedBy
GovernmentOfNewBrunswick,government of New Brunswick,rdf-schema#label
CanadianEntity,Manitoba,hasSharedSovereigntyOver
ProvinceOfNewfoundlandAndLabradorJurisdiction,NewfoundlandAndLabrador,hasReach
ProvinceOfSaskatchewanJurisdiction,Saskatchewan,hasReach
ProvinceOfManitobaJurisdiction,GovernmentOfManitoba,isJurisdictionOf
ProvinceOfSaskatchewanJurisdiction,"individual representing the overall jurisdiction for the Canadian Province Of Saskatchewan, i.e., that of the Saskatchewan Court of Appeal, Court of Queen's Bench, and Provincial Court of Saskatchewan",core#definition
GovernmentOfNovaScotia,,rdf-schema#isDefinedBy
ProvinceOfNewBrunswickJurisdiction,index-e.asp,rdf-schema#seeAlso
GovernmentOfNewfoundlandAndLabrador,individual representing the regional government of the province of Newfoundland and Labrador,core#definition
ProvinceOfManitobaJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
NorthwestTerritoriesJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
ProvinceOfNewBrunswickJurisdiction,"individual representing the overall jurisdiction for the Canadian Province Of New Brunswick, i.e., that of the New Brunswick Court of Appeal, Court of Queen's Bench, and Provincial Court of New Brunswick",core#definition
ProvinceOfManitobaJurisdiction,province of Manitoba jurisdiction,rdf-schema#label
GovernmentOfNewfoundlandAndLabrador,index.html,rdf-schema#seeAlso
ProvinceOfNewBrunswickEntity,individual representing the regional sovereignty and polity that is the Canadian Province of New Brunswick,core#definition
,,owl#versionIRI
GovernmentOfNorthwestTerritories,government of Northwest Territories,rdf-schema#label
ProvinceOfOntarioJurisdiction,"individual representing the overall jurisdiction for the Canadian Province Of Ontario, i.e., that of the Ontario Superior and Provincial Court of Justice as well as Court of Appeals",core#definition
GovernmentOfNewfoundlandAndLabrador,NewfoundlandAndLabrador,governs
ProvinceOfQuebecEntity,Quebec,hasSharedSovereigntyOver
