source_id,target_id,relationship
GovernmentOfTheRepublicOfElSalvador,JurisdictionOfElSalvador,hasJurisdiction
GovernmentOfTheRepublicOfPanama,República de Panamá,rdf-schema#label
SalvadorianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfHonduras,Honduras,hasReach
NicaraguanEntity,"sovereign state and polity that is the largest country in the Central American isthmus, bordered by Honduras to the northwest, the Caribbean to the east, Costa Rica to the south, and the Pacific Ocean to the southwest",core#definition
JurisdictionOfPanama,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfPanama,Panama,governs
JurisdictionOfBelize,Belize,hasReach
GovernmentOfTheRepublicOfGuatemala,Government of the Republic of Guatemala,rdf-schema#label
GovernmentOfBelize,JurisdictionOfBelize,hasJurisdiction
JurisdictionOfGuatemala,jurisdiction of Guatemala,rdf-schema#label
JurisdictionOfBelize,GovernmentOfBelize,isJurisdictionOf
GovernmentOfTheRepublicOfCostaRica,unitary presidential constitutional republic known for its long-standing and stable democracy,core#definition
NicaraguanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfHonduras,República de Honduras,rdf-schema#label
PanamanianEntity,SovereignState,22-rdf-syntax-ns#type
JurisdictionOfCostaRica,GovernmentOfTheRepublicOfCostaRica,isJurisdictionOf
BelizeanEntity,sovereign state and polity that is a Caribbean country located on the northeastern coast of Central America,core#definition
JurisdictionOfElSalvador,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfHonduras,owl#NamedIndividual,22-rdf-syntax-ns#type
HonduranEntity,SovereignState,22-rdf-syntax-ns#type
SalvadorianEntity,Salvadorian entity,rdf-schema#label
GovernmentOfTheRepublicOfPanama,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfPanama,jurisdiction of Panama,rdf-schema#label
HonduranEntity,Honduran entity,rdf-schema#label
JurisdictionOfCostaRica,CostaRica,hasReach
GovernmentOfTheRepublicOfHonduras,Government of the Republic of Honduras,rdf-schema#label
JurisdictionOfPanama,"jurisdiction of the Panamanian judiciary, which is the system of courts that interprets and applies the law in Panama",core#definition
GovernmentOfTheRepublicOfNicaragua,Nicaragua,governs
HonduranEntity,GovernmentOfTheRepublicOfHonduras,isRepresentedBy
GovernmentOfTheRepublicOfCostaRica,JurisdictionOfCostaRica,hasJurisdiction
JurisdictionOfNicaragua,Nicaragua,hasReach
JurisdictionOfElSalvador,Jurisdiction,22-rdf-syntax-ns#type
GuatemalanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfNicaragua,República de Nicaragua,rdf-schema#label
GovernmentOfBelize,Government of Belize,rdf-schema#label
JurisdictionOfHonduras,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#imports
GovernmentOfTheRepublicOfElSalvador,"Unitary presidential, constitutional and representative democratic republic whose president is both head of state and head of government",core#definition
JurisdictionOfCostaRica,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfHonduras,JurisdictionOfHonduras,hasJurisdiction
JurisdictionOfElSalvador,jurisdiction of ElSalvador,rdf-schema#label
JurisdictionOfNicaragua,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfCostaRica,República de Costa Rica,rdf-schema#label
,CentralAmericanGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
GovernmentOfTheRepublicOfNicaragua,JurisdictionOfNicaragua,hasJurisdiction
,,owl#versionIRI
BelizeanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GuatemalanEntity,GovernmentOfTheRepublicOfGuatemala,isRepresentedBy
GovernmentOfBelize,Belize,governs
,owl#Ontology,22-rdf-syntax-ns#type
HonduranEntity,"sovereign state and polity that is a Central American country bordered to the west by Guatemala, to the southwest by El Salvador, to the southeast by Nicaragua, to the south by the Pacific Ocean at the Gulf of Fonseca, and to the north by the Gulf of Honduras, a large inlet of the Caribbean Sea",core#definition
JurisdictionOfCostaRica,Jurisdiction,22-rdf-syntax-ns#type
PanamanianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
PanamanianEntity,Panamanian entity,rdf-schema#label
GovernmentOfTheRepublicOfGuatemala,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfCostaRica,owl#NamedIndividual,22-rdf-syntax-ns#type
HonduranEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GuatemalanEntity,"sovereign state and polity that is a Central American country bordered by Mexico to the north and west, Belize and the Caribbean to the northeast, Honduras to the east, El Salvador to the southeast and the Pacific Ocean to the south",core#definition
,"CentralAmericanGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
CostaRicanEntity,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfGuatemala,JurisdictionOfGuatemala,hasJurisdiction
GovernmentOfTheRepublicOfHonduras,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfBelize,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfCostaRica,CostaRica,governs
JurisdictionOfNicaragua,"jurisdiction of the judiciary of Nicaragua, which is the system of courts that interprets and applies the law in Nicaragua",core#definition
GuatemalanEntity,Guatemalan entity,rdf-schema#label
JurisdictionOfElSalvador,"jurisdiction of the Salvadorian judiciary, headed by the Supreme Court, which is composed of 15 judges, one of them being elected as President of the Judiciary",core#definition
JurisdictionOfHonduras,"jurisdiction of the judiciary of Honduras, which is the system of courts that interprets and applies the law in Honduras",core#definition
JurisdictionOfElSalvador,GovernmentOfTheRepublicOfElSalvador,isJurisdictionOf
GovernmentOfTheRepublicOfElSalvador,ElSalvador,governs
PanamanianEntity,Panama,hasFullSovereigntyOver
GovernmentOfBelize,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfBelize,Jurisdiction,22-rdf-syntax-ns#type
JurisdictionOfBelize,jurisdiction of Belize,rdf-schema#label
GovernmentOfTheRepublicOfGuatemala,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfBelize,"unitary parliamentary constitutional monarchy, with the queen (Elizabeth II) as head of state represented locally by a governor-general",core#definition
,The initial version of this ontology reflects the highest national level only.,core#scopeNote
GovernmentOfTheRepublicOfElSalvador,owl#NamedIndividual,22-rdf-syntax-ns#type
,"Copyright (c) 2020-2023 Object Management Group, Inc.",copyright
GovernmentOfTheRepublicOfPanama,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfElSalvador,Government of the Republic of El Salvador,rdf-schema#label
BelizeanEntity,GovernmentOfBelize,isRepresentedBy
JurisdictionOfBelize,"jurisdiction of the Supreme Court and Court of Appeals in Belize, with the Caribbean Court of Justice as the highest level of appeal for certain cases",core#definition
BelizeanEntity,Belizean entity,rdf-schema#label
GovernmentOfTheRepublicOfGuatemala,República de Guatemala,rdf-schema#label
SalvadorianEntity,ElSalvador,hasFullSovereigntyOver
JurisdictionOfCostaRica,"jurisdiction of the judiciary of Costa Rica, which is the system of courts that interprets and applies the law in Costa Rica",core#definition
GovernmentOfTheRepublicOfGuatemala,Guatemala,governs
,"Copyright (c) 2020-2023 EDM Council, Inc.",copyright
NicaraguanEntity,GovernmentOfTheRepublicOfNicaragua,isRepresentedBy
GovernmentOfTheRepublicOfPanama,"Unitary presidential, constitutional and representative democratic republic whose president is both head of state and head of government",core#definition
GuatemalanEntity,Guatemala,hasFullSovereigntyOver
JurisdictionOfElSalvador,ElSalvador,hasReach
CostaRicanEntity,CostaRica,hasFullSovereigntyOver
JurisdictionOfPanama,Panama,hasReach
JurisdictionOfPanama,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfHonduras,presidential representative democratic republic whose president is both head of state and head of government,core#definition
CostaRicanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
,This ontology provides the set of basic government-level entities and jurisdictions for independent countries identified as part of Central America in the U.N. M49 classification.,abstract
BelizeanEntity,Belize,hasFullSovereigntyOver
HonduranEntity,Honduras,hasFullSovereigntyOver
GovernmentOfTheRepublicOfCostaRica,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfGuatemala,unitary presidential and democratic republic that is the most populous country in Central America,core#definition
GovernmentOfTheRepublicOfNicaragua,Unitary dominant-party presidential constitutional republic whose president is both head of state and head of government,core#definition
GovernmentOfTheRepublicOfNicaragua,NationalGovernment,22-rdf-syntax-ns#type
BelizeanEntity,SovereignState,22-rdf-syntax-ns#type
JurisdictionOfGuatemala,Jurisdiction,22-rdf-syntax-ns#type
JurisdictionOfGuatemala,Guatemala,hasReach
SalvadorianEntity,SovereignState,22-rdf-syntax-ns#type
CostaRicanEntity,"sovereign state and polity that is a Central American country bordered by Nicaragua to the north, the Caribbean Sea to the northeast, Panama to the southeast, the Pacific Ocean to the southwest, and Ecuador to the south of Cocos Island",core#definition
JurisdictionOfCostaRica,jurisdiction of Costa Rica,rdf-schema#label
JurisdictionOfGuatemala,"jurisdiction of the judiciary of Guatemala, which is the system of courts that interprets and applies the law in Guatemala",core#definition
,Release,hasMaturityLevel
,Central American Government Entities and Jurisdictions Ontology,rdf-schema#label
PanamanianEntity,"sovereign state and polity that is a transcontinental country in Central America and South America, bordered by Costa Rica to the west, Colombia to the southeast, the Caribbean Sea to the north, and the Pacific Ocean to the south",core#definition
NicaraguanEntity,Nicaragua,hasFullSovereigntyOver
,MIT,license
SalvadorianEntity,GovernmentOfTheRepublicOfElSalvador,isRepresentedBy
PanamanianEntity,GovernmentOfTheRepublicOfPanama,isRepresentedBy
GovernmentOfTheRepublicOfHonduras,Honduras,governs
JurisdictionOfGuatemala,GovernmentOfTheRepublicOfGuatemala,isJurisdictionOf
GovernmentOfTheRepublicOfPanama,JurisdictionOfPanama,hasJurisdiction
NicaraguanEntity,SovereignState,22-rdf-syntax-ns#type
NicaraguanEntity,Nicaraguan entity,rdf-schema#label
GovernmentOfTheRepublicOfNicaragua,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfElSalvador,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfBelize,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfGuatemala,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfHonduras,Jurisdiction,22-rdf-syntax-ns#type
SalvadorianEntity,"sovereign state and polity that is bordered on the northeast by Honduras, on the northwest by Guatemala, and on the south by the Pacific Ocean",core#definition
JurisdictionOfHonduras,jurisdiction of Honduras,rdf-schema#label
JurisdictionOfHonduras,GovernmentOfTheRepublicOfHonduras,isJurisdictionOf
JurisdictionOfNicaragua,GovernmentOfTheRepublicOfNicaragua,isJurisdictionOf
GovernmentOfTheRepublicOfCostaRica,Government of the Republic of Costa Rica,rdf-schema#label
JurisdictionOfPanama,GovernmentOfTheRepublicOfPanama,isJurisdictionOf
CostaRicanEntity,Costa Rican entity,rdf-schema#label
JurisdictionOfNicaragua,Jurisdiction,22-rdf-syntax-ns#type
JurisdictionOfNicaragua,jurisdiction of Nicaragua,rdf-schema#label
GovernmentOfTheRepublicOfPanama,Government of the Republic of Panama,rdf-schema#label
CostaRicanEntity,GovernmentOfTheRepublicOfCostaRica,isRepresentedBy
GovernmentOfTheRepublicOfElSalvador,República de El Salvador,rdf-schema#label
GovernmentOfTheRepublicOfNicaragua,Government of the Republic of Nicaragua,rdf-schema#label
GuatemalanEntity,SovereignState,22-rdf-syntax-ns#type
