source_id,target_id,relationship
isSubsidiaryOf,Subsidiary,rdf-schema#domain
isControllingAffiliateOf,ControlledAffiliate,rdf-schema#range
hasGlobalUltimateParent,"consensus definition of ultimate parent, with the split between domestic and global parent",adaptedFrom
Subsidiary,owl#Class,22-rdf-syntax-ns#type
hasControllingAffiliate,owl#ObjectProperty,22-rdf-syntax-ns#type
isWhollyOwnedBy,LegalEntity,rdf-schema#domain
isControllingAffiliateOf,is controlling affiliate of,rdf-schema#label
Affiliate,affiliate,rdf-schema#label
isParentCompanyOf,indicates a controlled affiliate that it owns at least 50 percent of,core#definition
GlobalUltimateParent,party that is recognized as the ultimate parent of a given organization world-wide,core#definition
Subsidiary,ControlledAffiliate,rdf-schema#subClassOf
isSubsidiaryOf,ControllingAffiliate,rdf-schema#range
SignificantShareholder,owl#Class,22-rdf-syntax-ns#type
hasDomesticUltimateParent,has domestic ultimate parent,rdf-schema#label
ControllingAffiliate,Affiliate,rdf-schema#subClassOf
N374a573936d2402d86982486599187c1,ControlledAffiliate,owl#someValuesFrom
isWhollyOwnedBy,N5f5417acce5044f1a2c80a24b6f788b5,owl#propertyChainAxiom
N76c1136814c34ae9805210e1a379bdd9,LegalEntity,owl#allValuesFrom
VotingShareholder,owl#Class,22-rdf-syntax-ns#type
Affiliate,owl#Class,22-rdf-syntax-ns#type
isWhollyOwnedBy,relates a legal entity to a party that has 100 percent ownership and control over it,core#definition
Affiliation,affiliation,rdf-schema#label
hasAffiliate,has affiliate,rdf-schema#label
N0b31ff71007845bbb0346a6d53958679,JointVenture,owl#someValuesFrom
hasAffiliate,Affiliate,rdf-schema#range
TotalControllingInterestParty,owl#Class,22-rdf-syntax-ns#type
isAffiliateOf,owl#SymmetricProperty,22-rdf-syntax-ns#type
Nf63780d4aa35426b8eb6cfc4e4a6a71c,MajorityControllingParty,22-rdf-syntax-ns#first
,"CorporateControl.rdf version of this ontology was modified per the FIBO 2.0 RFC to add missing definitions and labels, eliminate references to BusinessFacingTypes, replace min 1 QCRs with someValuesFrom, address other hygiene issues, and limit the burden of certain restrictions, such as those on stock corporation, for typical applications.",core#changeNote
Subsidiary,legal entity that is entirely or majority owned and controlled by another legal entity,core#definition
hasSubsidiary,relates a legal entity to another organization that it owns at least 50 percent of,core#definition
isControllingAffiliateOf,ControllingAffiliate,rdf-schema#domain
,CorporateControl.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
isWhollyOwnedBy,owl#ObjectProperty,22-rdf-syntax-ns#type
isControllingAffiliateOf,owl#ObjectProperty,22-rdf-syntax-ns#type
SignificantShareholder,"Note that the concept of significance varies depending on the jurisdiction, and particularly with respect to reporting requirements. For example, in some cases, three (3) percent ownership of any class or series of shares is considered significant, and in others it means more than five or ten percent of the total combined voting power across all classes of securities.",explanatoryNote
DomesticUltimateParent,domestic ultimate parent,rdf-schema#label
ControllingAffiliate,MajorityControllingParty,rdf-schema#subClassOf
hasControllingAffiliate,isAffectedBy,rdf-schema#subPropertyOf
N8673430ed2bf4e13b8f51f317783f1b6,ControlledParty,22-rdf-syntax-ns#first
