id,type,name
CorporateOwnership.rdf version of this ontology was modified per the FIBO 2.0 RFC to reference shareholders' equity in the definition of a shareholder.,Entity,CorporateOwnership.rdf version of this ontology was modified per the FIBO 2.0 RFC to reference shareholders' equity in the definition of a shareholder.
isHeldBy,Entity,isHeldBy
"CorporateOwnership.rdf version of this ontology was modified to replace isEquityHeldBy with its parent, isHeldBy, eliminate redundant classes that were not used anywhere, and clean up a few definitions to be less ambiguous, not circular, and to conform with ISO 704.",Entity,"CorporateOwnership.rdf version of this ontology was modified to replace isEquityHeldBy with its parent, isHeldBy, eliminate redundant classes that were not used anywhere, and clean up a few definitions to be less ambiguous, not circular, and to conform with ISO 704."
has beneficial owner,Entity,has beneficial owner
CorporateOwnership.rdf version of this ontology was modified to modify the inheritance hierarchy for beneficial owner to replace owner with controlling party as one of its parent classes.,Entity,CorporateOwnership.rdf version of this ontology was modified to modify the inheritance hierarchy for beneficial owner to replace owner with controlling party as one of its parent classes.
"The National Credit Union Administration (NCUA) defines a 'beneficial owner' as (1) a single individual with significant responsibility to control, manage or direct a legal entity customer, or (2) each individual, if any, who, directly or indirectly, through any contract, arrangement, understanding, relationship or otherwise, owns 25 percent or more of the equity interests of a legal entity customer; if a trust owns directly or indirectly, through any contract, arrangement, understanding, relationship or otherwise, 25 percent or more of the equity interests of a legal entity customer, the beneficial owner is the trustee.",Entity,"The National Credit Union Administration (NCUA) defines a 'beneficial owner' as (1) a single individual with significant responsibility to control, manage or direct a legal entity customer, or (2) each individual, if any, who, directly or indirectly, through any contract, arrangement, understanding, relationship or otherwise, owns 25 percent or more of the equity interests of a legal entity customer; if a trust owns directly or indirectly, through any contract, arrangement, understanding, relationship or otherwise, 25 percent or more of the equity interests of a legal entity customer, the beneficial owner is the trustee."
CorporateOwnership.rdf version of this ontology was modified to generalize the definition of beneficial owner rather than limiting it to shareholding and eliminate a duplicate restriction on shareholder.,Entity,CorporateOwnership.rdf version of this ontology was modified to generalize the definition of beneficial owner rather than limiting it to shareholding and eliminate a duplicate restriction on shareholder.
BeneficialOwnership,Entity,BeneficialOwnership
Beneficial_ownership#Financial_Action_Task_Force_on_Money_Laundering_(FATF),Entity,Beneficial_ownership#Financial_Action_Task_Force_on_Money_Laundering_(FATF)
Nbdc6e28f109a40d3ab5c4098348e9430,Entity,Nbdc6e28f109a40d3ab5c4098348e9430
beneficial owner,Entity,beneficial owner
beneficial-ownership-requirements-legal-entity-customers-overview,Entity,beneficial-ownership-requirements-legal-entity-customers-overview
Counterparty,Entity,Counterparty
control situation linking something at least one beneficial owner,Entity,control situation linking something at least one beneficial owner
CorporateOwnership.rdf version of this ontology was modified per the issue resolutions identified in the FIBO BE 1.0 FTF report.,Entity,CorporateOwnership.rdf version of this ontology was modified per the issue resolutions identified in the FIBO BE 1.0 FTF report.
isBeneficialOwnerOf,Entity,isBeneficialOwnerOf
ConstitutionalOwner,Entity,ConstitutionalOwner
hasBeneficialOwner,Entity,hasBeneficialOwner
Beneficiary,Entity,Beneficiary
beneficial ownership,Entity,beneficial ownership
N4698a734382348779305d47efe4cc69c,Entity,N4698a734382348779305d47efe4cc69c
hasPartyInControl,Entity,hasPartyInControl
owl#Restriction,Entity,owl#Restriction
indicates the party that retains rights in the asset they control in a beneficial ownership situation,Entity,indicates the party that retains rights in the asset they control in a beneficial ownership situation
shareholding,Entity,shareholding
ControlledThing,Entity,ControlledThing
"This ontology defines concepts relating to corporation-specific ownership. Roles are defined in terms of the ownership enjoyed by the party, and are the specific examples of these concepts as they apply to companies incorporated by the issuance of shares.",Entity,"This ontology defines concepts relating to corporation-specific ownership. Roles are defined in terms of the ownership enjoyed by the party, and are the specific examples of these concepts as they apply to companies incorporated by the issuance of shares."
"The legal power of a shareholder varies in proportion to their shareholding. Typically, ten percent and below stockholding provides no protection. Fifteen percent stockholding may give the power to petition courts against changing the shares class rights. Up to 49.9 percent stockholding normally gives power to demand calling of an extraordinary general meeting. Fifty percent and over stockholding gives power to fire a director and force out minority stockholders by acquiring their shares as per the rules of the firm. Holder of 75 percent of the stock has the power to change the articles and memorandum of association and the firms name, reduce the share capital, allow the firm to buy its own shares from other stockholders, and to shut down the business. One hundred percent stockholding of course gives total power under the corporate legislation.",Entity,"The legal power of a shareholder varies in proportion to their shareholding. Typically, ten percent and below stockholding provides no protection. Fifteen percent stockholding may give the power to petition courts against changing the shares class rights. Up to 49.9 percent stockholding normally gives power to demand calling of an extraordinary general meeting. Fifty percent and over stockholding gives power to fire a director and force out minority stockholders by acquiring their shares as per the rules of the firm. Holder of 75 percent of the stock has the power to change the articles and memorandum of association and the firms name, reduce the share capital, allow the firm to buy its own shares from other stockholders, and to shut down the business. One hundred percent stockholding of course gives total power under the corporate legislation."
or the natural person on whose behalf a transaction is being conducted. It also includes those persons who exercise ultimate effective control over a legal person or arrangement.,Entity,or the natural person on whose behalf a transaction is being conducted. It also includes those persons who exercise ultimate effective control over a legal person or arrangement.
CorporateOwnership.rdf version of this ontology was revised to eliminate references to external dictionary sites that no longer resolve.,Entity,CorporateOwnership.rdf version of this ontology was revised to eliminate references to external dictionary sites that no longer resolve.
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
Shareholding,Entity,Shareholding
Shareholder,Entity,Shareholder
Corporate Ownership Ontology,Entity,Corporate Ownership Ontology
Release,Entity,Release
,Entity,
owl#ObjectProperty,Entity,owl#ObjectProperty
involvesControlledThing,Entity,involvesControlledThing
party that enjoys the benefits of ownership (such as receipt of income) of something even though its ownership (title) may be in the name of another party (called a nominee or registered owner),Entity,party that enjoys the benefits of ownership (such as receipt of income) of something even though its ownership (title) may be in the name of another party (called a nominee or registered owner)
LegallyCompetentNaturalPerson,Entity,LegallyCompetentNaturalPerson
is beneficial owner of,Entity,is beneficial owner of
1,Entity,1
owl#Class,Entity,owl#Class
financial asset that takes the form of shares considered as a unit,Entity,financial asset that takes the form of shares considered as a unit
hasControllingParty,Entity,hasControllingParty
"Beneficial ownership may be shared among a group of individuals. If a beneficial owner acquires a position of more than 5 percent in the United States, it must file Schedule 13D or 13G under Section 12 of the Securities Exchange Act of 1934.",Entity,"Beneficial ownership may be shared among a group of individuals. If a beneficial owner acquires a position of more than 5 percent in the United States, it must file Schedule 13D or 13G under Section 12 of the Securities Exchange Act of 1934."
isPlayedBy,Entity,isPlayedBy
CorporateOwnership.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,CorporateOwnership.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
"Copyright (c) 2013-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2023 Object Management Group, Inc."
"indicates an asset in which the beneficial owner holds rights (typically voting rights, management rights, etc.) in a beneficial ownership situation",Entity,"indicates an asset in which the beneficial owner holds rights (typically voting rights, management rights, etc.) in a beneficial ownership situation"
FinancialAsset,Entity,FinancialAsset
CorporateOwnership.rdf version of this ontology was revised to simplify the contract party hierarchy and add concepts related to beneficial ownership.,Entity,CorporateOwnership.rdf version of this ontology was revised to simplify the contract party hierarchy and add concepts related to beneficial ownership.
stockholder,Entity,stockholder
isPartyControlling,Entity,isPartyControlling
CorporateOwnership.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,CorporateOwnership.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
BeneficialOwner,Entity,BeneficialOwner
owl#Ontology,Entity,owl#Ontology
"The shares represent an ownership interest in a corporation, mutual fund, or partnership, or a unit of ownership in a structured product, such as a real estate investment trust.",Entity,"The shares represent an ownership interest in a corporation, mutual fund, or partnership, or a unit of ownership in a structured product, such as a real estate investment trust."
N0832de82442747919b83449ef7c19187,Entity,N0832de82442747919b83449ef7c19187
ControllingParty,Entity,ControllingParty
Nde126a95bc1c44df8d94a1621b5f69a6,Entity,Nde126a95bc1c44df8d94a1621b5f69a6
"From World Bank Report: In identifying the beneficial owner, the focus should be on two factors: the control exercised and the benefit derived. Control of a corporate vehicle will always depend on context, as control can be exercised in many different ways, including through ownership, contractually or informally.",Entity,"From World Bank Report: In identifying the beneficial owner, the focus should be on two factors: the control exercised and the benefit derived. Control of a corporate vehicle will always depend on context, as control can be exercised in many different ways, including through ownership, contractually or informally."
