source_id,target_id,relationship
GovernmentOfTheEuropeanUnion,Denmark,governs
EuropeanUnionJurisdiction,Croatia,hasReach
,European Government Entities and Jurisdictions Ontology,rdf-schema#label
,"EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
EuropeanUnionJurisdiction,Hungary,hasReach
EuropeanUnionEntity,Cyprus,hasSharedSovereigntyOver
EuropeanUnionEntity,Slovenia,hasSharedSovereigntyOver
GovernmentOfTheEuropeanUnion,Sweden,governs
GovernmentOfTheEuropeanUnion,Bulgaria,governs
EuropeanUnionEntity,Italy,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Cyprus,hasReach
EuropeanUnionEntity,Czechia,hasSharedSovereigntyOver
EuropeanUnionEntity,Bulgaria,hasSharedSovereigntyOver
GovernmentOfTheEuropeanUnion,Slovakia,governs
EuropeanUnionJurisdiction,Greece,hasReach
GovernmentOfTheEuropeanUnion,Belgium,governs
EuropeanUnionJurisdiction,Romania,hasReach
EuropeanUnionJurisdiction,Sweden,hasReach
EuropeanUnionEntity,GovernmentOfTheEuropeanUnion,isRepresentedBy
EuropeanUnionEntity,Lithuania,hasSharedSovereigntyOver
,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the UK from coverage by the EU jurisdiction and replace references to the Czech Republic with Czechia.,core#changeNote
EuropeanUnionJurisdiction,Luxembourg,hasReach
,This ontology provides the set of basic European Union specific government level entities and jurisdictions for use in other FIBO ontologies.,abstract
,"Copyright (c) 2016-2023 Object Management Group, Inc.",copyright
GovernmentOfTheEuropeanUnion,Portugal,governs
EuropeanUnionEntity,France,hasSharedSovereigntyOver
EuropeanUnionEntity,Belgium,hasSharedSovereigntyOver
,,owl#imports
EuropeanUnionJurisdiction,Finland,hasReach
GovernmentOfTheEuropeanUnion,Government,22-rdf-syntax-ns#type
GovernmentOfTheEuropeanUnion,Romania,governs
,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to address text formatting hygiene issues.,core#changeNote
EuropeanUnionEntity,Austria,hasSharedSovereigntyOver
GovernmentOfTheEuropeanUnion,Estonia,governs
GovernmentOfTheEuropeanUnion,"individual representing the parliament, council, and other institutions that comprise the government of the European Union",core#definition
EuropeanUnionEntity,individual representing the federated sovereignty and polity that is the European Union,core#definition
EuropeanUnionEntity,Portugal,hasSharedSovereigntyOver
EuropeanUnionEntity,Germany,hasSharedSovereigntyOver
,,owl#versionIRI
EuropeanUnionEntity,Malta,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Netherlands,hasReach
,owl#Ontology,22-rdf-syntax-ns#type
GovernmentOfTheEuropeanUnion,Spain,governs
,"Copyright (c) 2016-2023 EDM Council, Inc.",copyright
EuropeanUnionEntity,Estonia,hasSharedSovereigntyOver
GovernmentOfTheEuropeanUnion,Lithuania,governs
EuropeanUnionEntity,Ireland,hasSharedSovereigntyOver
GovernmentOfTheEuropeanUnion,"In the EU's unique institutional set-up:
- the EU's broad priorities are set by the European Council, which brings together national and EU-level leaders directly elected MEPs represent European citizens in the European Parliament
- the interests of the EU as a whole are promoted by the European Commission, whose members are appointed by national governments
- governments defend their own country's national interests in the Council of the European Union.",explanatoryNote
EuropeanUnionJurisdiction,Czechia,hasReach
EuropeanUnionJurisdiction,Estonia,hasReach
EuropeanUnionJurisdiction,Jurisdiction,22-rdf-syntax-ns#type
EuropeanUnionJurisdiction,Latvia,hasReach
GovernmentOfTheEuropeanUnion,France,governs
EuropeanUnionJurisdiction,Spain,hasReach
GovernmentOfTheEuropeanUnion,countries_en,adaptedFrom
GovernmentOfTheEuropeanUnion,Czechia,governs
EuropeanUnionJurisdiction,Lithuania,hasReach
GovernmentOfTheEuropeanUnion,Germany,governs
GovernmentOfTheEuropeanUnion,Slovenia,governs
GovernmentOfTheEuropeanUnion,Latvia,governs
GovernmentOfTheEuropeanUnion,Italy,governs
EuropeanUnionJurisdiction,France,hasReach
GovernmentOfTheEuropeanUnion,Ireland,governs
EuropeanUnionJurisdiction,Slovakia,hasReach
EuropeanUnionJurisdiction,Belgium,hasReach
GovernmentOfTheEuropeanUnion,Poland,governs
EuropeanUnionEntity,Greece,hasSharedSovereigntyOver
EuropeanUnionEntity,Romania,hasSharedSovereigntyOver
EuropeanUnionEntity,Sweden,hasSharedSovereigntyOver
EuropeanUnionEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
EuropeanUnionEntity,Luxembourg,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Portugal,hasReach
EuropeanUnionJurisdiction,Slovenia,hasReach
,EUGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
EuropeanUnionJurisdiction,GovernmentOfTheEuropeanUnion,isJurisdictionOf
EuropeanUnionJurisdiction,European Union jurisdiction,rdf-schema#label
EuropeanUnionJurisdiction,Malta,hasReach
EuropeanUnionEntity,Poland,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Italy,hasReach
EuropeanUnionEntity,Finland,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,"individual representing the overall jurisdiction for the European Union, namely, that of the Court of Justice of the EU and Court of Auditors of the EU",core#definition
GovernmentOfTheEuropeanUnion,owl#NamedIndividual,22-rdf-syntax-ns#type
EuropeanUnionEntity,Croatia,hasSharedSovereigntyOver
EuropeanUnionEntity,Hungary,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Bulgaria,hasReach
,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the unnecessary imports.,core#changeNote
EuropeanUnionJurisdiction,Ireland,hasReach
GovernmentOfTheEuropeanUnion,Austria,governs
GovernmentOfTheEuropeanUnion,Greece,governs
,Release,hasMaturityLevel
EuropeanUnionEntity,Netherlands,hasSharedSovereigntyOver
EuropeanUnionEntity,European Union entity,rdf-schema#label
,MIT,license
EuropeanUnionJurisdiction,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheEuropeanUnion,EuropeanUnionJurisdiction,hasJurisdiction
EuropeanUnionJurisdiction,countries_en,adaptedFrom
GovernmentOfTheEuropeanUnion,Malta,governs
GovernmentOfTheEuropeanUnion,Luxembourg,governs
EuropeanUnionEntity,Denmark,hasSharedSovereigntyOver
EuropeanUnionEntity,countries_en,rdf-schema#seeAlso
EuropeanUnionJurisdiction,Denmark,hasReach
GovernmentOfTheEuropeanUnion,Finland,governs
EuropeanUnionEntity,Latvia,hasSharedSovereigntyOver
EuropeanUnionJurisdiction,Austria,hasReach
EuropeanUnionEntity,Spain,hasSharedSovereigntyOver
