id,type,name
Jurisdiction,Entity,Jurisdiction
Finland,Entity,Finland
European Union jurisdiction,Entity,European Union jurisdiction
EuropeanUnionJurisdiction,Entity,EuropeanUnionJurisdiction
Ireland,Entity,Ireland
GovernmentOfTheEuropeanUnion,Entity,GovernmentOfTheEuropeanUnion
"In the EU's unique institutional set-up:
- the EU's broad priorities are set by the European Council, which brings together national and EU-level leaders directly elected MEPs represent European citizens in the European Parliament
- the interests of the EU as a whole are promoted by the European Commission, whose members are appointed by national governments
- governments defend their own country's national interests in the Council of the European Union.",Entity,"In the EU's unique institutional set-up:
- the EU's broad priorities are set by the European Council, which brings together national and EU-level leaders directly elected MEPs represent European citizens in the European Parliament
- the interests of the EU as a whole are promoted by the European Commission, whose members are appointed by national governments
- governments defend their own country's national interests in the Council of the European Union."
"individual representing the overall jurisdiction for the European Union, namely, that of the Court of Justice of the EU and Court of Auditors of the EU",Entity,"individual representing the overall jurisdiction for the European Union, namely, that of the Court of Justice of the EU and Court of Auditors of the EU"
"EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
Lithuania,Entity,Lithuania
Cyprus,Entity,Cyprus
Germany,Entity,Germany
Government,Entity,Government
Hungary,Entity,Hungary
Government of the European Union,Entity,Government of the European Union
Italy,Entity,Italy
Slovenia,Entity,Slovenia
Portugal,Entity,Portugal
Austria,Entity,Austria
Greece,Entity,Greece
owl#NamedIndividual,Entity,owl#NamedIndividual
Sweden,Entity,Sweden
Romania,Entity,Romania
,Entity,
Release,Entity,Release
"Copyright (c) 2016-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2016-2023 Object Management Group, Inc."
Luxembourg,Entity,Luxembourg
EuropeanUnionEntity,Entity,EuropeanUnionEntity
Netherlands,Entity,Netherlands
Slovakia,Entity,Slovakia
Czechia,Entity,Czechia
Denmark,Entity,Denmark
countries_en,Entity,countries_en
EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the unnecessary imports.,Entity,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the unnecessary imports.
Poland,Entity,Poland
"individual representing the parliament, council, and other institutions that comprise the government of the European Union",Entity,"individual representing the parliament, council, and other institutions that comprise the government of the European Union"
Croatia,Entity,Croatia
individual representing the federated sovereignty and polity that is the European Union,Entity,individual representing the federated sovereignty and polity that is the European Union
France,Entity,France
EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to address text formatting hygiene issues.,Entity,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to address text formatting hygiene issues.
SupranationalEntity,Entity,SupranationalEntity
owl#Ontology,Entity,owl#Ontology
Belgium,Entity,Belgium
Malta,Entity,Malta
European Union entity,Entity,European Union entity
Estonia,Entity,Estonia
Latvia,Entity,Latvia
European Government Entities and Jurisdictions Ontology,Entity,European Government Entities and Jurisdictions Ontology
MIT,Entity,MIT
EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the UK from coverage by the EU jurisdiction and replace references to the Czech Republic with Czechia.,Entity,EUGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to remove the UK from coverage by the EU jurisdiction and replace references to the Czech Republic with Czechia.
EUGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,EUGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Bulgaria,Entity,Bulgaria
Spain,Entity,Spain
This ontology provides the set of basic European Union specific government level entities and jurisdictions for use in other FIBO ontologies.,Entity,This ontology provides the set of basic European Union specific government level entities and jurisdictions for use in other FIBO ontologies.
"Copyright (c) 2016-2023 EDM Council, Inc.",Entity,"Copyright (c) 2016-2023 EDM Council, Inc."
