source_id,target_id,relationship
hasVestedInIt,DelegatedLegalAuthority,rdf-schema#range
ArticlesOfIncorporation,articles of incorporation,rdf-schema#label
N1f526957d78746eda969623903899aed,isConferredBy,owl#onProperty
isAuthorizedThrough,undergoes,rdf-schema#subPropertyOf
hasResponsibility,Party,rdf-schema#domain
Ndeb2cb0b9e1e474da247a329def395d9,owl#Restriction,22-rdf-syntax-ns#type
N69de69fe3fb8433eb86ecff721d89f53,hasCapacity,owl#onProperty
CorporateOfficer,"Note that in most cases in the United States, corporate officers, especially those with signatory capacity and other fiduciary responsibilities must be employees, especially with respect to financial institutions and other highly regulated domains. There are cases, however, when an independent contractor or professional services provider may play the role of a corporate officer, such as a 'CFO for hire', which is a common practice in start-up organizations.",explanatoryNote
hasDirector,indicates a member of the board of directors of the organization,core#definition
BoardMember,"party that has fiduciary responsibility with respect to the organization, including but not limited to determining and executing corporate policy",core#definition
N476d55c451284bca89afb6e720b3e438,isGovernedBy,owl#onProperty
,Executives.rdf version of this ontology was modified per the issue resolutions identified in the FIBO BE 1.0 FTF report.,core#changeNote
,Executives.rdf version of the ontology was modified to fix spelling errors.,core#changeNote
N9a03819b5cca4ea8b3cf049afe278392,isPlayedBy,owl#onProperty
hasSigningAuthorityFor,Signatory,rdf-schema#domain
N35bb39a3c8434a54859089d01e2351cd,owl#Restriction,22-rdf-syntax-ns#type
VotingShareholder,owl#Class,22-rdf-syntax-ns#type
Ndeb2cb0b9e1e474da247a329def395d9,LegallyCompetentNaturalPerson,owl#allValuesFrom
Nbf8e72420f0b4dd1bd43b74d9b72dd42,authorizesThrough,owl#onProperty
BoardOfDirectors,EntityControllingParty,rdf-schema#subClassOf
PrincipalParty,owl#Class,22-rdf-syntax-ns#type
authorizesThrough,authorizes through,rdf-schema#label
Naa1a6d06ac1e4ef581ae137c53a2477f,playsRole,owl#onProperty
Neb1bc6ef450b491b9e3799fa2e51968f,N69de69fe3fb8433eb86ecff721d89f53,owl#someValuesFrom
N6fa5b882664c4fda9a282b3c130bf0da,owl#Restriction,22-rdf-syntax-ns#type
BoardCompositionControl,board composition control,rdf-schema#label
ChiefExecutiveOfficer,ExecutiveBoardMember,rdf-schema#subClassOf
AuthorizingParty,Actor,rdf-schema#subClassOf
N2b8841a1cafb4fa3908692e1a35f1da1,owl#Restriction,22-rdf-syntax-ns#type
PrincipalParty,principal party,rdf-schema#label
hasCorporateOfficer,CorporateOfficer,rdf-schema#range
nominates,"Note that nominates is defined as a relation between two parties-in-role (the range of which could be a corporation or partnership in the case of an auditor), whereas appoints between independent parties.",usageNote
PrincipalParty,OrganizationMember,rdf-schema#subClassOf
isAuthorizedBy,AuthorizedParty,rdf-schema#domain
delegatesControlTo,delegates control to,rdf-schema#label
BoardMember,LegallyDelegatedAuthority,rdf-schema#subClassOf
,"Copyright (c) 2013-2024 EDM Council, Inc.",copyright
Auditor,owl#Class,22-rdf-syntax-ns#type
BoardMembership,Ne8dd95f393694b07b0242d6e60757e07,rdf-schema#subClassOf
,,owl#versionIRI
hasPrincipalManagingParty,indicates a controlling party that is responsible for the management of daily business operations,core#definition
BoardCapacity,board capacity,rdf-schema#label
hasResponsibility,specifies a commitment or obligation that an independent party has,core#definition
hasVestedInIt,LegallyDelegatedAuthority,rdf-schema#domain
AuthorizedParty,Na0d15f066bf847e9a94e1778c95f777f,rdf-schema#subClassOf
Auditor,"An auditor is authorized to audit one or more specific organizations, i.e., by the authorizing party indicated by the situation.",explanatoryNote
LegallyDelegatedAuthority,legally delegated authority,rdf-schema#label
ExecutiveBoardMember,owl#Class,22-rdf-syntax-ns#type
Na0d15f066bf847e9a94e1778c95f777f,owl#Restriction,22-rdf-syntax-ns#type
Authorization,Situation,rdf-schema#subClassOf
Auditor,auditor,rdf-schema#label
isOfficerOf,ControlledParty,rdf-schema#range
CompanySecretary,corporate secretary,synonym
BoardCompositionControl,or nominates someone to the board of directors of an organization for some period of time,core#definition
Executive,person appointed and given the responsibility to manage the affairs of an organization and the authority to make decisions within specified role-specific boundaries,core#definition
PrincipalParty,controlling party that is responsible for the management of daily business operations of an organization,core#definition
Nbf8e72420f0b4dd1bd43b74d9b72dd42,owl#Restriction,22-rdf-syntax-ns#type
Ndeb2cb0b9e1e474da247a329def395d9,isPlayedBy,owl#onProperty
,Executives.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
hasSigningAuthorityFor,"indicates the party for which a signatory has the ability to sign agreements, access accounts and perform related tasks",core#definition
ChiefExecutiveOfficer,owl#Class,22-rdf-syntax-ns#type
N1259afb49cb94516ac7dc55a684d28f8,Ndc66d5ede93b4cfd941b5ebed0a9c3e3,22-rdf-syntax-ns#rest
Nab584975b9804d9aa57a8afa72d8002e,isConferredOn,owl#onProperty
N9f1c475a2ef644f9accf6637d729b298,hasMember,owl#onProperty
hasDelegatedControlOf,owl#ObjectProperty,22-rdf-syntax-ns#type
AuthorizedParty,party that has been given the responsibility to act on behalf of another party under some set of guidelines,core#definition
,"Executives.rdf version of the ontology was modified to move the property, 'is conferred on' from Relations to the Legal Capacity ontology, and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",core#changeNote
N29cc92f0d40f4a4e81b03efcedcf6a03,Nda4cc60196fc48cf8bd885d38534dc73,owl#unionOf
N06b21bff2d19494783350b68e5b9e6e0,BoardMember,owl#onClass
Executive,N019e7caf61bf4ff39cd6b7c3369e0941,rdf-schema#subClassOf
authorizesThrough,owl#ObjectProperty,22-rdf-syntax-ns#type
Nc0d0239db56b49c8a3b802e5d9e59274,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
N2b8841a1cafb4fa3908692e1a35f1da1,playsRole,owl#onProperty
ResponsibleParty,Ndeb2cb0b9e1e474da247a329def395d9,rdf-schema#subClassOf
designatesSignatory,owl#ObjectProperty,22-rdf-syntax-ns#type
isPrincipalPartyOf,PrincipalParty,rdf-schema#domain
LegallyDelegatedAuthority,owl#Class,22-rdf-syntax-ns#type
hasPrincipalManagingParty,PrincipalParty,rdf-schema#range
AuthorizingParty,Ned1bf728fa924293a90e535edff6e286,rdf-schema#subClassOf
N26a953a102194acba23bfc3c2829d615,playsRole,owl#onProperty
CompanyLaw,"legislation under which the formation, registration or incorporation, governance, and dissolution of a firm is administered and controlled",core#definition
N3dbbf8af8fd844e79d0f489dab1e4bfd,owl#Restriction,22-rdf-syntax-ns#type
Naa1a6d06ac1e4ef581ae137c53a2477f,BoardOfDirectors,owl#someValuesFrom
CompanyLaw,company law,rdf-schema#label
N128ad747786346e09a1c649d1c156d3f,hasPartyInControl,owl#onProperty
hasAuthorizedParty,Authorization,rdf-schema#domain
CorporateOfficer,corporate officer,rdf-schema#label
isAuthorizedThrough,hasAuthorizedParty,owl#inverseOf
N74f2a66dd1d3470daf424aeac1ff82fc,N29cc92f0d40f4a4e81b03efcedcf6a03,owl#someValuesFrom
hasVestedInIt,hasCapacity,rdf-schema#subPropertyOf
Executive,LegallyDelegatedAuthority,rdf-schema#subClassOf
BoardMember,ResponsibleParty,rdf-schema#subClassOf
Ndc66d5ede93b4cfd941b5ebed0a9c3e3,Nbc37ce19f5f44f55bb100afdf7ad1cc9,22-rdf-syntax-ns#rest
N1f526957d78746eda969623903899aed,Nc3cde78ebf0645788ec6a969623363fe,owl#someValuesFrom
Nc3cde78ebf0645788ec6a969623363fe,owl#Class,22-rdf-syntax-ns#type
NonExecutiveBoardMember,outside director,synonym
elects,PartyRole,rdf-schema#range
authorizes,actsOn,rdf-schema#subPropertyOf
N646057f71aa34f359e67ae5ca2dc7eb9,hasPartyInControl,owl#onProperty
hasResponsibleParty,has responsible party,rdf-schema#label
N06b21bff2d19494783350b68e5b9e6e0,owl#Restriction,22-rdf-syntax-ns#type
Na0d15f066bf847e9a94e1778c95f777f,Authorization,owl#someValuesFrom
isOfficerOf,CorporateOfficer,rdf-schema#domain
isDirectorOf,indicates the organization that the board member oversees,core#definition
Nbf8e72420f0b4dd1bd43b74d9b72dd42,Authorization,owl#someValuesFrom
BoardMembership,situation relating an individual member of the board of directors to the organization,core#definition
BoardCapacity,N476d55c451284bca89afb6e720b3e438,rdf-schema#subClassOf
isAuthorizedBy,isAffectedBy,rdf-schema#subPropertyOf
isAuthorizedBy,owl#ObjectProperty,22-rdf-syntax-ns#type
elects,elects,rdf-schema#label
elects,"chooses someone, or a group of individuals, to hold office or some other position by voting",core#definition
N65c0d9435116482bacb147a0c211e295,hasResponsibility,owl#onProperty
hasCorporateOfficer,ControlledParty,rdf-schema#domain
isAuthorizedThrough,indicates the situation that faciliates endorsement of the authorized party for some purpose,core#definition
hasDirector,BoardMember,rdf-schema#range
CorporateBylaws,"written rules for conduct of a corporation, adopted by the board of directors",core#definition
