id,type,name
ChiefFinancialOfficer,Entity,ChiefFinancialOfficer
"A control owner (i.e., control person, per SEC regulations) may have some means or right that allows them to exercise control over board composition, other than through proxy assignment or vote. Not all control persons have this facility, as it is not inherent to having a significant (for example, 20 percent or more) ownership stake.",Entity,"A control owner (i.e., control person, per SEC regulations) may have some means or right that allows them to exercise control over board composition, other than through proxy assignment or vote. Not all control persons have this facility, as it is not inherent to having a significant (for example, 20 percent or more) ownership stake."
indicates the organization that the person has some authority over and managerial responsibility for,Entity,indicates the organization that the person has some authority over and managerial responsibility for
membership agreement,Entity,membership agreement
authorized party,Entity,authorized party
Nab584975b9804d9aa57a8afa72d8002e,Entity,Nab584975b9804d9aa57a8afa72d8002e
legally delegated authority,Entity,legally delegated authority
auditor,Entity,auditor
"Executives.rdf version of the ontology was modified to move the property, 'is conferred on' from Relations to the Legal Capacity ontology, and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Executives.rdf version of the ontology was modified to move the property, 'is conferred on' from Relations to the Legal Capacity ontology, and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
Neb2cc4f9eba54fb4a573977a3ac61f77,Entity,Neb2cc4f9eba54fb4a573977a3ac61f77
Executives.rdf version of this ontology was modified to add PrincipalParty as the parent of CEO and others.,Entity,Executives.rdf version of this ontology was modified to add PrincipalParty as the parent of CEO and others.
corporate secretary,Entity,corporate secretary
hasResponsibility,Entity,hasResponsibility
is director of,Entity,is director of
N6fa5b882664c4fda9a282b3c130bf0da,Entity,N6fa5b882664c4fda9a282b3c130bf0da
N019e7caf61bf4ff39cd6b7c3369e0941,Entity,N019e7caf61bf4ff39cd6b7c3369e0941
AuthorizedParty,Entity,AuthorizedParty
board capacity,Entity,board capacity
Employee,Entity,Employee
"For a public, for profit organization, its members (directors) are elected normally by the subscribers (stockholders) of the firm (generally at an annual general meeting) to govern the firm and look after the subscribers' interests. In the case of a not-for-profit organization, the board ensures the organization is acting in line with its mission. The board has the ultimate decision-making authority and, in general, is empowered to (1) set the company's policy, objectives, and overall direction, (2) adopt bylaws, (3) name members of the advisory, executive, finance, and other committees, (4) hire, monitor, evaluate, and fire the managing director and senior executives, (5) determine and pay the dividend, and (6) issue additional shares. Though all its members might not be engaged in the company's day-to-day operations, the entire board is held liable (under the doctrine of collective responsibility) for the consequences of the firm's policies, actions, and failures to act. Members of the board usually include senior-most executives (called inside directors or executive directors) as well as experts or respected persons chosen from the wider community (called outside directors or non-executive directors).",Entity,"For a public, for profit organization, its members (directors) are elected normally by the subscribers (stockholders) of the firm (generally at an annual general meeting) to govern the firm and look after the subscribers' interests. In the case of a not-for-profit organization, the board ensures the organization is acting in line with its mission. The board has the ultimate decision-making authority and, in general, is empowered to (1) set the company's policy, objectives, and overall direction, (2) adopt bylaws, (3) name members of the advisory, executive, finance, and other committees, (4) hire, monitor, evaluate, and fire the managing director and senior executives, (5) determine and pay the dividend, and (6) issue additional shares. Though all its members might not be engaged in the company's day-to-day operations, the entire board is held liable (under the doctrine of collective responsibility) for the consequences of the firm's policies, actions, and failures to act. Members of the board usually include senior-most executives (called inside directors or executive directors) as well as experts or respected persons chosen from the wider community (called outside directors or non-executive directors)."
Executives.rdf version of this ontology was modified to correct the label on hasAuthorizedParty.,Entity,Executives.rdf version of this ontology was modified to correct the label on hasAuthorizedParty.
FormalOrganization,Entity,FormalOrganization
"indicates the party that endorses, enables, empowers, or gives permission in the situation",Entity,"indicates the party that endorses, enables, empowers, or gives permission in the situation"
hasVestedInIt,Entity,hasVestedInIt
situation relating an individual member of the board of directors to the organization,Entity,situation relating an individual member of the board of directors to the organization
owl#Restriction,Entity,owl#Restriction
hasAuthorizingParty,Entity,hasAuthorizingParty
board membership,Entity,board membership
chief financial officer,Entity,chief financial officer
