id,type,name
"part of an organization, such as a line of business, that may have separate accounting and reporting requirements",Entity,"part of an organization, such as a line of business, that may have separate accounting and reporting requirements"
ValueAddedTaxIdentificationNumber,Entity,ValueAddedTaxIdentificationNumber
"The nonprofit landscape is highly varied, although many people have come to associate NPOs with charitable organizations. Although charities do comprise an often high profile or visible aspect of the sector, there are many other types of nonprofits. Overall, they tend to be either member-serving or community-serving. Member-serving organizations include mutual societies, cooperatives, trade unions, credit unions, industry associations, sports clubs, retired serviceman's clubs and other organizations that benefit a particular group of people - the members of the organization. Typically, community-serving organizations are focused on providing services to the community in general, either globally or locally: organizations delivering human services programs or projects, aid and development programs, medical research, education and health services, and so on.",Entity,"The nonprofit landscape is highly varied, although many people have come to associate NPOs with charitable organizations. Although charities do comprise an often high profile or visible aspect of the sector, there are many other types of nonprofits. Overall, they tend to be either member-serving or community-serving. Member-serving organizations include mutual societies, cooperatives, trade unions, credit unions, industry associations, sports clubs, retired serviceman's clubs and other organizations that benefit a particular group of people - the members of the organization. Typically, community-serving organizations are focused on providing services to the community in general, either globally or locally: organizations delivering human services programs or projects, aid and development programs, medical research, education and health services, and so on."
OrganizationCoveringAgreement,Entity,OrganizationCoveringAgreement
 dividends,Entity, dividends
"FormalBusinessOrganizations.rdf version of this ontology was revised to eliminate duplication of concepts in LCC, simplify addresses, and correct the parent class of OrganizationSubUnit.",Entity,"FormalBusinessOrganizations.rdf version of this ontology was revised to eliminate duplication of concepts in LCC, simplify addresses, and correct the parent class of OrganizationSubUnit."
has registered address,Entity,has registered address
organization covering agreement,Entity,organization covering agreement
value-added tax identification number,Entity,value-added tax identification number
FormalOrganization,Entity,FormalOrganization
owl#Restriction,Entity,owl#Restriction
hasAddress,Entity,hasAddress
Also covers the aims and purposes of the Entity.,Entity,Also covers the aims and purposes of the Entity.
hasRegisteredAddress,Entity,hasRegisteredAddress
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
"tax identifier that identifies a taxable person (business) or non-taxable legal entity for a consumption tax that is assessed incrementally, levied on the price of a product or service at each stage of production, distribution, and sale to the end consumer",Entity,"tax identifier that identifies a taxable person (business) or non-taxable legal entity for a consumption tax that is assessed incrementally, levied on the price of a product or service at each stage of production, distribution, and sale to the end consumer"
indicates an address at which an organization carries out operations,Entity,indicates an address at which an organization carries out operations
VATIN,Entity,VATIN
lei-cdf-format-version-2-1,Entity,lei-cdf-format-version-2-1
hasObjective,Entity,hasObjective
