id,type,name
FormalOrganization,Entity,FormalOrganization
owl#Restriction,Entity,owl#Restriction
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
FunctionalEntities.rdf version of this ontology was modified to eliminate duplication of concepts in LCC.,Entity,FunctionalEntities.rdf version of this ontology was modified to eliminate duplication of concepts in LCC.
XMLSchema#string,Entity,XMLSchema#string
isIssuedBy,Entity,isIssuedBy
1,Entity,1
merchant identifier,Entity,merchant identifier
scheme defining a set of codes for classifying merchant services,Entity,scheme defining a set of codes for classifying merchant services
isPlayedBy,Entity,isPlayedBy
CodeElement,Entity,CodeElement
Ne1f55f5266dc4be784bf288e66a994da,Entity,Ne1f55f5266dc4be784bf288e66a994da
defines,Entity,defines
owl#DatatypeProperty,Entity,owl#DatatypeProperty
isMemberOf,Entity,isMemberOf
"Values are specified only for those merchant categories that are generally expected to originate retail financial transactions. Criteria for establishing a new category code includes (a) the merchant category is reasonable and substantially different from all other merchant categories currently represented in the list of code values; (b) the merchant category is separate and distinct from all other industries currently represented in the list of code values; (c) the proposal describes a merchant category or industry, and not a process; (d) the minimum annual sales volume of merchants included in the merchant category, taken as a whole, is USD 10 million; and (e) sufficient justification for the addition of a new code value is found.",Entity,"Values are specified only for those merchant categories that are generally expected to originate retail financial transactions. Criteria for establishing a new category code includes (a) the merchant category is reasonable and substantially different from all other merchant categories currently represented in the list of code values; (b) the merchant category is separate and distinct from all other industries currently represented in the list of code values; (c) the proposal describes a merchant category or industry, and not a process; (d) the minimum annual sales volume of merchants included in the merchant category, taken as a whole, is USD 10 million; and (e) sufficient justification for the addition of a new code value is found."
MIT,Entity,MIT
FunctionalEntities.rdf version of this ontology was modified to address a circular definition on association.,Entity,FunctionalEntities.rdf version of this ontology was modified to address a circular definition on association.
Party,Entity,Party
"marketing cooperative, and a credit union",Entity,"marketing cooperative, and a credit union"
participating member,Entity,participating member
Merchant,Entity,Merchant
cooperative,Entity,cooperative
Nd7034cdf27594285aa17e3802b4dfd35,Entity,Nd7034cdf27594285aa17e3802b4dfd35
syndicate member,Entity,syndicate member
cooperative society,Entity,cooperative society
FunctionalEntities.rdf version of this ontology was augmented to include general definitions for syndicate and syndicate member (LOAN-169).,Entity,FunctionalEntities.rdf version of this ontology was augmented to include general definitions for syndicate and syndicate member (LOAN-169).
N81f5c33b9adf496a8e71190cd931a9f1,Entity,N81f5c33b9adf496a8e71190cd931a9f1
IndustrySectorClassificationScheme,Entity,IndustrySectorClassificationScheme
