id,type,name
iso-20275-entity-legal-forms-code-list,Entity,iso-20275-entity-legal-forms-code-list
GLEIF LEI CDF v2.1 legal entity identifier (LEI) code set,Entity,GLEIF LEI CDF v2.1 legal entity identifier (LEI) code set
entity legal form,Entity,entity legal form
GAAP,Entity,GAAP
Na5acc92908a04772a48083b0cf91ed99,Entity,Na5acc92908a04772a48083b0cf91ed99
N057953a6cc7947348e9feea8fea9fdee,Entity,N057953a6cc7947348e9feea8fea9fdee
ClassificationScheme,Entity,ClassificationScheme
a legal person that has registered for and is identified by a legal entity identifier,Entity,a legal person that has registered for and is identified by a legal entity identifier
has transliterated legal form abbreviation,Entity,has transliterated legal form abbreviation
"a unique entity that is legally or financially responsible for the performance of financial transactions, or has the legal right in its jurisdiction to enter independently into legal contracts, regardless of whether it is incorporated or constituted in some other way (e.g. trust, partnership, contractual). This excludes natural persons, but includes governmental organizations and supranationals.",Entity,"a unique entity that is legally or financially responsible for the performance of financial transactions, or has the legal right in its jurisdiction to enter independently into legal contracts, regardless of whether it is incorporated or constituted in some other way (e.g. trust, partnership, contractual). This excludes natural persons, but includes governmental organizations and supranationals."
relationship qualifier,Entity,relationship qualifier
LEIEntities.rdf version of this ontology was revised to reflect the move of some organization-specific concepts from BE to FND.,Entity,LEIEntities.rdf version of this ontology was revised to reflect the move of some organization-specific concepts from BE to FND.
AccountingFramework,Entity,AccountingFramework
Generally Accepted Accounting Principles,Entity,Generally Accepted Accounting Principles
N26be5de4e2a14c6d996e6ec425368798,Entity,N26be5de4e2a14c6d996e6ec425368798
"LEIEntities.rdf version of this ontology was modified per the issue resolutions identified in the FIBO BE 1.1 RTF report. Changes include deprecation of the MunicipalEntity, Sovereign, and SupranationalEntity classes and making them equivalent to classes in the Government Entities ontology.",Entity,"LEIEntities.rdf version of this ontology was modified per the issue resolutions identified in the FIBO BE 1.1 RTF report. Changes include deprecation of the MunicipalEntity, Sovereign, and SupranationalEntity classes and making them equivalent to classes in the Government Entities ontology."
owl#Restriction,Entity,owl#Restriction
hasRegisteredAddress,Entity,hasRegisteredAddress
"This ontology defines concepts around contractually capable business entities. The terms defined here are those which are relevant to the Legal Entity Identifier (LEI) work. The term known as legal entity in that work is identified as a formal organization which is recognized in some jurisdiction as being capable of incurring some liability, whether or not is a legal person as understood by the legal community. This is labeled as contractually capable entity, to avoid confusion with the accepted legal term for Legal Entity. Such entities are recognized as requiring an LEI, but the identifier itself is allocated to the formal organization which is recognized as being contractually capable.",Entity,"This ontology defines concepts around contractually capable business entities. The terms defined here are those which are relevant to the Legal Entity Identifier (LEI) work. The term known as legal entity in that work is identified as a formal organization which is recognized in some jurisdiction as being capable of incurring some liability, whether or not is a legal person as understood by the legal community. This is labeled as contractually capable entity, to avoid confusion with the accepted legal term for Legal Entity. Such entities are recognized as requiring an LEI, but the identifier itself is allocated to the formal organization which is recognized as being contractually capable."
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
Na9ceeac2e7a446598e2298711ca2cb17,Entity,Na9ceeac2e7a446598e2298711ca2cb17
has ownership percentage,Entity,has ownership percentage
owl#NamedIndividual,Entity,owl#NamedIndividual
is an international branch of,Entity,is an international branch of
OtherAccountingFramework,Entity,OtherAccountingFramework
indicates the entity considered the 'start node' or consolidated entity from an ISO 17442 perspective,Entity,indicates the entity considered the 'start node' or consolidated entity from an ISO 17442 perspective
1,Entity,1
Ndea5b60a69254bd7b7e1c5e0b99fc463,Entity,Ndea5b60a69254bd7b7e1c5e0b99fc463
RelationshipRecord,Entity,RelationshipRecord
LegalEntityIdentifier,Entity,LegalEntityIdentifier
CodeSet,Entity,CodeSet
InternationalFinancialReportingStandard,Entity,InternationalFinancialReportingStandard
isPlayedBy,Entity,isPlayedBy
lei-cdf-format-version-2-1,Entity,lei-cdf-format-version-2-1
N81c19edd79b54fdcb23a1c9fff70db04,Entity,N81c19edd79b54fdcb23a1c9fff70db04
N8c503a024dec4265850a5f25b8af1b63,Entity,N8c503a024dec4265850a5f25b8af1b63
CodeElement,Entity,CodeElement
N5a2600838ed84848a5edf586888ac464,Entity,N5a2600838ed84848a5edf586888ac464
ISO 17442,Entity,ISO 17442
hasTextualName,Entity,hasTextualName
isConsolidatedBy,Entity,isConsolidatedBy
is ultimately consolidated by,Entity,is ultimately consolidated by
hasTransliteratedLegalFormAbbreviation,Entity,hasTransliteratedLegalFormAbbreviation
ISO20275-CodeSet,Entity,ISO20275-CodeSet
relationship status - active,Entity,relationship status - active
is consolidation of,Entity,is consolidation of
relationship status - inactive,Entity,relationship status - inactive
hasLegalForm,Entity,hasLegalForm
"LEIEntities.rdf version of this ontology was revised to change the restriction on EntityLegalForm from identifies to denotes, in line with the definition of a code as opposed to an identifier, given the nature of an entity legal form.",Entity,"LEIEntities.rdf version of this ontology was revised to change the restriction on EntityLegalForm from identifies to denotes, in line with the definition of a code as opposed to an identifier, given the nature of an entity legal form."
defines,Entity,defines
accounting period,Entity,accounting period
IFRS,Entity,IFRS
Nfd5f5662e29141d3a76c9c2a299830a2,Entity,Nfd5f5662e29141d3a76c9c2a299830a2
an accounting framework developed by the US Financial Accounting Standards Board (FASB),Entity,an accounting framework developed by the US Financial Accounting Standards Board (FASB)
"LEIEntities.rdf version of this ontology was revised to clean up circular definitions and augment it to incorporate the Text datatype and structure names, including eliminating redundant restrictions on LegalEntity.",Entity,"LEIEntities.rdf version of this ontology was revised to clean up circular definitions and augment it to incorporate the Text datatype and structure names, including eliminating redundant restrictions on LegalEntity."
owl#DatatypeProperty,Entity,owl#DatatypeProperty
"Note that the GLEIF data includes multiple LEIs for some entities due to corporate actions or other situations. The duplicates are typically archived after some period of time, but in order to reflect the reality in the data, the restriction is modeled as someValuesFrom rather than exactly 1 LEI for a given entity.",Entity,"Note that the GLEIF data includes multiple LEIs for some entities due to corporate actions or other situations. The duplicates are typically archived after some period of time, but in order to reflect the reality in the data, the restriction is modeled as someValuesFrom rather than exactly 1 LEI for a given entity."
has transliterated name,Entity,has transliterated name
MIT,Entity,MIT
has legal form abbreviation,Entity,has legal form abbreviation
59771.html,Entity,59771.html
an accounting framework of unstated origin (other than IFRS or US GAAP),Entity,an accounting framework of unstated origin (other than IFRS or US GAAP)
Ne8b052112463455db3f1d42728d9b0d4,Entity,Ne8b052112463455db3f1d42728d9b0d4
"indicates the legal address for the entity, in the jurisdiction in which the entity is established, used for registration purposes with respect to obtaining an LEI",Entity,"indicates the legal address for the entity, in the jurisdiction in which the entity is established, used for registration purposes with respect to obtaining an LEI"
LEIEntities.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,LEIEntities.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
isQuantifiedBy,Entity,isQuantifiedBy
a classifier that specifies the status of the relationship between consolidated entities during the reporting period (active or inactive),Entity,a classifier that specifies the status of the relationship between consolidated entities during the reporting period (active or inactive)
ISO 20275 code set,Entity,ISO 20275 code set
"the percentage ownership interest in the owned entity owned by owning entity, if known",Entity,"the percentage ownership interest in the owned entity owned by owning entity, if known"
isUltimatelyConsolidatedBy,Entity,isUltimatelyConsolidatedBy
"scheme that specifies the elements of the codes for entity legal forms, such as those that are sanctioned in a given jurisdiction as defined in ISO 20725",Entity,"scheme that specifies the elements of the codes for entity legal forms, such as those that are sanctioned in a given jurisdiction as defined in ISO 20725"
Text,Entity,Text
or operating; or the relationship is no longer valid for other reasons,Entity,or operating; or the relationship is no longer valid for other reasons
an accounting framework developed by the International Accounting Standards Board (IASB),Entity,an accounting framework developed by the International Accounting Standards Board (IASB)
other accounting framework,Entity,other accounting framework
RelationshipStatusInactive,Entity,RelationshipStatusInactive
denotes,Entity,denotes
a record describing relationships between legal entities,Entity,a record describing relationships between legal entities
ContractuallyCapableEntity,Entity,ContractuallyCapableEntity
isConsolidationOf,Entity,isConsolidationOf
"a classifier that qualifies something about the reporting period specified, such as that the date period reflects an accounting or document filing period",Entity,"a classifier that qualifies something about the reporting period specified, such as that the date period reflects an accounting or document filing period"
US GAAP,Entity,US GAAP
owl#ObjectProperty,Entity,owl#ObjectProperty
hasLegalAddress,Entity,hasLegalAddress
RelationshipQualifier,Entity,RelationshipQualifier
hasTextValue,Entity,hasTextValue
"a classifier for a legal entity that indicates the nature of that entity as defined from a legal or regulatory perspective, in the jurisdiction in which it was established",Entity,"a classifier for a legal entity that indicates the nature of that entity as defined from a legal or regulatory perspective, in the jurisdiction in which it was established"
indicates the nature of the entity as defined from a legal or regulatory perspective in a given jurisdiction,Entity,indicates the nature of the entity as defined from a legal or regulatory perspective in a given jurisdiction
EntityLegalForm,Entity,EntityLegalForm
the set of legal entity identifiers that comprise the ISO 17442 legal entity identifier specification,Entity,the set of legal entity identifiers that comprise the ISO 17442 legal entity identifier specification
ISO17442-CodeSet,Entity,ISO17442-CodeSet
XMLSchema#decimal,Entity,XMLSchema#decimal
LegalPerson,Entity,LegalPerson
AgentRole,Entity,AgentRole
N5705821371724f999682149fbbb70752,Entity,N5705821371724f999682149fbbb70752
"a transliterated (i.e., in Latin or Romanized ASCII) representation of a name for the entity",Entity,"a transliterated (i.e., in Latin or Romanized ASCII) representation of a name for the entity"
LEIEntities.rdf version of this ontology was revised to eliminate duplication with concepts in LCC and to correct the parent of relationship record.,Entity,LEIEntities.rdf version of this ontology was revised to eliminate duplication with concepts in LCC and to correct the parent of relationship record.
entity legal form identifier,Entity,entity legal form identifier
LEIRegisteredEntity,Entity,LEIRegisteredEntity
"framework, including policies, methods, rules, and processes, used to measure, recognize, present, and disclose the information appearing in an entity's financial statements, and, from a legal ownership perspective, that is applied for accounting consolidation determination",Entity,"framework, including policies, methods, rules, and processes, used to measure, recognize, present, and disclose the information appearing in an entity's financial statements, and, from a legal ownership perspective, that is applied for accounting consolidation determination"
identifies,Entity,identifies
comprises,Entity,comprises
isIdentifiedBy,Entity,isIdentifiedBy
N403025b1da774a5cb3a81afb0c192880,Entity,N403025b1da774a5cb3a81afb0c192880
contractually capable entity,Entity,contractually capable entity
isClassifiedBy,Entity,isClassifiedBy
Nd553977f738d4758abdc9b5b58db547b,Entity,Nd553977f738d4758abdc9b5b58db547b
OrganizationIdentificationScheme,Entity,OrganizationIdentificationScheme
qualifier indicating that the relationship period reflects the period of time covered by the most recent validation documents from an accounting perspective for this relationship,Entity,qualifier indicating that the relationship period reflects the period of time covered by the most recent validation documents from an accounting perspective for this relationship
LEIEntities.rdf version of this ontology was revised to replace hasDefinition with isDefinedIn to clarify intent.,Entity,LEIEntities.rdf version of this ontology was revised to replace hasDefinition with isDefinedIn to clarify intent.
isDefinedIn,Entity,isDefinedIn
ConventionalStreetAddress,Entity,ConventionalStreetAddress
LEIEntities.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,LEIEntities.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
LEIEntities.rdf version of this ontology was revised to address text formatting hygiene issues.,Entity,LEIEntities.rdf version of this ontology was revised to address text formatting hygiene issues.
"indicates that the entity considered the 'end node' or consolidating entity (parent) fully consolidates the accounting of the 'start node' (child) per the accounting rules specified, and is the closest consolidating entity to that child in any applicable ownership hierarchy",Entity,"indicates that the entity considered the 'end node' or consolidating entity (parent) fully consolidates the accounting of the 'start node' (child) per the accounting rules specified, and is the closest consolidating entity to that child in any applicable ownership hierarchy"
"LEIEntities.rdf version of this ontology was modified to incorporate LEIEligibleEntity and LEIRegisteredEntity, as well as add restrictions in support of the ISO 17442 LEI effort and related changes to the GLEIF Common Data Format for the FIBO 2.0 RFC.",Entity,"LEIEntities.rdf version of this ontology was modified to incorporate LEIEligibleEntity and LEIRegisteredEntity, as well as add restrictions in support of the ISO 17442 LEI effort and related changes to the GLEIF Common Data Format for the FIBO 2.0 RFC."
Constituent,Entity,Constituent
home,Entity,home
