source_id,target_id,relationship
CorporationsModule,The corporations module includes ontologies describing the essential features of companies incorporated through the issuance of shares.,abstract
,,owl#imports
CorporationsModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
CorporationsModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
CorporationsModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Corporations Module,title
,2023-01-24T18:00:00,modified
,Metadata about the EDMC-FIBO Business Entities (BE) Corporations Module,rdf-schema#label
,MIT,license
CorporationsModule,,hasPart
,2018-08-27T18:00:00,issued
CorporationsModule,FIBO BE Corporations Module,title
CorporationsModule,Module,22-rdf-syntax-ns#type
CorporationsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
,owl#Ontology,22-rdf-syntax-ns#type
CorporationsModule,corporations module,rdf-schema#label
CorporationsModule,,rdf-schema#seeAlso
,The corporations module includes ontologies describing the essential features of companies incorporated through the issuance of shares.,abstract
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
CorporationsModule,MIT,license
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
