id,type,name
owl#Ontology,Entity,owl#Ontology
Module,Entity,Module
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
2023-01-24T18:00:00,Entity,2023-01-24T18:00:00
Metadata about the EDMC-FIBO Business Entities (BE) Corporations Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Corporations Module
The corporations module includes ontologies describing the essential features of companies incorporated through the issuance of shares.,Entity,The corporations module includes ontologies describing the essential features of companies incorporated through the issuance of shares.
corporations module,Entity,corporations module
FIBO BE Corporations Module,Entity,FIBO BE Corporations Module
CorporationsModule,Entity,CorporationsModule
MIT,Entity,MIT
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
,Entity,
Financial Industry Business Ontology (FIBO) Business Entities (BE) Corporations Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Corporations Module
