source_id,target_id,relationship
FunctionalEntitiesModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,,owl#imports
,MIT,license
FunctionalEntitiesModule,,hasPart
FunctionalEntitiesModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,2023-01-27T18:00:00,modified
,2018-08-27T18:00:00,issued
FunctionalEntitiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
,"The functional entities module includes ontologies describing entities that are defined according to their function, as opposed to their form, such as businesses, service providers, and publishers.",abstract
FunctionalEntitiesModule,Module,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Business Entities (BE) Functional Entities Module,rdf-schema#label
FunctionalEntitiesModule,MIT,license
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
FunctionalEntitiesModule,,rdf-schema#seeAlso
FunctionalEntitiesModule,FIBO BE Functional Entities Module,title
FunctionalEntitiesModule,functional entities module,rdf-schema#label
FunctionalEntitiesModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Functional Entities Module,title
FunctionalEntitiesModule,"The functional entities module includes ontologies describing entities that are defined according to their function, as opposed to their form, such as businesses, service providers, and publishers.",abstract
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
