id,type,name
FIBO BE Functional Entities Module,Entity,FIBO BE Functional Entities Module
owl#Ontology,Entity,owl#Ontology
Module,Entity,Module
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Financial Industry Business Ontology (FIBO) Business Entities (BE) Functional Entities Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Functional Entities Module
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
MIT,Entity,MIT
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
functional entities module,Entity,functional entities module
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
FunctionalEntitiesModule,Entity,FunctionalEntitiesModule
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
Metadata about the EDMC-FIBO Business Entities (BE) Functional Entities Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Functional Entities Module
"The functional entities module includes ontologies describing entities that are defined according to their function, as opposed to their form, such as businesses, service providers, and publishers.",Entity,"The functional entities module includes ontologies describing entities that are defined according to their function, as opposed to their form, such as businesses, service providers, and publishers."
