source_id,target_id,relationship
,"Copyright (c) 2021-2023 Object Management Group, Inc.",copyright
GovernmentEntitiesModule,"The government entities module includes ontologies describing polities, government entities and their relations.",abstract
GovernmentEntitiesModule,"Copyright (c) 2021-2023 EDM Council, Inc.",copyright
,,owl#imports
,MIT,license
GovernmentEntitiesModule,FIBO BE Government Entities Module,title
,2021-06-28T18:00:00,issued
,"The government entities module includes ontologies describing polities, government entities and their relations.",abstract
,2023-01-27T18:00:00,modified
,,owl#versionIRI
,"Copyright (c) 2021-2023 EDM Council, Inc.",copyright
GovernmentEntitiesModule,,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
GovernmentEntitiesModule,Module,22-rdf-syntax-ns#type
GovernmentEntitiesModule,"Copyright (c) 2021-2023 Object Management Group, Inc.",copyright
GovernmentEntitiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Business Entities (BE) Government Entities Module,rdf-schema#label
GovernmentEntitiesModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Government Entities Module,title
GovernmentEntitiesModule,,rdf-schema#seeAlso
GovernmentEntitiesModule,government entities module,rdf-schema#label
GovernmentEntitiesModule,MIT,license
