id,type,name
owl#Ontology,Entity,owl#Ontology
government entities module,Entity,government entities module
Module,Entity,Module
GovernmentEntitiesModule,Entity,GovernmentEntitiesModule
Financial Industry Business Ontology (FIBO) Business Entities (BE) Government Entities Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Government Entities Module
"The government entities module includes ontologies describing polities, government entities and their relations.",Entity,"The government entities module includes ontologies describing polities, government entities and their relations."
"Copyright (c) 2021-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2021-2023 Object Management Group, Inc."
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
2021-06-28T18:00:00,Entity,2021-06-28T18:00:00
"Copyright (c) 2021-2023 EDM Council, Inc.",Entity,"Copyright (c) 2021-2023 EDM Council, Inc."
MIT,Entity,MIT
owl#NamedIndividual,Entity,owl#NamedIndividual
FIBO BE Government Entities Module,Entity,FIBO BE Government Entities Module
,Entity,
Metadata about the EDMC-FIBO Business Entities (BE) Government Entities Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Government Entities Module
