id,type,name
Financial Industry Business Ontology (FIBO) Business Entities (BE) Legal Entities Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Legal Entities Module
owl#Ontology,Entity,owl#Ontology
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
LegalEntitiesModule,Entity,LegalEntitiesModule
legal entities module,Entity,legal entities module
Module,Entity,Module
FIBO BE Legal Entities Module,Entity,FIBO BE Legal Entities Module
"The legal entities module contains ontologies which define the basis for legal personhood and business entities generally. This includes (1) definitions that distinguish between judicial and natural person, (2) definitions of formally constituted organizations, their members and high-level subdivisions, and identification and classification schemes, (3) definitions of corporate entities and the ways in which they may be incorporated, and (4) definitions required for implementation and use of the ISO 17442 Legal Entity Identifier (LEI) standard.",Entity,"The legal entities module contains ontologies which define the basis for legal personhood and business entities generally. This includes (1) definitions that distinguish between judicial and natural person, (2) definitions of formally constituted organizations, their members and high-level subdivisions, and identification and classification schemes, (3) definitions of corporate entities and the ways in which they may be incorporated, and (4) definitions required for implementation and use of the ISO 17442 Legal Entity Identifier (LEI) standard."
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
2015-01-25T18:00:00,Entity,2015-01-25T18:00:00
"The legal entities module contains ontologies which define the basis for legal personhood and business entities generally. This includes (1) definitions that distinguish between judicial and natural person, (2) definitions of formally constituted organizations, their members and high-level subdivisions, and identification and classification schemes, (3) definitions of corporate entities and the ways in which they may be incorporated, and (4) definitions required for implementation and use of the ISO 17442 Legal Entity Identifier (LEI) standard, including concepts for contractually capable and legal entities that reuse properties defined elsewhere in FIBO FND and BE.",Entity,"The legal entities module contains ontologies which define the basis for legal personhood and business entities generally. This includes (1) definitions that distinguish between judicial and natural person, (2) definitions of formally constituted organizations, their members and high-level subdivisions, and identification and classification schemes, (3) definitions of corporate entities and the ways in which they may be incorporated, and (4) definitions required for implementation and use of the ISO 17442 Legal Entity Identifier (LEI) standard, including concepts for contractually capable and legal entities that reuse properties defined elsewhere in FIBO FND and BE."
MIT,Entity,MIT
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
Metadata about the EDMC-FIBO Business Entities (BE) Legal Entities Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Legal Entities Module
,Entity,
