id,type,name
OwnershipAndControlModule,Entity,OwnershipAndControlModule
FIBO BE Ownership and Control Module,Entity,FIBO BE Ownership and Control Module
owl#Ontology,Entity,owl#Ontology
"The ownership and control module contains ontologies that define various types and aspects of ownership and control as they apply among and between business entities. The ontologies in this module include the definition of types of party as defined in the roles of ownership and control along with the capacities which define those parties, and separately the relationships of ownership and control directly between organizations, which arise from the existence of those roles. Specific types of ownership and control relationships that are unique to incorporated companies are defined in addition to the more general terms to which these relate. Also included is an ontology of the types of control relationships that exist by virtue of the powers conferred upon corporate officers, board members and other executive roles.",Entity,"The ownership and control module contains ontologies that define various types and aspects of ownership and control as they apply among and between business entities. The ontologies in this module include the definition of types of party as defined in the roles of ownership and control along with the capacities which define those parties, and separately the relationships of ownership and control directly between organizations, which arise from the existence of those roles. Specific types of ownership and control relationships that are unique to incorporated companies are defined in addition to the more general terms to which these relate. Also included is an ontology of the types of control relationships that exist by virtue of the powers conferred upon corporate officers, board members and other executive roles."
Financial Industry Business Ontology (FIBO) Business Entities (BE) Ownership and Control Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Ownership and Control Module
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Module,Entity,Module
Metadata about the EDMC-FIBO Business Entities (BE) Ownership and Control Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Ownership and Control Module
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
MIT,Entity,MIT
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
ownership and control module,Entity,ownership and control module
,Entity,
