source_id,target_id,relationship
PartnershipsModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
PartnershipsModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,,owl#imports
,Metadata about the EDMC-FIBO Business Entities (BE) Partnerships Module,rdf-schema#label
,MIT,license
PartnershipsModule,,hasPart
,2023-01-27T18:00:00,modified
,2018-08-27T18:00:00,issued
PartnershipsModule,Module,22-rdf-syntax-ns#type
PartnershipsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
,"The partnerships module contains ontologies that define concepts relating to types of partnerships, including incorporated and non-incorporated organizations. Partnerships are defined without reference to jurisdiction-specific legal forms. The abstractions distinguish between types of partnerships and related formation characteristics, as well as kinds of partners and types of partnership equity.",abstract
PartnershipsModule,partnerships module,rdf-schema#label
,owl#Ontology,22-rdf-syntax-ns#type
PartnershipsModule,FIBO BE Partnerships Module,title
PartnershipsModule,,rdf-schema#seeAlso
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
PartnershipsModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Partnerships Module,title
PartnershipsModule,MIT,license
PartnershipsModule,"The partnerships module contains ontologies that define concepts relating to types of partnerships, including incorporated and non-incorporated organizations. Partnerships are defined without reference to jurisdiction-specific legal forms. The abstractions distinguish between types of partnerships and related formation characteristics, as well as kinds of partners and types of partnership equity.",abstract
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
