id,type,name
owl#Ontology,Entity,owl#Ontology
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Module,Entity,Module
partnerships module,Entity,partnerships module
"The partnerships module contains ontologies that define concepts relating to types of partnerships, including incorporated and non-incorporated organizations. Partnerships are defined without reference to jurisdiction-specific legal forms. The abstractions distinguish between types of partnerships and related formation characteristics, as well as kinds of partners and types of partnership equity.",Entity,"The partnerships module contains ontologies that define concepts relating to types of partnerships, including incorporated and non-incorporated organizations. Partnerships are defined without reference to jurisdiction-specific legal forms. The abstractions distinguish between types of partnerships and related formation characteristics, as well as kinds of partners and types of partnership equity."
PartnershipsModule,Entity,PartnershipsModule
Metadata about the EDMC-FIBO Business Entities (BE) Partnerships Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Partnerships Module
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
MIT,Entity,MIT
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
,Entity,
FIBO BE Partnerships Module,Entity,FIBO BE Partnerships Module
Financial Industry Business Ontology (FIBO) Business Entities (BE) Partnerships Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Partnerships Module
