source_id,target_id,relationship
PrivateLimitedCompaniesModule,,rdf-schema#seeAlso
,,owl#imports
,"The private limited companies module defines business entities that are hybrid in nature, having certain characteristics of both a corporation and a partnership or sole proprietorship.",abstract
,MIT,license
,2023-01-27T18:00:00,modified
,2018-08-27T18:00:00,issued
,,owl#versionIRI
,owl#Ontology,22-rdf-syntax-ns#type
PrivateLimitedCompaniesModule,private limited companies module,rdf-schema#label
PrivateLimitedCompaniesModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
PrivateLimitedCompaniesModule,,hasPart
PrivateLimitedCompaniesModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
PrivateLimitedCompaniesModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Private Limited Companies Module,title
PrivateLimitedCompaniesModule,FIBO BE Private Limited Companies Module,title
PrivateLimitedCompaniesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Business Entities (BE) Private Limited Companies Module,rdf-schema#label
PrivateLimitedCompaniesModule,"The private limited companies module defines business entities that are hybrid in nature, having certain characteristics of both a corporation and a partnership or sole proprietorship.",abstract
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
PrivateLimitedCompaniesModule,Module,22-rdf-syntax-ns#type
PrivateLimitedCompaniesModule,MIT,license
