source_id,target_id,relationship
SoleProprietorshipsModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,,owl#imports
SoleProprietorshipsModule,,hasPart
SoleProprietorshipsModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
SoleProprietorshipsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,MIT,license
SoleProprietorshipsModule,The sole proprietorships module includes ontologies describing business entities or financial ventures that are carried out by a single person who is directly responsible for all liabilities of that venture.,abstract
,2023-01-27T18:00:00,modified
,2018-08-27T18:00:00,issued
SoleProprietorshipsModule,sole proprietorships module,rdf-schema#label
,,owl#versionIRI
SoleProprietorshipsModule,FIBO BE Sole Proprietorships Module,title
SoleProprietorshipsModule,Module,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
SoleProprietorshipsModule,,rdf-schema#seeAlso
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,Metadata about the EDMC-FIBO Business Entities (BE) Sole Proprietorships Module,rdf-schema#label
SoleProprietorshipsModule,MIT,license
SoleProprietorshipsModule,Financial Industry Business Ontology (FIBO) Business Entities (BE) Sole Proprietorships Module,title
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
,The sole proprietorships module includes ontologies describing business entities or financial ventures that are carried out by a single person who is directly responsible for all liabilities of that venture.,abstract
