id,type,name
TrustsModule,Entity,TrustsModule
owl#Ontology,Entity,owl#Ontology
Financial Industry Business Ontology (FIBO) Business Entities (BE) Trusts Module,Entity,Financial Industry Business Ontology (FIBO) Business Entities (BE) Trusts Module
Module,Entity,Module
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
trusts module,Entity,trusts module
2023-01-27T18:00:00,Entity,2023-01-27T18:00:00
FIBO BE Trusts Module,Entity,FIBO BE Trusts Module
Metadata about the EDMC-FIBO Business Entities (BE) Trusts Module,Entity,Metadata about the EDMC-FIBO Business Entities (BE) Trusts Module
MIT,Entity,MIT
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
"The trusts module defines types of trusts as formally constituted organizations with specific parties as set down in law for trusts (trustor, trustee and beneficiary), each of these being signatories to a trust agreement.",Entity,"The trusts module defines types of trusts as formally constituted organizations with specific parties as set down in law for trusts (trustor, trustee and beneficiary), each of these being signatories to a trust agreement."
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
