id,type,name
"parliamentary, representative democratic republic, based on the British model, that is an independent state and member of the European Union, which covers five-sixths of the island of Ireland in the North Atlantic",Entity,"parliamentary, representative democratic republic, based on the British model, that is an independent state and member of the European Union, which covers five-sixths of the island of Ireland in the North Atlantic"
Ålands regering,Entity,Ålands regering
Norwegian entity,Entity,Norwegian entity
Ireland,Entity,Ireland
Aland Islands jurisdiction,Entity,Aland Islands jurisdiction
GovernmentOfTheRepublicOfFinland,Entity,GovernmentOfTheRepublicOfFinland
"jurisdiction of the judiciary of Finland, a three-tier civil law system whose highest court is the Supreme Court of Iceland",Entity,"jurisdiction of the judiciary of Finland, a three-tier civil law system whose highest court is the Supreme Court of Iceland"
"jurisdiction of the judiciary system in Norway, a civil law system where laws are created and amended in parliament and the system regulated through the Courts of Justice of Norway",Entity,"jurisdiction of the judiciary system in Norway, a civil law system where laws are created and amended in parliament and the system regulated through the Courts of Justice of Norway"
NorwegianEntity,Entity,NorwegianEntity
Ríkisstjórn Íslands,Entity,Ríkisstjórn Íslands
dlínse na hÉireann,Entity,dlínse na hÉireann
IcelandicEntity,Entity,IcelandicEntity
"unitary parliamentary republic and representative democracy, that is a Nordic island country in the North Atlantic",Entity,"unitary parliamentary republic and representative democracy, that is a Nordic island country in the North Atlantic"
Ålands tingsrätt,Entity,Ålands tingsrätt
"democratic unitary parliamentary republic divided into fifteen counties, located on the eastern coast of the Baltic Sea in Northern Europe",Entity,"democratic unitary parliamentary republic divided into fifteen counties, located on the eastern coast of the Baltic Sea in Northern Europe"
Dansk enhed,Entity,Dansk enhed
IrishEntity,Entity,IrishEntity
Ålandöarnas jurisdiktion,Entity,Ålandöarnas jurisdiktion
Latvijas Republikas valdība,Entity,Latvijas Republikas valdība
jurisdiction of Latvia,Entity,jurisdiction of Latvia
Kongeriket Norges regjering,Entity,Kongeriket Norges regjering
owl#NamedIndividual,Entity,owl#NamedIndividual
Sweden,Entity,Sweden
Suomen tasavallan hallitus,Entity,Suomen tasavallan hallitus
SvalbardAndJanMayen,Entity,SvalbardAndJanMayen
Judicial_system_of_Finland,Entity,Judicial_system_of_Finland
Konungariket Sveriges regering,Entity,Konungariket Sveriges regering
Finnish entity,Entity,Finnish entity
Denmark,Entity,Denmark
Íslensk eining,Entity,Íslensk eining
