source_id,target_id,relationship
,OwnershipParties.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
UltimateConsolidation,owl#Class,22-rdf-syntax-ns#type
Ncd26053e4d244f96b023819fa074e679,N947ed6b9e09e4d09b0518ab1bd210e22,owl#unionOf
Nc1226a0409b04062a2b52b0e61e7594c,isQualifiedBy,owl#onProperty
N40380881c4a64b97bf4dac910a9e4152,owl#Restriction,22-rdf-syntax-ns#type
hasOwningEntity,indicates a party that owns a formal organization,core#definition
InvestorContract,Contract setting out the terms under which some investor invests in the entity and setting out the rights which are conferred on that investor.,core#definition
UltimateConsolidation,EntityOwnership,rdf-schema#subClassOf
N155956c7e42a44f490217572efa806fa,N4594ec53f0c94a86934c91ce4b26350a,owl#onClass
N5416d0988cd74537b45840545d89b951,RelationshipStatus,owl#onClass
ForeignBranchOwnership,EntityOwnership,rdf-schema#subClassOf
EntityOwnership,Na7dadcecc1fc4099b4cd9e8ae9940950,rdf-schema#subClassOf
,OwnershipParties.rdf version of this ontology was modified as a part of a simplification strategy for the organizational class hierarchy and to support GLEIF LEI Level 2 ownership relationships.,core#changeNote
N40380881c4a64b97bf4dac910a9e4152,N8c2327e8e6e440ad82d8613ac03085d9,owl#someValuesFrom
,OwnershipParties.rdf version of this ontology was revised to eliminate a dead link that was not necessary.,core#changeNote
N5951b6aa872040c19a97d94bbe1702fc,owl#Restriction,22-rdf-syntax-ns#type
N5416d0988cd74537b45840545d89b951,owl#Restriction,22-rdf-syntax-ns#type
EntityOwnership,entity ownership,rdf-schema#label
,"OwnershipParties.rdf version of this ontology was revised to eliminate references to guarantee providing member, which duplicates the concept of a guarantor and references a concept that is no longer needed, namely 'body incorporated with guarantee'.",core#changeNote
hasDirectOwnership,EntityOwnership,rdf-schema#range
Nb31906e194af4a789795b2d80be047a1,owl#Restriction,22-rdf-syntax-ns#type
DirectConsolidation,EntityOwnership,rdf-schema#subClassOf
hasInvestmentOwnership,relates a legal person to the context in which it owns a formal organization,core#definition
InvestorContract,Na4a6d12010ac47b9a058b83c5ec55c02,rdf-schema#subClassOf
hasOwnedEntity,"indicates a formal organization, including potentially a sole proprietorship, that is owned by a legal person",core#definition
N155956c7e42a44f490217572efa806fa,0,owl#minQualifiedCardinality
N155956c7e42a44f490217572efa806fa,owl#Restriction,22-rdf-syntax-ns#type
EntityOwner,Nb31906e194af4a789795b2d80be047a1,rdf-schema#subClassOf
hasInvestmentOwnership,owl#ObjectProperty,22-rdf-syntax-ns#type
N192064c4472f4fc98ed48288c6479d7f,owl#Class,22-rdf-syntax-ns#type
Na4a6d12010ac47b9a058b83c5ec55c02,InvestmentEquity,owl#someValuesFrom
,OwnershipParties.rdf version of this ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1 and clean up a few definitions.,core#changeNote
hasOwningEntity,has owning entity,rdf-schema#label
