id,type,name
OwnershipParties.rdf version of this ontology was revised to align isEquityHeldBy and hasInvestor with the situational pattern.,Entity,OwnershipParties.rdf version of this ontology was revised to align isEquityHeldBy and hasInvestor with the situational pattern.
isHeldBy,Entity,isHeldBy
definesTermsFor,Entity,definesTermsFor
OwnershipParties.rdf version of this ontology was modified as a part of a simplification strategy for the organizational class hierarchy and to support GLEIF LEI Level 2 ownership relationships.,Entity,OwnershipParties.rdf version of this ontology was modified as a part of a simplification strategy for the organizational class hierarchy and to support GLEIF LEI Level 2 ownership relationships.
party that owns some stake in some organization by way of investment,Entity,party that owns some stake in some organization by way of investment
has direct owning entity,Entity,has direct owning entity
Ncd26053e4d244f96b023819fa074e679,Entity,Ncd26053e4d244f96b023819fa074e679
ConstitutionalOwner,Entity,ConstitutionalOwner
ownership by some party of some formal organization or organizational sub-unit that is a foreign affiliate and legally part of the owning entity,Entity,ownership by some party of some formal organization or organizational sub-unit that is a foreign affiliate and legally part of the owning entity
OwnershipParties.rdf version of this ontology was revised to eliminate a dead link that was not necessary.,Entity,OwnershipParties.rdf version of this ontology was revised to eliminate a dead link that was not necessary.
N5caf05907a6c4e37a4ab89c8d47102d0,Entity,N5caf05907a6c4e37a4ab89c8d47102d0
owl#Restriction,Entity,owl#Restriction
OwnershipParties.rdf version of this ontology was revised to add a restriction on entity ownership for the ownership percentage.,Entity,OwnershipParties.rdf version of this ontology was revised to add a restriction on entity ownership for the ownership percentage.
has investment ownership,Entity,has investment ownership
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
This is regardless of whether or not the investor is also a constitutional owner (e.g. shareholder) in the entity.,Entity,This is regardless of whether or not the investor is also a constitutional owner (e.g. shareholder) in the entity.
1,Entity,1
RelationshipRecord,Entity,RelationshipRecord
entity ownership,Entity,entity ownership
Na7dadcecc1fc4099b4cd9e8ae9940950,Entity,Na7dadcecc1fc4099b4cd9e8ae9940950
relates a formal organization to the situation in which it is owned directly by another entity,Entity,relates a formal organization to the situation in which it is owned directly by another entity
BusinessEntity,Entity,BusinessEntity
N155956c7e42a44f490217572efa806fa,Entity,N155956c7e42a44f490217572efa806fa
investor contract,Entity,investor contract
N8c2327e8e6e440ad82d8613ac03085d9,Entity,N8c2327e8e6e440ad82d8613ac03085d9
OwnershipParties.rdf version of this ontology was modified to add a parent class of contract party to the definition of investory (SEC-113).,Entity,OwnershipParties.rdf version of this ontology was modified to add a parent class of contract party to the definition of investory (SEC-113).
hasActiveParty,Entity,hasActiveParty
Contract,Entity,Contract
N9b9bcb841dd44d179a27d99724d489a9,Entity,N9b9bcb841dd44d179a27d99724d489a9
foreign branch ownership,Entity,foreign branch ownership
MIT,Entity,MIT
OwnershipParties.rdf version of this ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1 and clean up a few definitions.,Entity,OwnershipParties.rdf version of this ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1 and clean up a few definitions.
"relates a legal person to a directly owned formal organization or subsidiary, depending on the percent ownership interest",Entity,"relates a legal person to a directly owned formal organization or subsidiary, depending on the percent ownership interest"
DirectConsolidation,Entity,DirectConsolidation
entity owner,Entity,entity owner
hasOwningEntity,Entity,hasOwningEntity
N4594ec53f0c94a86934c91ce4b26350a,Entity,N4594ec53f0c94a86934c91ce4b26350a
hasInvestmentOwnership,Entity,hasInvestmentOwnership
