id,type,name
hasCapacity,Entity,hasCapacity
"party that owns a business, has the rights to all profits from that business and is considered a single entity (unincorporated) together with that business for tax and liability purposes",Entity,"party that owns a business, has the rights to all profits from that business and is considered a single entity (unincorporated) together with that business for tax and liability purposes"
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
sole trader,Entity,sole trader
N4a98ba24be93429aa2ecae0f148d2c18,Entity,N4a98ba24be93429aa2ecae0f148d2c18
SoleProprietor,Entity,SoleProprietor
"SoleProprietorships.rdf version of this ontology was modified to eliminate a redundant subclass relationship, enhance ownership relations, and revise definitions to be ISO 704 compliant.",Entity,"SoleProprietorships.rdf version of this ontology was modified to eliminate a redundant subclass relationship, enhance ownership relations, and revise definitions to be ISO 704 compliant."
SoleProprietorships.rdf version of this ontology was modified to eliminate unnecessary references to external sources.,Entity,SoleProprietorships.rdf version of this ontology was modified to eliminate unnecessary references to external sources.
SoleProprietorships.rdf version of this ontology was modified to use natural person rather than legally capable person.,Entity,SoleProprietorships.rdf version of this ontology was modified to use natural person rather than legally capable person.
hasInvestmentEntity,Entity,hasInvestmentEntity
SoleProprietorships.rdf version of this ontology was modified per the FIBO 2.0 RFC.,Entity,SoleProprietorships.rdf version of this ontology was modified per the FIBO 2.0 RFC.
Sole Proprietorships Ontology,Entity,Sole Proprietorships Ontology
ownsAndControls,Entity,ownsAndControls
owl#Restriction,Entity,owl#Restriction
EntityOwner,Entity,EntityOwner
Nb616c5af7a814b06a7057ad0d64c341f,Entity,Nb616c5af7a814b06a7057ad0d64c341f
Ne4cfa83268ba46838c79757870518ef9,Entity,Ne4cfa83268ba46838c79757870518ef9
"Copyright (c) 2016-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2016-2024 Object Management Group, Inc."
SoleProprietorships.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,SoleProprietorships.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
sole proprietorship,Entity,sole proprietorship
Release,Entity,Release
N150d7cf18c0a43eea848ae2125210586,Entity,N150d7cf18c0a43eea848ae2125210586
isOwnedAndControlledBy,Entity,isOwnedAndControlledBy
,Entity,
N1ece6fc8ed29406592047c4e0616080a,Entity,N1ece6fc8ed29406592047c4e0616080a
sole owner,Entity,sole owner
SoleProprietorship,Entity,SoleProprietorship
LegallyCompetentNaturalPerson,Entity,LegallyCompetentNaturalPerson
owl#Class,Entity,owl#Class
1,Entity,1
isPlayedBy,Entity,isPlayedBy
BusinessEntity,Entity,BusinessEntity
LegalPerson,Entity,LegalPerson
LiabilityCapacity,Entity,LiabilityCapacity
sole proprietor,Entity,sole proprietor
Ne61764c73aba401d8ca13c70f5ba048b,Entity,Ne61764c73aba401d8ca13c70f5ba048b
unincorporated business owned by a single person,Entity,unincorporated business owned by a single person
"This ontology defines the fundamental concepts for representing sole proprietorships -- i.e., organizations that are owned by an individual that is responsible for the liabilities of the organization.",Entity,"This ontology defines the fundamental concepts for representing sole proprietorships -- i.e., organizations that are owned by an individual that is responsible for the liabilities of the organization."
owl#Ontology,Entity,owl#Ontology
A sole proprietor has unlimited liability with respect to any business debts.,Entity,A sole proprietor has unlimited liability with respect to any business debts.
MIT,Entity,MIT
SoleProprietorships.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,SoleProprietorships.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
SoleProprietorships.rdf version of this ontology was modified to make sole proprietorship a subclass of legal person.,Entity,SoleProprietorships.rdf version of this ontology was modified to make sole proprietorship a subclass of legal person.
