source_id,target_id,relationship
SurinameseEntity,Suriname,hasFullSovereigntyOver
PeruvianEntity,"sovereign state and polity that is bordered in the north by Ecuador and Colombia, in the east by Brazil, in the southeast by Bolivia, in the south by Chile, and in the west by the Pacific Ocean",core#definition
GovernmentOfTheBolivarianRepublicOfVenezuela,JurisdictionOfVenezuela,hasJurisdiction
ParaguayanEntity,SovereignState,22-rdf-syntax-ns#type
JurisdictionOfBolivia,Bolivia,hasReach
GovernmentOfTheRepublicOfParaguay,JurisdictionOfParaguay,hasJurisdiction
GovernmentOfTheRepublicOfSuriname,Republiek Suriname,rdf-schema#label
JurisdictionOfChile,"jurisdiction of the judiciary of Chile, which is the system of courts, including a court of appeal, a system of military courts, a constitutional tribunal, and the Supreme Court of Chile, that interprets and applies the law in Chile",core#definition
GovernmentOfThePlurinationalStateOfBolivia,JurisdictionOfBolivia,hasJurisdiction
ColombianEntity,"sovereign state and polity that is a transcontinental country largely in the north of South America, bounded on the north by the Caribbean Sea, the northwest by Panama, the south by Ecuador and Peru, the east by Venezuela, the southeast by Brazil, and the west by the Pacific Ocean",core#definition
GovernmentOfTheCo-operativeRepublicOfGuyana,Government of the Co-operative Republic of Guyana,rdf-schema#label
JurisdictionOfChile,Chile,hasReach
GovernmentOfTheRepublicOfColombia,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfArgentina,jurisdiction of Argentina,rdf-schema#label
GovernmentOfTheCo-operativeRepublicOfGuyana,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfChile,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheCo-operativeRepublicOfGuyana,JurisdictionOfGuyana,hasJurisdiction
JurisdictionOfColombia,jurisdiction of Colombia,rdf-schema#label
EcuadorianEntity,Ecuadorian entity,rdf-schema#label
JurisdictionOfArgentina,owl#NamedIndividual,22-rdf-syntax-ns#type
ChileanEntity,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfParaguay,Paraguay,governs
SurinameseEntity,"sovereign state and polity that is located on the northeastern Atlantic coast of South America, bordered by the Atlantic Ocean to the north, French Guiana to the east, Guyana to the west and Brazil to the south",core#definition
GovernmentOfTheOrientalRepublicOfUruguay,JurisdictionOfUruguay,hasJurisdiction
ArgentinianEntity,Argentina,hasFullSovereigntyOver
JurisdictionOfBrazil,owl#NamedIndividual,22-rdf-syntax-ns#type
VenezuelanEntity,FederatedSovereignty,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfParaguay,Government of the Republic of Paraguay,rdf-schema#label
UruguayanEntity,Uruguay,hasFullSovereigntyOver
