source_id,target_id,relationship
GovernmentOfTheRepublicOfTheUnionOfMyanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်,rdf-schema#label
JurisdictionOfTheSocialistRepublicOfVietNam,GovernmentOfTheSocialistRepublicOfVietNam,isJurisdictionOf
GovernmentOfTheLaoPeoplesDemocraticRepublic,NationalGovernment,22-rdf-syntax-ns#type
StateOfCambodia,sovereign state and polity that is Cambodia,core#definition
JurisdictionOfCambodia,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfIndonesia,sovereign state and polity that is Indonesia,core#definition
StateOfVietNam,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheNationOfBruneiTheAbodeOfPeace,"Government of the Nation of Brunei, the Abode of Peace",rdf-schema#label
JurisdictionOfTheRepublicOfThePhilippines,Philippines,hasReach
StateOfSingapore,GovernmentOfTheRepublicOfSingapore,isRepresentedBy
StateOfThailand,Thailand,hasFullSovereigntyOver
StateOfTimor-Leste,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfTheDemocraticRepublicOfTimor-Leste,Timor-Leste,hasReach
StateOfCambodia,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfVietNam,sovereign state and polity that is Viet Nam,core#definition
RoyalThaiGovernment,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfBrunei,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfTheSocialistRepublicOfVietNam,jurisdiction of the Socialist Republic of Viet Nam,rdf-schema#label
StateOfBrunei,state of Brunei,rdf-schema#label
GovernmentOfTheLaoPeoplesDemocraticRepublic,JurisdictionOfTheLaoPeoplesDemocraticRepublic,hasJurisdiction
StateOfMalaysia,FederatedSovereignty,22-rdf-syntax-ns#type
GovernmentOfTheNationOfBruneiTheAbodeOfPeace,BruneiDarussalam,governs
JurisdictionOfCambodia,Jurisdiction,22-rdf-syntax-ns#type
RoyalThaiGovernment,รัฐบาลไทย,rdf-schema#label
JurisdictionOfIndonesia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfSingapore,Republik Singapura,rdf-schema#label
GovernmentOfTheRepublicOfThePhilippines,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfTheSocialistRepublicOfVietNam,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfThePhilippines,,rdf-schema#seeAlso
GovernmentOfTheRepublicOfTheUnionOfMyanmar,"unitary parliamentary assembly-independent republic under a military junta in Southeastern Asia, bordered by Bangladesh and India to its northwest, China to its northeast, Laos and Thailand to its east and southeast, and the Andaman Sea and the Bay of Bengal to its south and southwest",core#definition
JurisdictionOfTheRepublicOfThePhilippines,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfLaos,sovereign state and polity that is the Lao People's Democratic Republic,core#definition
JurisdictionOfBrunei,BruneiDarussalam,hasReach
GovernmentOfTheLaoPeoplesDemocraticRepublic,LaoPeoplesDemocraticRepublic,governs
GovernmentOfTheNationOfBruneiTheAbodeOfPeace,JurisdictionOfBrunei,hasJurisdiction
StateOfVietNam,state of Viet Nam,rdf-schema#label
GovernmentOfTheRepublicOfIndonesia,JurisdictionOfIndonesia,hasJurisdiction
JurisdictionOfTheRepublicOfThePhilippines,jurisdiction of the Republic of the Philippines,rdf-schema#label
StateOfMalaysia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheNationOfBruneiTheAbodeOfPeace,NationalGovernment,22-rdf-syntax-ns#type
