id,type,name
"jurisdiction of the judiciary of Thailand, which is the system of courts that interprets and applies the law in Thailand",Entity,"jurisdiction of the judiciary of Thailand, which is the system of courts that interprets and applies the law in Thailand"
StateOfIndonesia,Entity,StateOfIndonesia
state of Singapore,Entity,state of Singapore
Government of the Republic of Singapore,Entity,Government of the Republic of Singapore
sovereign state and polity that is Thailand,Entity,sovereign state and polity that is Thailand
"jurisdiction of the judiciary of the Philippines, which is the system of courts, including the Supreme Court of the Philippines, that interprets and applies the law in the Philippines",Entity,"jurisdiction of the judiciary of the Philippines, which is the system of courts, including the Supreme Court of the Philippines, that interprets and applies the law in the Philippines"
jurisdiction of the Socialist Republic of Viet Nam,Entity,jurisdiction of the Socialist Republic of Viet Nam
sovereign state and polity that is Myanmar,Entity,sovereign state and polity that is Myanmar
Negara Brunei Darussalam,Entity,Negara Brunei Darussalam
"jurisdiction of the judiciary of Singapore, which is the system of courts, including the Supreme Court and State Courts, that interprets and applies the law in Singapore",Entity,"jurisdiction of the judiciary of Singapore, which is the system of courts, including the Supreme Court and State Courts, that interprets and applies the law in Singapore"
"jurisdiction of the judiciary of Timor-Leste, which is the system of courts that interprets and applies the law in Timor-Leste",Entity,"jurisdiction of the judiciary of Timor-Leste, which is the system of courts that interprets and applies the law in Timor-Leste"
StateOfMalaysia,Entity,StateOfMalaysia
JurisdictionOfTheRepublicOfSingapore,Entity,JurisdictionOfTheRepublicOfSingapore
owl#NamedIndividual,Entity,owl#NamedIndividual
sovereign state and polity that is Indonesia,Entity,sovereign state and polity that is Indonesia
jurisdiction of Cambodia,Entity,jurisdiction of Cambodia
GovernmentOfTheSocialistRepublicOfVietNam,Entity,GovernmentOfTheSocialistRepublicOfVietNam
Government of the Republic of the Union of Myanmar,Entity,Government of the Republic of the Union of Myanmar
GovernmentOfTheRepublicOfThePhilippines,Entity,GovernmentOfTheRepublicOfThePhilippines
jurisdiction of the Republic of Singapore,Entity,jurisdiction of the Republic of Singapore
รัฐบาลไทย,Entity,รัฐบาลไทย
jurisdiction of Malaysia,Entity,jurisdiction of Malaysia
JurisdictionOfBrunei,Entity,JurisdictionOfBrunei
ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ,Entity,ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ
"jurisdiction of the judiciary of Brunei, which is the system of courts that interprets and applies the law in Brunei",Entity,"jurisdiction of the judiciary of Brunei, which is the system of courts that interprets and applies the law in Brunei"
state of Laos,Entity,state of Laos
JurisdictionOfTheDemocraticRepublicOfTimor-Leste,Entity,JurisdictionOfTheDemocraticRepublicOfTimor-Leste
Singapore,Entity,Singapore
state of Timor-Leste,Entity,state of Timor-Leste
StateOfLaos,Entity,StateOfLaos
"jurisdiction of the judiciary of Indonesia, which is the system of courts, including the Supreme Court of Indonesia, that interprets and applies the law in Indonesia",Entity,"jurisdiction of the judiciary of Indonesia, which is the system of courts, including the Supreme Court of Indonesia, that interprets and applies the law in Indonesia"
JurisdictionOfIndonesia,Entity,JurisdictionOfIndonesia
state of Indonesia,Entity,state of Indonesia
MIT,Entity,MIT
"unitary presidential constitutional republic in Southeastern Asia, an archipelagic country bordered by the South China Sea to the west, the Philippine Sea to the east, and the Celebes Sea to the southwest, and shares maritime borders with Taiwan to the north, Japan to the northeast, Palau to the east and southeast, Indonesia to the south, Malaysia and Brunei to the southwest, Vietnam to the west, and China to the northwest",Entity,"unitary presidential constitutional republic in Southeastern Asia, an archipelagic country bordered by the South China Sea to the west, the Philippine Sea to the east, and the Celebes Sea to the southwest, and shares maritime borders with Taiwan to the north, Japan to the northeast, Palau to the east and southeast, Indonesia to the south, Malaysia and Brunei to the southwest, Vietnam to the west, and China to the northwest"
JurisdictionOfTheLaoPeoplesDemocraticRepublic,Entity,JurisdictionOfTheLaoPeoplesDemocraticRepublic
GovernmentOfTheRepublicOfSingapore,Entity,GovernmentOfTheRepublicOfSingapore
sovereign state and polity that is Viet Nam,Entity,sovereign state and polity that is Viet Nam
சிங்கப்பூர் குடியரசு,Entity,சிங்கப்பூர் குடியரசு
StateOfBrunei,Entity,StateOfBrunei
StateOfThePhilippines,Entity,StateOfThePhilippines
GovernmentOfTheDemocraticRepublicOfTimor-Leste,Entity,GovernmentOfTheDemocraticRepublicOfTimor-Leste
"Government of the Nation of Brunei, the Abode of Peace",Entity,"Government of the Nation of Brunei, the Abode of Peace"
state of Thailand,Entity,state of Thailand
JurisdictionOfTheSocialistRepublicOfVietNam,Entity,JurisdictionOfTheSocialistRepublicOfVietNam
"federal parliamentary constitutional elective monarchy in Southeastern Asia, separated by the South China Sea into two regions, Peninsular Malaysia and Borneo's East Malaysia, that shares land and maritime borders with Thailand, Brunei, and Indonesia, and maritime borders with Singapore, Vietnam, and the Philippines",Entity,"federal parliamentary constitutional elective monarchy in Southeastern Asia, separated by the South China Sea into two regions, Peninsular Malaysia and Borneo's East Malaysia, that shares land and maritime borders with Thailand, Brunei, and Indonesia, and maritime borders with Singapore, Vietnam, and the Philippines"
federated sovereignty and polity that is Malaysia,Entity,federated sovereignty and polity that is Malaysia
Government of the Republic of the Philippines,Entity,Government of the Republic of the Philippines
StateOfCambodia,Entity,StateOfCambodia
JurisdictionOfTheRepublicOfTheUnionOfMyanmar,Entity,JurisdictionOfTheRepublicOfTheUnionOfMyanmar
sovereign state and polity that is Singapore,Entity,sovereign state and polity that is Singapore
"jurisdiction of the judiciary of Viet Nam, which is the system of courts, including the Supreme People's Court of Viet Nam, that interprets and applies the law in the Viet Nam",Entity,"jurisdiction of the judiciary of Viet Nam, which is the system of courts, including the Supreme People's Court of Viet Nam, that interprets and applies the law in the Viet Nam"
"jurisdiction of the judiciary of Myanmar, which is the system of courts that interprets and applies the law in Myanmar",Entity,"jurisdiction of the judiciary of Myanmar, which is the system of courts that interprets and applies the law in Myanmar"
The initial version of this ontology reflects the national level only.,Entity,The initial version of this ontology reflects the national level only.
jurisdiction of Brunei,Entity,jurisdiction of Brunei
JurisdictionOfTheRepublicOfThePhilippines,Entity,JurisdictionOfTheRepublicOfThePhilippines
Myanmar,Entity,Myanmar
Philippines,Entity,Philippines
Cambodia,Entity,Cambodia
sovereign state and polity that is Cambodia,Entity,sovereign state and polity that is Cambodia
"unitary dominant-party parliamentary elective constitutional monarchy in Southeastern Asia, located in the southern portion of the Indochinese peninsula, bordered by Thailand to the northwest, Laos to the northeast, Vietnam to the east and the Gulf of Thailand to the southwest",Entity,"unitary dominant-party parliamentary elective constitutional monarchy in Southeastern Asia, located in the southern portion of the Indochinese peninsula, bordered by Thailand to the northwest, Laos to the northeast, Vietnam to the east and the Gulf of Thailand to the southwest"
República Democrática de Timor-Leste,Entity,República Democrática de Timor-Leste
FederatedSovereignty,Entity,FederatedSovereignty
Timor-Leste,Entity,Timor-Leste
"Copyright (c) 2021-2023 EDM Council, Inc.",Entity,"Copyright (c) 2021-2023 EDM Council, Inc."
SoutheasternAsiaGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,SoutheasternAsiaGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Malaysia,Entity,Malaysia
Government of the Democratic Republic of Timor-Leste,Entity,Government of the Democratic Republic of Timor-Leste
Government of the Socialist Republic of Viet Nam,Entity,Government of the Socialist Republic of Viet Nam
Cộng hòa Xã hội chủ nghĩa Việt Nam,Entity,Cộng hòa Xã hội chủ nghĩa Việt Nam
GovernmentOfTheNationOfBruneiTheAbodeOfPeace,Entity,GovernmentOfTheNationOfBruneiTheAbodeOfPeace
JurisdictionOfCambodia,Entity,JurisdictionOfCambodia
Government of the Lao People's Democratic Republic,Entity,Government of the Lao People's Democratic Republic
state of Cambodia,Entity,state of Cambodia
GovernmentOfTheRepublicOfIndonesia,Entity,GovernmentOfTheRepublicOfIndonesia
state of Malaysia,Entity,state of Malaysia
LaoPeoplesDemocraticRepublic,Entity,LaoPeoplesDemocraticRepublic
Thailand,Entity,Thailand
jurisdiction of Indonesia,Entity,jurisdiction of Indonesia
state of the Philippines,Entity,state of the Philippines
state of Brunei,Entity,state of Brunei
StateOfTimor-Leste,Entity,StateOfTimor-Leste
sovereign state and polity that is the Philippines,Entity,sovereign state and polity that is the Philippines
Release,Entity,Release
,Entity,
sovereign state and polity that is the Lao People's Democratic Republic,Entity,sovereign state and polity that is the Lao People's Democratic Republic
"unitary Marxist-Leninist one-party socialist republic in Southeastern Asia, located on the Indochinese Peninsula, bordered by Myanmar and China to the northwest, Vietnam to the east, Cambodia to the southeast and Thailand to the west and southwest",Entity,"unitary Marxist-Leninist one-party socialist republic in Southeastern Asia, located on the Indochinese Peninsula, bordered by Myanmar and China to the northwest, Vietnam to the east, Cambodia to the southeast and Thailand to the west and southwest"
jurisdiction of the Lao People's Democratic Republic,Entity,jurisdiction of the Lao People's Democratic Republic
"This ontology provides government entities and jurisdictions for countries that are defined as being part of Southeastern Asia in the U.N. M49 codes, primarily those that are considered independent countries in ISO 3166, or are important from a banking perspective.",Entity,"This ontology provides government entities and jurisdictions for countries that are defined as being part of Southeastern Asia in the U.N. M49 codes, primarily those that are considered independent countries in ISO 3166, or are important from a banking perspective."
Southeastern Asia Government Entities and Jurisdictions Ontology,Entity,Southeastern Asia Government Entities and Jurisdictions Ontology
jurisdiction of the Republic of the Philippines,Entity,jurisdiction of the Republic of the Philippines
新加坡共和国,Entity,新加坡共和国
GovernmentOfTheLaoPeoplesDemocraticRepublic,Entity,GovernmentOfTheLaoPeoplesDemocraticRepublic
VietNam,Entity,VietNam
"unitary presidential constitutional republic in Southeastern Asia, consisting of more than seventeen thousand islands, including Sumatra, Java, Sulawesi, and parts of Borneo and New Guinea, located between the Indian and Pacific oceans",Entity,"unitary presidential constitutional republic in Southeastern Asia, consisting of more than seventeen thousand islands, including Sumatra, Java, Sulawesi, and parts of Borneo and New Guinea, located between the Indian and Pacific oceans"
GovernmentOfMalaysia,Entity,GovernmentOfMalaysia
state of Myanmar,Entity,state of Myanmar
StateOfThailand,Entity,StateOfThailand
Indonesia,Entity,Indonesia
