id,type,name
"jurisdiction of the Bishop of Rome, known as the pope, which includes the apostolic episcopal see of the Diocese of Rome with universal ecclesiastical jurisdiction of the worldwide Catholic Church, as well as a sovereign entity of international law, governing the Vatican City",Entity,"jurisdiction of the Bishop of Rome, known as the pope, which includes the apostolic episcopal see of the Diocese of Rome with universal ecclesiastical jurisdiction of the worldwide Catholic Church, as well as a sovereign entity of international law, governing the Vatican City"
AlbanianEntity,Entity,AlbanianEntity
"jurisdiction of the judiciary of Bosnia and Herzegovina, whose Constitutional Court of Bosnia and Herzegovina is the supreme, final arbiter of legal matters",Entity,"jurisdiction of the judiciary of Bosnia and Herzegovina, whose Constitutional Court of Bosnia and Herzegovina is the supreme, final arbiter of legal matters"
Entidade portuguesa,Entity,Entidade portuguesa
JurisdictionOfGreece,Entity,JurisdictionOfGreece
Српски ентитет,Entity,Српски ентитет
sovereign state and polity that is Spain,Entity,sovereign state and polity that is Spain
Government of the Republic of Albania,Entity,Government of the Republic of Albania
jurisdiction of Slovenia,Entity,jurisdiction of Slovenia
jurisdiction of the Holy See,Entity,jurisdiction of the Holy See
Government of the Republic of Malta,Entity,Government of the Republic of Malta
gc21,Entity,gc21
Gobierno del Reino de España,Entity,Gobierno del Reino de España
GovernmentOfThePrincipalityOfAndorra,Entity,GovernmentOfThePrincipalityOfAndorra
SanMarino,Entity,SanMarino
JurisdictionOfMontenegro,Entity,JurisdictionOfMontenegro
SouthernEuropeGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to replace references to Macedonia with NorthMacedonia from LCC 1.2.,Entity,SouthernEuropeGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to replace references to Macedonia with NorthMacedonia from LCC 1.2.
Ente italiano,Entity,Ente italiano
Governo della Repubblica di San Marino,Entity,Governo della Repubblica di San Marino
Влада Републике Србије,Entity,Влада Републике Србије
Hrvatski entitet,Entity,Hrvatski entitet
Bosnian and Herzegovinian entity,Entity,Bosnian and Herzegovinian entity
owl#NamedIndividual,Entity,owl#NamedIndividual
