source_id,target_id,relationship
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,InternationalBusinessMachinesCorporation-US-NY,identifies
AppleInc-US-CA,Apple Inc. US-CA,rdf-schema#label
TheCoca-ColaCompanyIncorporationDate,ExplicitDate,22-rdf-syntax-ns#type
InternationalBusinessMachinesCorporationIncorporationDate,ExplicitDate,22-rdf-syntax-ns#type
TheHomeDepotIncorporationDate,"date that The Home Depot, Inc. was first registered as a corporation in the State of Delaware",core#definition
TheHomeDepotIncorporationDate,"The Home Depot, Inc. incorporation date",rdf-schema#label
TheProctorAndGambleCompany-US-OH,StateOfOhioJurisdiction,isIncorporatedIn
L-2572IBTT8CCZW6AU4141-LEI,2572IBTT8CCZW6AU4141,hasTag
L-HWUPKR0MPOU8FGXBT394-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
TheProctorAndGambleCompanyBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
L-2572IBTT8CCZW6AU4141-LEI,TheProctorAndGambleCompany-US-OH,identifies
TheHomeDepotBusinessEntityIdentifier,"The Home Depot, Inc. business entity identifier",rdf-schema#label
TheProctorAndGambleCompany-US-OH,UnitedStatesOfAmerica,isDomiciledIn
TheProctorAndGambleCompanyBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
AlphabetInc-US-CA,owl#NamedIndividual,22-rdf-syntax-ns#type
AlphabetIncIncorporationDate,2015-07-23,hasDateValue
L-HWUPKR0MPOU8FGXBT394-LEI,Apple Inc. legal entity identifier,rdf-schema#label
,USExampleEntities.rdf version of this ontology was revised to make incorporation and registration dates explicit dates and to replace references to the legacy LCC UnitedStates country representation with UnitedStatesOfAmerica.,core#changeNote
L-5493006MHB84DD0ZWV18-LEI,legal entity identifier for Alphabet Inc.,core#definition
L-2572IBTT8CCZW6AU4141-LEI,legal entity identifier for The Proctor & Gamble Company,core#definition
InternationalBusinessMachinesCorporation-US-NY,InternationalBusinessMachinesCorporationIncorporationDate,hasDateOfIncorporation
TheHomeDepotBusinessEntityIdentifier,TheHomeDepotInc-US-DE,identifies
TheCoca-ColaCompanyBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
AlphabetIncIncorporationDate,owl#NamedIndividual,22-rdf-syntax-ns#type
TheHomeDepotInc-US-DE,"The Home Depot, Inc.",hasLegalName
,"This ontology includes example entities that are companies in the US that issue stock and that are represented in the Dow Jones Industrial Average (DJIA), to demonstrate how to begin to model those entities in FIBO.",abstract
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,International Business Machines Corporation business entity identifier,rdf-schema#label
TheCoca-ColaCompany-US-DE,StateOfDelawareJurisdiction,isIncorporatedIn
TheCoca-ColaCompanyBusinessEntityIdentifier,88529,hasTag
InternationalBusinessMachinesCorporation-US-NY,UnitedStatesOfAmerica,isDomiciledIn
TheHomeDepotInc-US-DE,UnitedStatesOfAmerica,isDomiciledIn
AppleIncBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
TheCoca-ColaCompanyIncorporationDate,1919-09-05,hasDateValue
AppleInc-US-CA,owl#NamedIndividual,22-rdf-syntax-ns#type
L-5493006MHB84DD0ZWV18-LEI,Alphabet Inc. legal entity identifier,rdf-schema#label
,,owl#imports
TheHomeDepotInc-US-DE,StateOfDelawareJurisdiction,isIncorporatedIn
AppleIncBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
TheProctorAndGambleCompanyBusinessEntityIdentifier,registration identifier assigned by the Ohio Department of Corporations for The Proctor & Gamble Company,core#definition
TheCoca-ColaCompany-US-DE,The Coca-Cola Company,hasLegalName
TheProctorAndGambleCompanyBusinessEntityIdentifier,TheProctorAndGambleCompany-US-OH,identifies
AlphabetIncBusinessEntityIdentifier,Alphabet Inc. business entity identifier,rdf-schema#label
TheProctorAndGambleCompany-US-OH,The Proctor & Gamble Company,hasLegalName
,USExampleEntities.rdf version of this ontology was revised to update a dead link.,core#changeNote
TheCoca-ColaCompanyIncorporationDate,owl#NamedIndividual,22-rdf-syntax-ns#type
TheCoca-ColaCompany-US-DE,The Coca-Cola Company US-DE,rdf-schema#label
L-QEKMOTMBBKA8I816DO57-LEI,QEKMOTMBBKA8I816DO57,hasTag
TheHomeDepotIncorporationDate,1978-06-29,hasDateValue
L-QEKMOTMBBKA8I816DO57-LEI,TheHomeDepotInc-US-DE,identifies
TheProctorAndGambleCompanyIncorporationDate,date that The Proctor & Gamble Company was first registered as a corporation in the State of Ohio,core#definition
InternationalBusinessMachinesCorporationIncorporationDate,International Business Machines Corporation incorporation date,rdf-schema#label
,,owl#versionIRI
TheProctorAndGambleCompanyBusinessEntityIdentifier,20677,hasTag
AlphabetInc-US-CA,ForProfitCorporation,22-rdf-syntax-ns#type
L-VGRQXHF3J8VDLUA7XE92-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
TheProctorAndGambleCompany-US-OH,"publicly held company and for profit corporation legal entity for The Proctor & Gamble Company, an Ohio corporation",core#definition
TheHomeDepotBusinessEntityIdentifier,856429,hasTag
AppleIncIncorporationDate,owl#NamedIndividual,22-rdf-syntax-ns#type
TheCoca-ColaCompany-US-DE,ForProfitCorporation,22-rdf-syntax-ns#type
TheProctorAndGambleCompanyIncorporationDate,ExplicitDate,22-rdf-syntax-ns#type
InternationalBusinessMachinesCorporation-US-NY,International Business Machines Corporation US-NY,rdf-schema#label
TheCoca-ColaCompany-US-DE,owl#NamedIndividual,22-rdf-syntax-ns#type
TheCoca-ColaCompanyBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
L-VGRQXHF3J8VDLUA7XE92-LEI,International Business Machines Corporation legal entity identifier,rdf-schema#label
TheCoca-ColaCompanyIncorporationDate,The Coca-Cola Company incorporation date,rdf-schema#label
InternationalBusinessMachinesCorporation-US-NY,"publicly held company and for profit corporation legal entity for International Business Machines Corporation, a New York domestic business corporation",core#definition
AppleIncBusinessEntityIdentifier,Apple Inc. business entity identifier,rdf-schema#label
AlphabetInc-US-CA,Alphabet Inc. US-CA,rdf-schema#label
AppleIncBusinessEntityIdentifier,business,rdf-schema#seeAlso
AlphabetInc-US-CA,AlphabetIncIncorporationDate,hasDateOfIncorporation
TheHomeDepotBusinessEntityIdentifier,"registration identifier assigned by the Delaware Division of Corporations for The Home Depot, Inc.",core#definition
AlphabetIncBusinessEntityIdentifier,registration identifier assigned by the Delaware Department of Corporations for Alphabet Inc.,core#definition
L-2572IBTT8CCZW6AU4141-LEI,The Proctor & Gamble Company legal entity identifier,rdf-schema#label
AppleIncIncorporationDate,Apple Inc. incorporation date,rdf-schema#label
L-UWJKFUJFZ02DKWI3RY53-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
TheHomeDepotInc-US-DE,TheHomeDepotIncorporationDate,hasDateOfIncorporation
L-QEKMOTMBBKA8I816DO57-LEI,"The Home Depot, Inc. legal entity identifier",rdf-schema#label
TheCoca-ColaCompanyBusinessEntityIdentifier,registration identifier assigned by the Delaware Division of Corporations for The Coca-Cola Company,core#definition
AppleInc-US-CA,ForProfitCorporation,22-rdf-syntax-ns#type
AlphabetIncBusinessEntityIdentifier,5786925,hasTag
InternationalBusinessMachinesCorporation-US-NY,International Business Machines Corporation,hasLegalName
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
InternationalBusinessMachinesCorporationIncorporationDate,owl#NamedIndividual,22-rdf-syntax-ns#type
L-QEKMOTMBBKA8I816DO57-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
TheProctorAndGambleCompanyBusinessEntityIdentifier,The Proctor & Gamble Company business entity identifier,rdf-schema#label
L-UWJKFUJFZ02DKWI3RY53-LEI,legal entity identifier for The Coca-Cola Company,core#definition
L-5493006MHB84DD0ZWV18-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
,USExampleEntities.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
TheProctorAndGambleCompany-US-OH,The Proctor & Gamble Company US-OH,rdf-schema#label
L-UWJKFUJFZ02DKWI3RY53-LEI,The Coca-Cola Company legal entity identifier,rdf-schema#label
AppleIncBusinessEntityIdentifier,AppleInc-US-CA,identifies
AlphabetIncIncorporationDate,date that Alphabet Inc. was first registered as a corporation in the State of Delaware,core#definition
,"Copyright (c) 2020-2023 Object Management Group, Inc.",copyright
AlphabetInc-US-CA,PubliclyHeldCompany,22-rdf-syntax-ns#type
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,30059,hasTag
L-HWUPKR0MPOU8FGXBT394-LEI,AppleInc-US-CA,identifies
TheHomeDepotBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
L-5493006MHB84DD0ZWV18-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
,"Copyright (c) 2020-2023 EDM Council, Inc.",copyright
L-UWJKFUJFZ02DKWI3RY53-LEI,TheCoca-ColaCompany-US-DE,identifies
AlphabetInc-US-CA,UnitedStatesOfAmerica,isDomiciledIn
TheCoca-ColaCompanyIncorporationDate,date that The Coca-Cola Company was first registered as a corporation in the State of Delaware,core#definition
AppleInc-US-CA,"publicly held company and for profit corporation legal entity for Apple Inc., a California stock corporation",core#definition
L-2572IBTT8CCZW6AU4141-LEI,LegalEntityIdentifier,22-rdf-syntax-ns#type
TheProctorAndGambleCompanyIncorporationDate,The Proctor & Gamble Company incorporation date,rdf-schema#label
L-UWJKFUJFZ02DKWI3RY53-LEI,UWJKFUJFZ02DKWI3RY53,hasTag
AlphabetIncIncorporationDate,Alphabet Inc. incorporation date,rdf-schema#label
TheHomeDepotIncorporationDate,ExplicitDate,22-rdf-syntax-ns#type
AlphabetIncBusinessEntityIdentifier,RegistrationIdentifier,22-rdf-syntax-ns#type
TheHomeDepotInc-US-DE,ForProfitCorporation,22-rdf-syntax-ns#type
L-UWJKFUJFZ02DKWI3RY53-LEI,owl#NamedIndividual,22-rdf-syntax-ns#type
AlphabetInc-US-CA,StateOfDelawareJurisdiction,isIncorporatedIn
AppleIncBusinessEntityIdentifier,806592,hasTag
AppleInc-US-CA,Apple Inc.,hasLegalName
L-HWUPKR0MPOU8FGXBT394-LEI,legal entity identifier for Apple Inc.,core#definition
AlphabetIncBusinessEntityIdentifier,owl#NamedIndividual,22-rdf-syntax-ns#type
AppleInc-US-CA,AppleIncIncorporationDate,hasDateOfIncorporation
TheCoca-ColaCompany-US-DE,"publicly held company and for profit corporation legal entity for The Coca-Cola Company, a Delaware corporation",core#definition
L-VGRQXHF3J8VDLUA7XE92-LEI,VGRQXHF3J8VDLUA7XE92,hasTag
TheHomeDepotInc-US-DE,"publicly held company and for profit corporation legal entity for The Home Depot, Inc., a Delaware corporation",core#definition
,USExampleEntities.rdf version of this ontology was revised to update the LEI format to use the form published by the GLEIF at data.world.,core#changeNote
L-VGRQXHF3J8VDLUA7XE92-LEI,legal entity identifier for International Business Machines Corporation,core#definition
