id,type,name
TheProctorAndGambleCompanyBusinessEntityIdentifier,Entity,TheProctorAndGambleCompanyBusinessEntityIdentifier
InternationalBusinessMachinesCorporation-US-NY,Entity,InternationalBusinessMachinesCorporation-US-NY
Apple Inc.,Entity,Apple Inc.
"publicly held company and for profit corporation legal entity for The Coca-Cola Company, a Delaware corporation",Entity,"publicly held company and for profit corporation legal entity for The Coca-Cola Company, a Delaware corporation"
International Business Machines Corporation business entity identifier,Entity,International Business Machines Corporation business entity identifier
TheCoca-ColaCompanyIncorporationDate,Entity,TheCoca-ColaCompanyIncorporationDate
"The Home Depot, Inc. legal entity identifier",Entity,"The Home Depot, Inc. legal entity identifier"
1919-09-05,Entity,1919-09-05
date that The Proctor & Gamble Company was first registered as a corporation in the State of Ohio,Entity,date that The Proctor & Gamble Company was first registered as a corporation in the State of Ohio
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
1905-05-05,Entity,1905-05-05
806592,Entity,806592
owl#NamedIndividual,Entity,owl#NamedIndividual
Alphabet Inc. incorporation date,Entity,Alphabet Inc. incorporation date
"USExampleEntities.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"USExampleEntities.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
"Copyright (c) 2020-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2020-2023 Object Management Group, Inc."
LegalEntityIdentifier,Entity,LegalEntityIdentifier
InternationalBusinessMachinesCorporationBusinessEntityIdentifier,Entity,InternationalBusinessMachinesCorporationBusinessEntityIdentifier
US Example Entities,Entity,US Example Entities
AppleIncIncorporationDate,Entity,AppleIncIncorporationDate
"The Home Depot, Inc. US-DE",Entity,"The Home Depot, Inc. US-DE"
QEKMOTMBBKA8I816DO57,Entity,QEKMOTMBBKA8I816DO57
"registration identifier assigned by the Delaware Division of Corporations for The Home Depot, Inc.",Entity,"registration identifier assigned by the Delaware Division of Corporations for The Home Depot, Inc."
legal entity identifier for The Coca-Cola Company,Entity,legal entity identifier for The Coca-Cola Company
"publicly held company and for profit corporation legal entity for The Home Depot, Inc., a Delaware corporation",Entity,"publicly held company and for profit corporation legal entity for The Home Depot, Inc., a Delaware corporation"
The Coca-Cola Company business entity identifier,Entity,The Coca-Cola Company business entity identifier
"The Home Depot, Inc. business entity identifier",Entity,"The Home Depot, Inc. business entity identifier"
MIT,Entity,MIT
TheHomeDepotIncorporationDate,Entity,TheHomeDepotIncorporationDate
ForProfitCorporation,Entity,ForProfitCorporation
The Coca-Cola Company legal entity identifier,Entity,The Coca-Cola Company legal entity identifier
20677,Entity,20677
5493006MHB84DD0ZWV18,Entity,5493006MHB84DD0ZWV18
Apple Inc. US-CA,Entity,Apple Inc. US-CA
RegistrationIdentifier,Entity,RegistrationIdentifier
The Proctor & Gamble Company incorporation date,Entity,The Proctor & Gamble Company incorporation date
legal entity identifier for International Business Machines Corporation,Entity,legal entity identifier for International Business Machines Corporation
AlphabetIncIncorporationDate,Entity,AlphabetIncIncorporationDate
registration identifier assigned by the Ohio Department of Corporations for The Proctor & Gamble Company,Entity,registration identifier assigned by the Ohio Department of Corporations for The Proctor & Gamble Company
The Coca-Cola Company incorporation date,Entity,The Coca-Cola Company incorporation date
International Business Machines Corporation,Entity,International Business Machines Corporation
"legal entity identifier for The Home Depot, Inc.",Entity,"legal entity identifier for The Home Depot, Inc."
International Business Machines Corporation incorporation date,Entity,International Business Machines Corporation incorporation date
VGRQXHF3J8VDLUA7XE92,Entity,VGRQXHF3J8VDLUA7XE92
L-UWJKFUJFZ02DKWI3RY53-LEI,Entity,L-UWJKFUJFZ02DKWI3RY53-LEI
2572IBTT8CCZW6AU4141,Entity,2572IBTT8CCZW6AU4141
"The Home Depot, Inc. incorporation date",Entity,"The Home Depot, Inc. incorporation date"
date that The Coca-Cola Company was first registered as a corporation in the State of Delaware,Entity,date that The Coca-Cola Company was first registered as a corporation in the State of Delaware
StateOfDelawareJurisdiction,Entity,StateOfDelawareJurisdiction
InternationalBusinessMachinesCorporationIncorporationDate,Entity,InternationalBusinessMachinesCorporationIncorporationDate
"Copyright (c) 2020-2023 EDM Council, Inc.",Entity,"Copyright (c) 2020-2023 EDM Council, Inc."
TheHomeDepotInc-US-DE,Entity,TheHomeDepotInc-US-DE
The Coca-Cola Company US-DE,Entity,The Coca-Cola Company US-DE
AppleInc-US-CA,Entity,AppleInc-US-CA
Alphabet Inc. legal entity identifier,Entity,Alphabet Inc. legal entity identifier
"publicly held company and for profit corporation legal entity for The Proctor & Gamble Company, an Ohio corporation",Entity,"publicly held company and for profit corporation legal entity for The Proctor & Gamble Company, an Ohio corporation"
L-2572IBTT8CCZW6AU4141-LEI,Entity,L-2572IBTT8CCZW6AU4141-LEI
date that Alphabet Inc. was first registered as a corporation in the State of Delaware,Entity,date that Alphabet Inc. was first registered as a corporation in the State of Delaware
date that International Business Machines Corporation was first registered as a corporation in the State of New York,Entity,date that International Business Machines Corporation was first registered as a corporation in the State of New York
TheCoca-ColaCompany-US-DE,Entity,TheCoca-ColaCompany-US-DE
business,Entity,business
"The Home Depot, Inc.",Entity,"The Home Depot, Inc."
L-HWUPKR0MPOU8FGXBT394-LEI,Entity,L-HWUPKR0MPOU8FGXBT394-LEI
"USExampleEntities.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here.",Entity,"USExampleEntities.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here."
registration identifier assigned by the California Department of Corporations for Apple Inc.,Entity,registration identifier assigned by the California Department of Corporations for Apple Inc.
TheCoca-ColaCompanyBusinessEntityIdentifier,Entity,TheCoca-ColaCompanyBusinessEntityIdentifier
1977-01-03,Entity,1977-01-03
registration identifier assigned by the New York Division of Corporations for International Business Machines Corporation,Entity,registration identifier assigned by the New York Division of Corporations for International Business Machines Corporation
Alphabet Inc.,Entity,Alphabet Inc.
856429,Entity,856429
Apple Inc. incorporation date,Entity,Apple Inc. incorporation date
Release,Entity,Release
,Entity,
legal entity identifier for Apple Inc.,Entity,legal entity identifier for Apple Inc.
The Proctor & Gamble Company,Entity,The Proctor & Gamble Company
AlphabetIncBusinessEntityIdentifier,Entity,AlphabetIncBusinessEntityIdentifier
TheProctorAndGambleCompany-US-OH,Entity,TheProctorAndGambleCompany-US-OH
1911-06-16,Entity,1911-06-16
USExampleEntities.rdf version of this ontology was revised to make incorporation and registration dates explicit dates and to replace references to the legacy LCC UnitedStates country representation with UnitedStatesOfAmerica.,Entity,USExampleEntities.rdf version of this ontology was revised to make incorporation and registration dates explicit dates and to replace references to the legacy LCC UnitedStates country representation with UnitedStatesOfAmerica.
legal entity identifier for The Proctor & Gamble Company,Entity,legal entity identifier for The Proctor & Gamble Company
AppleIncBusinessEntityIdentifier,Entity,AppleIncBusinessEntityIdentifier
Apple Inc. legal entity identifier,Entity,Apple Inc. legal entity identifier
UWJKFUJFZ02DKWI3RY53,Entity,UWJKFUJFZ02DKWI3RY53
StateOfNewYorkJurisdiction,Entity,StateOfNewYorkJurisdiction
L-5493006MHB84DD0ZWV18-LEI,Entity,L-5493006MHB84DD0ZWV18-LEI
StateOfCaliforniaJurisdiction,Entity,StateOfCaliforniaJurisdiction
USExampleEntities.rdf version of this ontology was revised to update the LEI format to use the form published by the GLEIF at data.world.,Entity,USExampleEntities.rdf version of this ontology was revised to update the LEI format to use the form published by the GLEIF at data.world.
ExplicitDate,Entity,ExplicitDate
Alphabet Inc. business entity identifier,Entity,Alphabet Inc. business entity identifier
The Proctor & Gamble Company US-OH,Entity,The Proctor & Gamble Company US-OH
