id,type,name
Employment of Katherine Adams at Apple Inc.,Entity,Employment of Katherine Adams at Apple Inc.
Katherine Adams date of birth,Entity,Katherine Adams date of birth
Katherine Adams as General Counsel,Entity,Katherine Adams as General Counsel
Katherine Adams as employee,Entity,Katherine Adams as employee
Employment,Entity,Employment
1960-11-01,Entity,1960-11-01
Tim Cook hire date,Entity,Tim Cook hire date
KatherineAdamsAsGeneralCounsel,Entity,KatherineAdamsAsGeneralCounsel
Employer,Entity,Employer
situation representing the relationship between Apple Inc. as an employer and Tim Cook as an employee,Entity,situation representing the relationship between Apple Inc. as an employer and Tim Cook as an employee
KatherineAdamsDateOfBirth,Entity,KatherineAdamsDateOfBirth
Person,Entity,Person
KatherineAdamsAsEmployee,Entity,KatherineAdamsAsEmployee
Employee,Entity,Employee
TimCook,Entity,TimCook
US Example Executives,Entity,US Example Executives
Provisional,Entity,Provisional
Apple Inc. in its role as a corporation that is controlled to some degree by its corporate officers,Entity,Apple Inc. in its role as a corporation that is controlled to some degree by its corporate officers
Tim Cook date of birth,Entity,Tim Cook date of birth
date on which Katherine Adams was born,Entity,date on which Katherine Adams was born
DateOfBirth,Entity,DateOfBirth
"Copyright (c) 2022-2024 EDM Council, Inc.",Entity,"Copyright (c) 2022-2024 EDM Council, Inc."
person that is an American attorney and corporate lawyer,Entity,person that is an American attorney and corporate lawyer
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
Katherine Adams in the role of Senior Vice President of Legal and Global Security and General Counsel of Apple Inc.,Entity,Katherine Adams in the role of Senior Vice President of Legal and Global Security and General Counsel of Apple Inc.
DatePeriod,Entity,DatePeriod
name that is on Tim Cook's birth certificate and that he uses for legal purposes,Entity,name that is on Tim Cook's birth certificate and that he uses for legal purposes
Katherine Adams in the role of being employed by Apple Inc.,Entity,Katherine Adams in the role of being employed by Apple Inc.
owl#NamedIndividual,Entity,owl#NamedIndividual
Timothy Donald Cook,Entity,Timothy Donald Cook
1998-03-01,Entity,1998-03-01
,Entity,
CorporateOfficer,Entity,CorporateOfficer
date on which Tim Cook was born,Entity,date on which Tim Cook was born
ControlledParty,Entity,ControlledParty
EmploymentOfTimCookAtAppleInc,Entity,EmploymentOfTimCookAtAppleInc
Katherine Leatherman Adams,Entity,Katherine Leatherman Adams
TimCookDateOfBirth,Entity,TimCookDateOfBirth
Katherine Adams full legal name,Entity,Katherine Adams full legal name
name that is on Katherine Adams' birth certificate and that she uses for legal purposes,Entity,name that is on Katherine Adams' birth certificate and that she uses for legal purposes
AppleIncAsControlledParty,Entity,AppleIncAsControlledParty
Apple Inc. as employer,Entity,Apple Inc. as employer
Tim Cook full legal name,Entity,Tim Cook full legal name
PersonName,Entity,PersonName
"Copyright (c) 2022-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2022-2024 Object Management Group, Inc."
"person that lives in Palo Alto, California in the San Francisco Bay Area",Entity,"person that lives in Palo Alto, California in the San Francisco Bay Area"
Employment of Tim Cook at Apple Inc.,Entity,Employment of Tim Cook at Apple Inc.
Tim Cook in the role of CEO of Apple Inc.,Entity,Tim Cook in the role of CEO of Apple Inc.
TimCookAsChiefExecutiveOfficer,Entity,TimCookAsChiefExecutiveOfficer
KatherineAdams,Entity,KatherineAdams
ExplicitDate,Entity,ExplicitDate
TimCookFullLegalName,Entity,TimCookFullLegalName
ChiefExecutiveOfficer,Entity,ChiefExecutiveOfficer
owl#Ontology,Entity,owl#Ontology
date period reflecting when Tim Cook was (is) employed by Apple Inc.,Entity,date period reflecting when Tim Cook was (is) employed by Apple Inc.
date on which Tim Cook was hired by Apple Inc.,Entity,date on which Tim Cook was hired by Apple Inc.
1964-04-20,Entity,1964-04-20
TimCookHireDate,Entity,TimCookHireDate
situation representing the relationship between Apple Inc. as an employer and Katherine Adams as an employee,Entity,situation representing the relationship between Apple Inc. as an employer and Katherine Adams as an employee
Tim Cook as Chief Executive Officer,Entity,Tim Cook as Chief Executive Officer
This ontology includes example corporate executives and other people to demonstrate how to model them using FIBO.,Entity,This ontology includes example corporate executives and other people to demonstrate how to model them using FIBO.
Katherine Adams,Entity,Katherine Adams
AppleIncAsEmployer,Entity,AppleIncAsEmployer
Tim Cook in the role of being employed by Apple Inc.,Entity,Tim Cook in the role of being employed by Apple Inc.
KatherineAdamsFullLegalName,Entity,KatherineAdamsFullLegalName
TimCookPeriodOfEmployment,Entity,TimCookPeriodOfEmployment
AppleInc-US-CA,Entity,AppleInc-US-CA
Apple Inc. as controlled party,Entity,Apple Inc. as controlled party
MIT,Entity,MIT
Tim Cook,Entity,Tim Cook
Tim Cook period of employment,Entity,Tim Cook period of employment
Tim Cook as employee,Entity,Tim Cook as employee
TimCookAsEmployee,Entity,TimCookAsEmployee
EmploymentOfKatherineAdamsAtAppleInc,Entity,EmploymentOfKatherineAdamsAtAppleInc
Apple Inc. in its role as a corporation that has employees,Entity,Apple Inc. in its role as a corporation that has employees
