id,type,name
hasStartDate,Entity,hasStartDate
Nc8e03c69b6514853a593f81a3e096e41,Entity,Nc8e03c69b6514853a593f81a3e096e41
AssessPoolSuitablilityForIssuance,Entity,AssessPoolSuitablilityForIssuance
PassThroughMBSSecuritizationProcess,Entity,PassThroughMBSSecuritizationProcess
N86be050976ae4360ad2ddf6518ccf433,Entity,N86be050976ae4360ad2ddf6518ccf433
hasStage,Entity,hasStage
OfferingDocument,Entity,OfferingDocument
NonAgencyPoolCreationProcess,Entity,NonAgencyPoolCreationProcess
N852dde103281418287ba5c8008e2c0f7,Entity,N852dde103281418287ba5c8008e2c0f7
results in appointment of,Entity,results in appointment of
PreliminaryProspectus,Entity,PreliminaryProspectus
N6f5787b788f5477cbe58f27c822b0fea,Entity,N6f5787b788f5477cbe58f27c822b0fea
PassThroughOfferingMemorandum,Entity,PassThroughOfferingMemorandum
Term origin:MBS PoC Reviews,Entity,Term origin:MBS PoC Reviews
PotentialPassThroughIssuanceUnderwriter,Entity,PotentialPassThroughIssuanceUnderwriter
purchases,Entity,purchases
pass through m b s final termsheet,Entity,pass through m b s final termsheet
add mortgage to pool,Entity,add mortgage to pool
has resource,Entity,has resource
owl#Restriction,Entity,owl#Restriction
hasEndDate,Entity,hasEndDate
identify underwriter,Entity,identify underwriter
PassThroughMBSFinalProspectus,Entity,PassThroughMBSFinalProspectus
N062c3d3ff81a41219adee6df66a0c88c,Entity,N062c3d3ff81a41219adee6df66a0c88c
Naf436048c81847fa82938e1dd6c6fb2b,Entity,Naf436048c81847fa82938e1dd6c6fb2b
minimumRating,Entity,minimumRating
not yet issued agency mortgage pool,Entity,not yet issued agency mortgage pool
IdentifyUnderwriter,Entity,IdentifyUnderwriter
N4a02aaedcacf467d8cf17b532914ceb1,Entity,N4a02aaedcacf467d8cf17b532914ceb1
BondAmortizationPaymentTerms,Entity,BondAmortizationPaymentTerms
adds,Entity,adds
PoolConformanceCriteria,Entity,PoolConformanceCriteria
validate conformance,Entity,validate conformance
pass through issue prospectus part,Entity,pass through issue prospectus part
isAssessmentOf,Entity,isAssessmentOf
PassThroughIssueProspectusPart,Entity,PassThroughIssueProspectusPart
MakeSecuritiesAvailabeInMarket,Entity,MakeSecuritiesAvailabeInMarket
SuitableForIssue,Entity,SuitableForIssue
IssuanceProcessActivity,Entity,IssuanceProcessActivity
AgencyMortgagePool,Entity,AgencyMortgagePool
AgencyMortgagePoolCreationProcess,Entity,AgencyMortgagePoolCreationProcess
N1da9d50d9bf442b697d2f32664855ac0,Entity,N1da9d50d9bf442b697d2f32664855ac0
N1e488f32ea7b49c08c19ba6a27ca1f2c,Entity,N1e488f32ea7b49c08c19ba6a27ca1f2c
Draft of set of information defining the pass thorugh security terms. These will eventually become the contractual terms of the instrument. Term origin:MBS PoC Reviews,Entity,Draft of set of information defining the pass thorugh security terms. These will eventually become the contractual terms of the instrument. Term origin:MBS PoC Reviews
pass through m b s final prospectus,Entity,pass through m b s final prospectus
maximumLoanBalance,Entity,maximumLoanBalance
MIT,Entity,MIT
Ncf30028a407e47c3a3cff5631b6a6399,Entity,Ncf30028a407e47c3a3cff5631b6a6399
RetailAssetPoolCreationProcess,Entity,RetailAssetPoolCreationProcess
pass through offering memorandum,Entity,pass through offering memorandum
AddMortgageToPool,Entity,AddMortgageToPool
PassThroughMBSFinalTermsheet,Entity,PassThroughMBSFinalTermsheet
N20282ca6801a4af2b9778f00d59e3e56,Entity,N20282ca6801a4af2b9778f00d59e3e56
IdentifyConformingMortgage,Entity,IdentifyConformingMortgage
NotYetIssued,Entity,NotYetIssued
refersTo,Entity,refersTo
potential agency m b s issuer,Entity,potential agency m b s issuer
finalize pool content,Entity,finalize pool content
draw up termsheet,Entity,draw up termsheet
N240ef8cc79cb4e579ca9a5248f9aa9f9,Entity,N240ef8cc79cb4e579ca9a5248f9aa9f9
N037e9e9c5a3e4365a0096622be357363,Entity,N037e9e9c5a3e4365a0096622be357363
allocate primary identifier,Entity,allocate primary identifier
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
includesDetailsAbout,Entity,includesDetailsAbout
PassThroughMBSDraftProspectus,Entity,PassThroughMBSDraftProspectus
owl#ObjectProperty,Entity,owl#ObjectProperty
Nab8b08ab83cc4d3db729021a8a4c8ded,Entity,Nab8b08ab83cc4d3db729021a8a4c8ded
purchase,Entity,purchase
"The draft prospectus for a pass through Mortgage Backed Securities issue, as determined by the issuing agency prior to marketing the issue. Certain terms in the draft prospectus will be finalized later in the issuance process to become the actual Prospectus. Term origin:MBS PoC Reviews",Entity,"The draft prospectus for a pass through Mortgage Backed Securities issue, as determined by the issuing agency prior to marketing the issue. Certain terms in the draft prospectus will be finalized later in the issuance process to become the actual Prospectus. Term origin:MBS PoC Reviews"
