id,type,name
SecuritiesIssuanceModule,Entity,SecuritiesIssuanceModule
owl#Ontology,Entity,owl#Ontology
Module,Entity,Module
"This module contains ontologies of securities issuance process concepts, both for processes common to all securities issuance and variants for common types of equity and debt issuance such as auction and syndication.",Entity,"This module contains ontologies of securities issuance process concepts, both for processes common to all securities issuance and variants for common types of equity and debt issuance such as auction and syndication."
Financial Industry Business Ontology (FIBO) Business Process (BP) Securities Issuance Module,Entity,Financial Industry Business Ontology (FIBO) Business Process (BP) Securities Issuance Module
MIT,Entity,MIT
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
2023-01-30T18:00:00,Entity,2023-01-30T18:00:00
Metadata for the EDMC-FIBO Business Process (BP) Securities Issuance Module,Entity,Metadata for the EDMC-FIBO Business Process (BP) Securities Issuance Module
owl#NamedIndividual,Entity,owl#NamedIndividual
2018-03-01T18:00:00,Entity,2018-03-01T18:00:00
,Entity,
securities issuance module,Entity,securities issuance module
FIBO BP Securities Issuance Module,Entity,FIBO BP Securities Issuance Module
