id,type,name
underwriting issuance closing,Entity,underwriting issuance closing
d t c c member,Entity,d t c c member
N2d09c276efa243a08f06b98849b553cb,Entity,N2d09c276efa243a08f06b98849b553cb
XMLSchema#integer,Entity,XMLSchema#integer
advises,Entity,advises
has bond counsel,Entity,has bond counsel
remarketing agent,Entity,remarketing agent
Nee0dd49b05124070bc7f6c67284d5588,Entity,Nee0dd49b05124070bc7f6c67284d5588
N5baa1e80ffa04316963648d489672384,Entity,N5baa1e80ffa04316963648d489672384
makesDecisionOn,Entity,makesDecisionOn
"A bank, brokerage or other financial institution that is not a direct DTC member. Correspondents rely on direct DTC Participants to perform their DTC settlement services",Entity,"A bank, brokerage or other financial institution that is not a direct DTC member. Correspondents rely on direct DTC Participants to perform their DTC settlement services"
actualClosingDate,Entity,actualClosingDate
hasPayingAgent,Entity,hasPayingAgent
SecuritiesIssuanceContext,Entity,SecuritiesIssuanceContext
givesRiseTo,Entity,givesRiseTo
underwriting issuance requestor,Entity,underwriting issuance requestor
DateTime,Entity,DateTime
isCreditingParticipant,Entity,isCreditingParticipant
Dissemination,Entity,Dissemination
owl#Restriction,Entity,owl#Restriction
Nc8f988b9137644528662761e714208a4,Entity,Nc8f988b9137644528662761e714208a4
process participant,Entity,process participant
N193056bdc390447db02b737aa3c9d4a6,Entity,N193056bdc390447db02b737aa3c9d4a6
UnderwriterTakedown,Entity,UnderwriterTakedown
"A firm which is a member of DTCC. Note: this Actor may perform any of the Roles described elsewhere in this Issuance model, i.e. the DTCC Member may also be any of the Actors defined. REVIEW: does this apply to ALL the defined Actor types?",Entity,"A firm which is a member of DTCC. Note: this Actor may perform any of the Roles described elsewhere in this Issuance model, i.e. the DTCC Member may also be any of the Actors defined. REVIEW: does this apply to ALL the defined Actor types?"
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
has remarketing agent,Entity,has remarketing agent
servicer,Entity,servicer
DTCCMember,Entity,DTCCMember
IssuerCounsel,Entity,IssuerCounsel
