source_id,target_id,relationship
isDefiningOf,isDefiningOf,rdf-schema#label
flow,MBSSecuritizationStart,rdf-schema#range
isPurchaseOf,is purchase of,rdf-schema#label
PoolReadyForIssue,Nc0307c6f3dd146c4adcb217b39f74d6d,owl#equivalentClass
N1d4e8d4e2d8b41508f8217747f88c6b5,NotYetIssuedNonAgencyMortgagePool,owl#someValuesFrom
PotentialMBSInvestor,owl#Class,22-rdf-syntax-ns#type
allocatesRatings,allocates ratings,rdf-schema#label
PoolLifecycleStateSelection,owl#Class,22-rdf-syntax-ns#type
hasCounterparty,TranchedMBSDealTransaction,rdf-schema#domain
RemittanceReport,Report,rdf-schema#subClassOf
hasResource.2,has resource,rdf-schema#label
N3d8fabdb3543472fba4c7b47500327b9,maximumAmount,owl#onProperty
N42e6a12198c843f399120756a5db62b7,owl#Restriction,22-rdf-syntax-ns#type
IndividualTrancheDefinitions,N3190339c3a64478aaeb98d193cc535ec,rdf-schema#subClassOf
CloseDeal,N10ee2ee3cd704014a506e1e811ea3641,rdf-schema#subClassOf
NonAgencyPoolCreationProcess,non agency pool creation process,rdf-schema#label
PotentialNonAgencyMBSIssuer,N62e322ef6f0c4db796deb7357db73a01,rdf-schema#subClassOf
PrimaryInvestor,owl#Class,22-rdf-syntax-ns#type
isAssessmentOf,is assessment of,rdf-schema#label
hasPrimaryHolder,TranchedMBSInstrument,rdf-schema#domain
TrancheNotesParameters,N3d8fabdb3543472fba4c7b47500327b9,rdf-schema#subClassOf
DraftTrancheNotesParameters,owl#Class,22-rdf-syntax-ns#type
resultsIn,TranchedMBSDealTransaction,rdf-schema#range
TranchedMBSInstrument,owl#Class,22-rdf-syntax-ns#type
N05816025b753499b8d81d58d0365239b,isIssueOf,owl#onProperty
TranchedDraftProspectus,N8e2b314393c044229e9a980c545e7d18,rdf-schema#subClassOf
MakeSecuritiesAvailableInMarket,N2be928bf6d75422582996d5c3d1f0988,rdf-schema#subClassOf
Nb47ddee5f4664ba4a54bea23540207d5,SecurityUnderwriter,owl#someValuesFrom
Nb44f25fb538a4b158f01b4779fe0fe6a,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
maximumAmount,owl#ObjectProperty,22-rdf-syntax-ns#type
TrancheStructureAndTermsheet,TranchedMBSIssueProspectusPart,rdf-schema#subClassOf
hasContent.1,owl#ObjectProperty,22-rdf-syntax-ns#type
resultsIn.2,results in,rdf-schema#label
hasTrustee,owl#ObjectProperty,22-rdf-syntax-ns#type
isIssueOf,is issue of,rdf-schema#label
identifierIssuedBy,TranchedMBSInstrument,rdf-schema#domain
PoolReadyForIssue,owl#Class,22-rdf-syntax-ns#type
maximumAmount,MonetaryAmount,rdf-schema#range
RatingsSuitableForIssue,owl#Class,22-rdf-syntax-ns#type
N87ee8df1106c43228c18983b80e93f8c,addsTo,owl#onProperty
AllocateRatings,IssuanceProcessActivity,rdf-schema#subClassOf
N2be928bf6d75422582996d5c3d1f0988,TranchedMBSDealProspectus,owl#someValuesFrom
CloseDeal,close deal,rdf-schema#label
Nbccd26e0fc41428c829292334efd9789,NonAgencyMortgagePool,owl#someValuesFrom
Nba5c740cd2324468adb43a94a64a91f4,hasContractualElement,owl#onProperty
isDefiningOf,DefinePoolCharacteristics,rdf-schema#domain
commitmentBasedOn,owl#ObjectProperty,22-rdf-syntax-ns#type
IndividualTrancheDefinitions,TermSheet,rdf-schema#subClassOf
,,owl#versionIRI
requires.1,MakeSecuritiesAvailableInMarket,rdf-schema#domain
requires.1,TranchedMBSDealProspectus,rdf-schema#range
InAssemblyMortgagePool,Nfeb9884361cf4da280e460e6bdc74e23,rdf-schema#subClassOf
DefinePoolCharacteristics,define pool characteristics,rdf-schema#label
N8e2b314393c044229e9a980c545e7d18,TranchedMBSDealProspectus,owl#someValuesFrom
