source_id,target_id,relationship
,"Bureau of Economic Analysis (BEA, US Department of Commerce)",contributor
,Statistics Canada,contributor
,,owl#imports
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
,"This ontology provides metadata about the FIBO Corporate Actions and Events (CAE) Domain, which covers actions including corporate, market, and regulatory actions, ranging from business oriented events such as address and name changes, to those that are more specific to securities.",abstract
,Thematix Partners LLC,contributor
,"The 'all' ontology for CAE is provided for convenience for FIBO users. This ontology does not add new assertions, but imports the Production (Released) ontologies that comprise the FIBO Corporate Actions and Events (CAE) domain, including all of SEC but excluding reference and example individuals.",explanatoryNote
,Deutsche Bank,contributor
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,2023-02-03T18:00:00,modified
,Federal Reserve Bank of Kansas City,contributor
,Bloomberg LP,contributor
,John F. Gemski,contributor
,Census Bureau (US Department of Commerce),contributor
,agnos.ai UK Ltd,contributor
,"Bureau of Labor Statistics (BLS, US Department of Commerce)",contributor
,,owl#versionIRI
,2018-03-31T18:00:00,issued
,owl#Ontology,22-rdf-syntax-ns#type
,Bank of New York Mellon,contributor
,Citigroup,contributor
,No Magic,contributor
,"Adaptive, Inc.",contributor
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
, Mphasis,contributor
,Nordea Bank AB,contributor
,"Office of Financial Research (OFR), U.S. Department of the Treasury",contributor
,John F. Tierney,contributor
,"Wells Fargo Bank, N. A.",contributor
,"Pinnacle Bank (Morgan Hill, California)",contributor
,Financial Industry Business Ontology (FIBO) Corporate Actions and Events (CAE) Domain,title
,Tahoe Blue Ltd,contributor
,Corporate Actions and Events Domain,rdf-schema#label
