source_id,target_id,relationship
CAPG,ISO15022CorporateActionClassificationScheme,isMemberOf
SHPR,ISO 15022 classifier for corporate actions that pay shareholders an amount in cash issued from the shares premium reserve,core#definition
EXWA,IncomeOrientedClassifier,22-rdf-syntax-ns#type
DSCL,ISO15022CorporateActionClassificationScheme,isMemberOf
N0bbfd1f54d344426a1579d339c6707e0,owl#Restriction,22-rdf-syntax-ns#type
INTR,IncomeOrientedClassifier,22-rdf-syntax-ns#type
SPLF,ISO15022CorporateActionClassificationScheme,isMemberOf
PCAL,PCAL,hasTag
N79f1586aaa85449fae485429fa31756b,classifies,owl#onProperty
REDO,REDO,rdf-schema#label
PRED,ISO15022CorporateActionClassificationScheme,isMemberOf
SOFF,owl#NamedIndividual,22-rdf-syntax-ns#type
CAPG,IncomeOrientedClassifier,22-rdf-syntax-ns#type
DVCA,Neffee582a909439cbdbbe236ac6e76d9,22-rdf-syntax-ns#type
LIQU,LIQU,hasTag
BIDS,BusinessStrategyClassifier,22-rdf-syntax-ns#type
Na28a5f355f2a4488add8a69e61c08775,FullCallEarlyRedemptionAction,owl#allValuesFrom
BPUT,BPUT,rdf-schema#label
N2b823fec786646e6aa721c309417975b,owl#Restriction,22-rdf-syntax-ns#type
REDO,ISO15022CorporateActionClassificationScheme,isMemberOf
ISO15022CorporateActionClassificationScheme,owl#NamedIndividual,22-rdf-syntax-ns#type
DTCH,DTCH,rdf-schema#label
SHPR,ISO15022CorporateActionClassificationScheme,isMemberOf
EXOF,N242e0fe0392f4b288d004bb79b758d54,22-rdf-syntax-ns#type
REDM,owl#NamedIndividual,22-rdf-syntax-ns#type
DRIP,ISO15022CorporateActionClassificationScheme,isDefinedIn
WRTH,Nff3a0ebe3bcf48b8bf6f9d74be507683,22-rdf-syntax-ns#type
SHPR,SHPR,rdf-schema#label
N114151d0c2dd4cadae13bd93dee4640b,classifies,owl#onProperty
DVSE,DVSE,rdf-schema#label
MRGR,ISO15022CorporateActionClassificationScheme,isMemberOf
