source_id,target_id,relationship
,,owl#imports
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
CorporateEventsModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
,MIT,license
,This module contains ontologies of general corporate events and securities-related actions.,abstract
,2023-02-03T18:00:00,modified
CorporateEventsModule,corporate events module,rdf-schema#label
,Metadata for the EDMC-FIBO Corporate Actions and Events (CAE) Corporate Events Module,rdf-schema#label
,2018-03-31T18:00:00,issued
CorporateEventsModule,"Financial Industry Business Ontology (FIBO) Corporate Actions and Events (CAE) Domain, Corporate Events Module",title
,,owl#versionIRI
CorporateEventsModule,,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
CorporateEventsModule,Module,22-rdf-syntax-ns#type
CorporateEventsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
CorporateEventsModule,"This module contains ontologies that define common, general corporate events and securities-related actions.",abstract
CorporateEventsModule,FIBO CAE Corporate Events Module,title
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
CorporateEventsModule,MIT,license
CorporateEventsModule,,rdf-schema#seeAlso
CorporateEventsModule,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
