id,type,name
CorporateEventsModule,Entity,CorporateEventsModule
"Financial Industry Business Ontology (FIBO) Corporate Actions and Events (CAE) Domain, Corporate Events Module",Entity,"Financial Industry Business Ontology (FIBO) Corporate Actions and Events (CAE) Domain, Corporate Events Module"
owl#Ontology,Entity,owl#Ontology
This module contains ontologies of general corporate events and securities-related actions.,Entity,This module contains ontologies of general corporate events and securities-related actions.
Module,Entity,Module
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
"This module contains ontologies that define common, general corporate events and securities-related actions.",Entity,"This module contains ontologies that define common, general corporate events and securities-related actions."
FIBO CAE Corporate Events Module,Entity,FIBO CAE Corporate Events Module
MIT,Entity,MIT
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
Metadata for the EDMC-FIBO Corporate Actions and Events (CAE) Corporate Events Module,Entity,Metadata for the EDMC-FIBO Corporate Actions and Events (CAE) Corporate Events Module
corporate events module,Entity,corporate events module
,Entity,
2023-02-03T18:00:00,Entity,2023-02-03T18:00:00
