source_id,target_id,relationship
,"Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain, with Reference and Example Individuals",title
,,owl#imports
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
,"Mizuho Financial Group, Inc.",contributor
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,"The 'all' ontology for DER example individuals is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), Securities (SEC) and Derivatives (DER) domains, including all individuals, with examples of how to encode information for a notional interest rate swap contract.",explanatoryNote
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,2023-02-03T18:00:00,modified
,Bloomberg LP,contributor
,Quarule,contributor
,John F. Gemski,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
,"All Derivatives, Example Individuals",rdf-schema#label
,"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents.",abstract
,owl#Ontology,22-rdf-syntax-ns#type
,Commodities Futures Trading Commission (CFTC),contributor
,Working Ontologist,contributor
,Citigroup,contributor
,Office of Financial Research (US Dept of the Treasury),contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
,Nordea Bank AB,contributor
,John F. Tierney,contributor
,"Wells Fargo Bank, N.A.",contributor
,agnos.ai,contributor
,Credit Suisse,contributor
,Tahoe Blue Ltd,contributor
,FIBO+-+FCT+-+Derivatives+Home,creator
