id,type,name
involves,Entity,involves
negotiable commodity including offset credits,Entity,negotiable commodity including offset credits
gas commodity,Entity,gas commodity
CommoditySpotContract,Entity,CommoditySpotContract
polypropylene resource,Entity,polypropylene resource
indicates the per unit value of a given commodity as of some specified date,Entity,indicates the per unit value of a given commodity as of some specified date
Metal,Entity,Metal
EnergyTransmissionRights,Entity,EnergyTransmissionRights
component of a custom commodity basket whose relative importance with respect to other basket constituents is known,Entity,component of a custom commodity basket whose relative importance with respect to other basket constituents is known
"derivative instrument whose primary underlying notional item is based on something related to the weather, for example, the average temperature in Chicago in January",Entity,"derivative instrument whose primary underlying notional item is based on something related to the weather, for example, the average temperature in Chicago in January"
hasAsOfDate,Entity,hasAsOfDate
ExtractionResource,Entity,ExtractionResource
extraction resource that is natural gas,Entity,extraction resource that is natural gas
"CommoditiesContracts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"CommoditiesContracts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
negotiable commodity that is a freight index route,Entity,negotiable commodity that is a freight index route
owl#Restriction,Entity,owl#Restriction
PaperResource,Entity,PaperResource
freight resource,Entity,freight resource
"negotiable commodity that is obtained via some agricultural process, including forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee",Entity,"negotiable commodity that is obtained via some agricultural process, including forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee"
ReturnLeg,Entity,ReturnLeg
energy resource,Entity,energy resource
agricultural resource,Entity,agricultural resource
weather derivative,Entity,weather derivative
investment vehicle that tracks a basket of commodities to measure their price and investment return performance,Entity,investment vehicle that tracks a basket of commodities to measure their price and investment return performance
GasCommodity,Entity,GasCommodity
CommodityOption,Entity,CommodityOption
"CommoditiesContracts.rdf version of this ontology was modified to define a commodity index, and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).",Entity,"CommoditiesContracts.rdf version of this ontology was modified to define a commodity index, and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380)."
"In the United States, bullion that is eligible for reference in a commodities contract may include U.S. gold Buffalo coins minted by the U.S. Mint that are 1 troy ounce, 0.5 ounce, 0.25 ounce, or 0.10 ounce; 1 ounce silver coins; certain platinum coins; and gold, silver, palladium, and platinum bullion that meet or exceed the fineness requirements of a regulated futures contract. Bullion must also be certified by an approved certifier, typically identified by an exchange, including but not limited to the U.S. Mint.",Entity,"In the United States, bullion that is eligible for reference in a commodities contract may include U.S. gold Buffalo coins minted by the U.S. Mint that are 1 troy ounce, 0.5 ounce, 0.25 ounce, or 0.10 ounce; 1 ounce silver coins; certain platinum coins; and gold, silver, palladium, and platinum bullion that meet or exceed the fineness requirements of a regulated futures contract. Bullion must also be certified by an approved certifier, typically identified by an exchange, including but not limited to the U.S. Mint."
negotiable commodity including plastics,Entity,negotiable commodity including plastics
commodity underlying asset,Entity,commodity underlying asset
"derivative instrument whose primary underlying notional item is a physical commodity, or the price, or related index, or any other aspect related to a physical commodity",Entity,"derivative instrument whose primary underlying notional item is a physical commodity, or the price, or related index, or any other aspect related to a physical commodity"
commodity basket constituent,Entity,commodity basket constituent
CommoditiesContracts.rdf version of this ontology was modified to fix spelling errors.,Entity,CommoditiesContracts.rdf version of this ontology was modified to fix spelling errors.
physical precious metal that is officially recognized as being at least 99.5 percent pure,Entity,physical precious metal that is officially recognized as being at least 99.5 percent pure
"The cash flows from a commodity may be negative as you have a cost from holding the commodity but there are no interim cash flows, so it equates to a negative interest rate. So a commodity swap is like a TRS in that it is based on the return on the increase in value.",Entity,"The cash flows from a commodity may be negative as you have a cost from holding the commodity but there are no interim cash flows, so it equates to a negative interest rate. So a commodity swap is like a TRS in that it is based on the return on the increase in value."
EnergyResource,Entity,EnergyResource
commodity option,Entity,commodity option
negotiable commodity that is a mineral resource obtained via withdrawal from the natural environment,Entity,negotiable commodity that is a mineral resource obtained via withdrawal from the natural environment
GeneratedResource,Entity,GeneratedResource
MIT,Entity,MIT
industrial resource,Entity,industrial resource
"CommoditiesContracts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities.",Entity,"CommoditiesContracts.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities."
Commodity swaps typically involve the exchange of a floating commodity price for a set price over an agreed-upon period.,Entity,Commodity swaps typically involve the exchange of a floating commodity price for a set price over an agreed-upon period.
commodity return leg,Entity,commodity return leg
Underlier,Entity,Underlier
basket of commodities,Entity,basket of commodities
hasCommodityValueAsOfDate,Entity,hasCommodityValueAsOfDate
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
hasMonetaryAmount,Entity,hasMonetaryAmount
CFTC glossary,Entity,CFTC glossary
"leg of a commodity return swap in which the return is based on a physical commodity, or the price, or behavior of the price, or any other aspect related to a physical commodity",Entity,"leg of a commodity return swap in which the return is based on a physical commodity, or the price, or behavior of the price, or any other aspect related to a physical commodity"
base metal,Entity,base metal
"Commodity forwards are often settled via cash transactions in many industries, including for the purposes of commodity merchandising. Terms may be more ""personalized"" than is the case with standardized futures contracts (i.e., delivery time and amount are as determined between seller and buyer). A price may be agreed upon in advance, or there may be agreement that the price will be determined at the time of delivery. A forward contract is a private and customizable agreement that settles at the end of the agreement and is traded over-the-counter.",Entity,"Commodity forwards are often settled via cash transactions in many industries, including for the purposes of commodity merchandising. Terms may be more ""personalized"" than is the case with standardized futures contracts (i.e., delivery time and amount are as determined between seller and buyer). A price may be agreed upon in advance, or there may be agreement that the price will be determined at the time of delivery. A forward contract is a private and customizable agreement that settles at the end of the agreement and is traded over-the-counter."
WPU101 for example.,Entity,WPU101 for example.
"agricultural resource derived from the flesh of an animal (especially a mammal), such as pork bellies",Entity,"agricultural resource derived from the flesh of an animal (especially a mammal), such as pork bellies"
"Commodities that can be swapped include: energy. metal, agriculture, environmental, freight, polypropylene products, fertilizer, paper, single and multiple commodity indexes and baskets, and multi-commodity assets where each leg references a different commodity.",Entity,"Commodities that can be swapped include: energy. metal, agriculture, environmental, freight, polypropylene products, fertilizer, paper, single and multiple commodity indexes and baskets, and multi-commodity assets where each leg references a different commodity."
N15606399771449bdaceaf2bda6123cdc,Entity,N15606399771449bdaceaf2bda6123cdc
