id,type,name
triggering event,Entity,triggering event
deliverable obligation seller,Entity,deliverable obligation seller
"Note that the valuation determined via the appraisal of the underlying asset may include a quotation that is either an upper limit to the outstanding principal balance of the reference obligation for which the quote should be obtained, or a floating rate payer calculation amount.",Entity,"Note that the valuation determined via the appraisal of the underlying asset may include a quotation that is either an upper limit to the outstanding principal balance of the reference obligation for which the quote should be obtained, or a floating rate payer calculation amount."
N5183bc83a8b544e7b7a25e23bb08e3a6,Entity,N5183bc83a8b544e7b7a25e23bb08e3a6
Nfb77af02318b4cea8a88689e727402f9,Entity,Nfb77af02318b4cea8a88689e727402f9
CreditDerivative,Entity,CreditDerivative
"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code",Entity,"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code"
index tranche credit default swap,Entity,index tranche credit default swap
hasPriceDeterminationMethod,Entity,hasPriceDeterminationMethod
credit default swap index,Entity,credit default swap index
or dealers when determining the market value of the reference obligation for purposes of cash settlement,Entity,or dealers when determining the market value of the reference obligation for purposes of cash settlement
"or reference obligations, or a credit index (reference index)",Entity,"or reference obligations, or a credit index (reference index)"
owl#Restriction,Entity,owl#Restriction
index credit default swap,Entity,index credit default swap
credit default swap,Entity,credit default swap
N3dfb509b471e441f99cd03713c49dc62,Entity,N3dfb509b471e441f99cd03713c49dc62
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
hasBuyer,Entity,hasBuyer
allows substitution,Entity,allows substitution
hasMinimumQuotationAmount,Entity,hasMinimumQuotationAmount
"In a contingent credit default swap, the trigger requires both a credit event (as in a traditional credit default swap) and another specified event. The additional specified event is usually a significant movement in an index covering equities, commodities, interest rates, or some other overall measure of the economy or relevant industry.",Entity,"In a contingent credit default swap, the trigger requires both a credit event (as in a traditional credit default swap) and another specified event. The additional specified event is usually a significant movement in an index covering equities, commodities, interest rates, or some other overall measure of the economy or relevant industry."
N0edfcbeee1cc4603947a05bfcbebae59,Entity,N0edfcbeee1cc4603947a05bfcbebae59
N91109d7e46ac483a9c712fbae129aa85,Entity,N91109d7e46ac483a9c712fbae129aa85
Credit Default Swaps Ontology,Entity,Credit Default Swaps Ontology
