source_id,target_id,relationship
hasUnderlyingAssetPrice,has underlying asset price,rdf-schema#label
CalculationAgent,owl#Class,22-rdf-syntax-ns#type
CashflowExpression,expression that specifies a calculation of a cash flow as a component of a cashflow formula,core#definition
hasLastNoticeDate,SettlementTerms,rdf-schema#domain
IntroducingBroker,Broker,rdf-schema#subClassOf
Nfbe40fb6313046b38c76e70b2a2953aa,SettlementTerms,owl#someValuesFrom
hasFirstDeliveryDate,has first delivery date,rdf-schema#label
hasAdditionalCosts,MonetaryAmount,rdf-schema#range
N5ad6c41eb2d5441e93dbff5dba74ef38,0,owl#minQualifiedCardinality
Ne53fe27ec6c5440fa7a99a78ad9fbe72,involves,owl#onProperty
,DerivativesBasics.rdf version of this ontology was modified to eliminate duplication with concepts in LCC and eliminate a redundant subclass declaration in observable value.,core#changeNote
hasAmortizingNotionalAmount,indicates that the notional amount decreases through the life of the contract,core#definition
hasCalculationAgent,has calculation agent,rdf-schema#label
ParametricCashflowTerms,terms for a set of cashflows defined according to a mathematical formula,core#definition
N6236c362a41c400ab5c80f3e3432adbb,Underlier,owl#someValuesFrom
Na3f8549ed01046de922b0484b5ba48aa,N9a234d1430134be09bae219a23786597,22-rdf-syntax-ns#rest
ValuationTerms,Ne53fe27ec6c5440fa7a99a78ad9fbe72,rdf-schema#subClassOf
hasLastDeliveryDate,SettlementTerms,rdf-schema#domain
DerivativesClearingOrganization,"Substitution may be done through contract novation, for example. A derivatives clearing organization (DCO) also arranges or provides, on a multilateral basis, for the settlement or netting of obligations, or otherwise provides clearing services or arrangements that mutualize or transfer credit risk among participants.",explanatoryNote
IntroducingBroker,broker that solicits or accepts orders for derivatives that are traded on or subject to the rules of an exchange,core#definition
hasFirstDeliveryDate,hasExplicitDate,rdf-schema#subPropertyOf
ContractForDifference,DerivativeInstrument,rdf-schema#subClassOf
Underlier,N363f641693324131a37d7bc532096958,rdf-schema#subClassOf
ContractForDifference,CFD,abbreviation
ObservableValue,MonetaryAmount,rdf-schema#subClassOf
PayingParty,Payer,rdf-schema#subClassOf
N69649a7c9d1641c081a16fc7d6d3a1b7,hasFormula,owl#onProperty
IntroducingBroker,introducing broker,rdf-schema#label
hasConstantNotionalAmount,has constant notional amount,rdf-schema#label
Underlier,owl#Class,22-rdf-syntax-ns#type
DerivativeSettlementTerms,owl#Class,22-rdf-syntax-ns#type
hasConstantNotionalAmount,MonetaryAmount,rdf-schema#range
ReceivingParty,receiving counterparty,rdf-schema#label
hasSettlementTerms,DerivativeInstrument,rdf-schema#domain
hasSettlementTerms,SettlementTerms,rdf-schema#range
N363f641693324131a37d7bc532096958,owl#Restriction,22-rdf-syntax-ns#type
hasValuationTerms,relates a derivative to contractual terms specific to valuation of the underlying asset(s),core#definition
hasFirstDeliveryDate,owl#ObjectProperty,22-rdf-syntax-ns#type
hasFirstNoticeDate,has first notice date,rdf-schema#label
hasLastDeliveryDate,ExplicitDate,rdf-schema#range
,Derivatives Basics Ontology,rdf-schema#label
N9aef176c99ff4814a1670f8882ed04c7,Underlier,owl#someValuesFrom
hasSettlementTerms,relates a derivative to contractual terms specific to the settlement process,core#definition
CreditDerivative,"debtor relationship, enabling the creditor to effectively transfer some or all of the risk of a debtor defaulting to a third party",core#definition
DerivativeInstrument,N6236c362a41c400ab5c80f3e3432adbb,rdf-schema#subClassOf
UnderlyingAssetValuation,owl#Class,22-rdf-syntax-ns#type
OverTheCounterInstrument,financial instrument and bilateral contract that is not listed on an organized exchange,core#definition
Nfbe40fb6313046b38c76e70b2a2953aa,hasSettlementTerms,owl#onProperty
hasConstantNotionalAmount,"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019-10, clause 6.8.2",adaptedFrom
N5ad6c41eb2d5441e93dbff5dba74ef38,hasAdditionalCosts,owl#onProperty
hasCustomNotionalAmount,"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019-10, clause 6.8.2",adaptedFrom
DerivativeInstrument,Nfbe40fb6313046b38c76e70b2a2953aa,rdf-schema#subClassOf
N5ad6c41eb2d5441e93dbff5dba74ef38,MonetaryAmount,owl#onClass
DerivativesClearingOrganization,DCO,abbreviation
hasAmortizingNotionalAmount,owl#ObjectProperty,22-rdf-syntax-ns#type
hasValuationTerms,owl#ObjectProperty,22-rdf-syntax-ns#type
hasTickValue,DerivativeInstrument,rdf-schema#domain
DerivativeTerms,"contractual terms specific to derivative contracts, including terms related to payments and delivery between parties",core#definition
CashflowFormula,cashflow formula,rdf-schema#label
hasConstantNotionalAmount,hasNotionalAmount,rdf-schema#subPropertyOf
hasCustomNotionalAmount,hasNotionalAmount,rdf-schema#subPropertyOf
N363f641693324131a37d7bc532096958,N3e55880fff2f4f6fadd183a982a4aa97,owl#someValuesFrom
Nec63117561354558b268a2d454f4b4cb,0,owl#minQualifiedCardinality
hasAdditionalCosts,has additional costs,rdf-schema#label
Nf3ea275060d4425899b333141b8ce679,hasExpression,owl#onProperty
ObservableValue,owl#Class,22-rdf-syntax-ns#type
ObservableValue,Fair_value,rdf-schema#seeAlso
IntroducingBroker,IB,abbreviation
ParametricCashflowTerms,owl#Class,22-rdf-syntax-ns#type
N363f641693324131a37d7bc532096958,isPlayedBy,owl#onProperty
CalculationAgent,calculation agent,rdf-schema#label
ValuationTerms,DerivativeTerms,rdf-schema#subClassOf
Ne53fe27ec6c5440fa7a99a78ad9fbe72,owl#Restriction,22-rdf-syntax-ns#type
N7bc67a6bf5ab4ee29e56c931cf460408,Commodity,22-rdf-syntax-ns#first
CashflowTerms,DerivativeTerms,rdf-schema#subClassOf
CashflowTerms, expiry Observaton (not terms): Probability Sensitivity,core#editorialNote
hasAmortizingNotionalAmount,MonetaryAmount,rdf-schema#range
,,owl#imports
CreditDerivative,DerivativeInstrument,rdf-schema#subClassOf
N31ed2c532d714ecfa751e4631785c7db,owl#Restriction,22-rdf-syntax-ns#type
ObservableValue,observable value,rdf-schema#label
N9a234d1430134be09bae219a23786597,MarketRate,22-rdf-syntax-ns#first
hasFirstNoticeDate,hasExplicitDate,rdf-schema#subPropertyOf
hasFirstDeliveryDate,specifies the initial date in a range of dates by which the underlying asset (or some portion thereof) must be delivered in order for the terms of the contract to be fulfilled,core#definition
hasCalculationAgent,indicates the party that is responsible for determining the value of a derivative,core#definition
hasSettlementTerms,hasContractualElement,rdf-schema#subPropertyOf
hasAmortizingNotionalAmount,"ISO 10962:2019, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019-10, clause 6.8.2",adaptedFrom
CreditDerivative,credit derivative,rdf-schema#label
DerivativesClearingOrganization,clearing house that enables parties to substitute the credit of the DCO for the credit of the parties,core#definition
,"Copyright (c) 2015-2024 EDM Council, Inc.",copyright
IntroducingBroker,index.htm,adaptedFrom
N5ad6c41eb2d5441e93dbff5dba74ef38,owl#Restriction,22-rdf-syntax-ns#type
hasFirstNoticeDate,specifies the initial date on which a delivery notice can be issued,core#definition
ReceivingParty,owl#Class,22-rdf-syntax-ns#type
ContractForDifference,cash-settled derivative where the parties agree to exchange on the maturity of the contract the difference between the current value of the underlying asset and the initial value of that asset when the contract is initiated,core#definition
hasLastDeliveryDate,hasEndDate,rdf-schema#subPropertyOf
N3e55880fff2f4f6fadd183a982a4aa97,owl#Class,22-rdf-syntax-ns#type
,DerivativesBasics.rdf version of this ontology was modified to address text formatting issues identified via hygiene testing.,core#changeNote
,,owl#versionIRI
hasFirstNoticeDate,owl#ObjectProperty,22-rdf-syntax-ns#type
,"DerivativesBasics.rdf version of this ontology was modified to move designated contract market to the markets ontology in FBC and eliminate the notion of NonPhysicalUnderlier, which was determined to add unnecessary overhead.",core#changeNote
Na3f8549ed01046de922b0484b5ba48aa,Basket,22-rdf-syntax-ns#first
hasLastNoticeDate,ExplicitDate,rdf-schema#range
Ne293e2e9112e4fbc991dc6e35e9aeb7d,owl#Restriction,22-rdf-syntax-ns#type
N31ed2c532d714ecfa751e4631785c7db,hasUnderlyingAssetPrice,owl#onProperty
UnderlyingAssetValuation,N9aef176c99ff4814a1670f8882ed04c7,rdf-schema#subClassOf
,owl#Ontology,22-rdf-syntax-ns#type
Nfbe40fb6313046b38c76e70b2a2953aa,owl#Restriction,22-rdf-syntax-ns#type
OverTheCounterInstrument,MutualContractualAgreement,rdf-schema#subClassOf
DerivativeTerms,ContractualCommitment,rdf-schema#subClassOf
,"DerivativesBasics.rdf version of this ontology was modified to eliminate hasThirdParty as a superproperty of hasCalculationAgent, which led to unintended reasoning consequences, added concepts and properties specific to settlement and valuation required for futures, forwards, and options, and moved general properties from forwards and swaps up to derivatives basics.",core#changeNote
UnderlyingAssetValuation,underlying asset valuation,rdf-schema#label
ParametricCashflowTerms,parametric cashflow terms,rdf-schema#label
DerivativeSettlementTerms,"settlement terms specifying additional details with respect to what is to be delivered when, to whom, under what conditions at the time of settlement",core#definition
CalculationAgent,"The calculation agent can also establish the price for a structured product and may act as its guarantor and issuer. If the counterparty in a derivative transaction is a broker-dealer, then they will often act as the calculation agent.",explanatoryNote
