source_id,target_id,relationship
,EquitySwaps.rdf version of this ontology was modified to add the concept of a high-level equity swap as well as an equity volatility swap per the ISO CFI standard and to add references to the CFI where appropriate.,core#changeNote
N60d2cfad24ac41e4b11941dcf2dc09cd,hasContractualElement,owl#onProperty
N5bf95f015fa34129b38fac90ea6d41da,owl#Restriction,22-rdf-syntax-ns#type
DispersionSwapIndexConstituentsLeg,dispersion swap index constituents leg,rdf-schema#label
N28e5d1c5d8604ea699b77fd6bb232d5d,owl#Restriction,22-rdf-syntax-ns#type
N4f609df9bd5a40fa85f375bd9b035f7d,owl#Restriction,22-rdf-syntax-ns#type
EquityTotalReturnSwap,owl#Class,22-rdf-syntax-ns#type
EquityVarianceSwap,An equity variance swap is a forward swap that uses the variance (being the volatility squared) of an underlying's price movement over a period as the basis for the payoff calculation.,explanatoryNote
N776d0fe9bb364e6ba748e8756f120fcc,EquityReturnLeg,22-rdf-syntax-ns#first
EquitySwap,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fifth edition, 2021-06-15",adaptedFrom
EquityPriceReturnSwap,"A price return equity swap is similar to a total return swap, except that dividends are not passed through to the buyer).",explanatoryNote
DispersionSwapIndexLeg,owl#Class,22-rdf-syntax-ns#type
SpecialDividendLegTerms,special dividend leg terms,rdf-schema#label
N17cfcc7e41924bf8b9a5974bf27865ff,hasUnderlier,owl#onProperty
EquityReturnLeg,return leg whose income is based on an equity observable,core#definition
DividendLeg,N5bf95f015fa34129b38fac90ea6d41da,rdf-schema#subClassOf
DispersionSwapIndexLeg,dispersion swap index leg,rdf-schema#label
DividendLeg,owl#Class,22-rdf-syntax-ns#type
EquityCorrelationSwap,owl#Class,22-rdf-syntax-ns#type
EquityVolatilitySwap,dispersion swap that is a forward contract on the variability of movements in the price of its underlying equity observable,core#definition
EquityPriceReturnSwap,EquitySwap,rdf-schema#subClassOf
Nbe9a5dc1e91f49db9a8faccb9795019d,owl#Restriction,22-rdf-syntax-ns#type
EquityReturnLeg,N17cfcc7e41924bf8b9a5974bf27865ff,rdf-schema#subClassOf
EquityVolatilitySwap,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fifth edition, 2021-06-15",adaptedFrom
EquitySwap,equity swap,rdf-schema#label
N3155ed2f930a4808b5c1d041e38acaef,hasUnderlier,owl#onProperty
DispersionSwapIndexLeg,dispersion leg whose underlying is an equity index,core#definition
DividendLeg,dividend leg,rdf-schema#label
N2f0e9d70172746c19d8b348c3207edda,owl#Class,22-rdf-syntax-ns#type
,EquitySwaps.rdf version of this ontology was modified to fix spelling errors.,core#changeNote
Nd92cb55ff5054c89881d0662c00ce66a,owl#Restriction,22-rdf-syntax-ns#type
EquityCorrelationSwap,CorrelationSwap,rdf-schema#subClassOf
EquityTotalReturnSwap,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fifth edition, 2021-06-15",adaptedFrom
N4f609df9bd5a40fa85f375bd9b035f7d,EquityReturnLeg,owl#someValuesFrom
DividendSwap,equity swap that has at least one leg whose underlier is a dividend stream,core#definition
EquityCorrelationSwap,correlation swap that allows one to hedge risks associated with the observed average correlation of a collection of underlying equity products,core#definition
QualifyingDividendPeriod,qualifying dividend period,rdf-schema#label
,,owl#imports
EquityReturnLeg,owl#Class,22-rdf-syntax-ns#type
N60d2cfad24ac41e4b11941dcf2dc09cd,0,owl#minQualifiedCardinality
EquityVarianceSwap,dispersion swap in which the parties agree to exchange payments based on the difference between (i) the realized variance of the price changes of a specified equity underlier over a stated observation period and (ii) a fixed amount of variance that is agreed when the contract is executed,core#definition
EquityReturnLeg,equity return leg,rdf-schema#label
EquityTotalReturnSwap,total return swap whose return leg underlier is an equity observable,core#definition
SpecialDividendLegTerms,CashflowTerms,rdf-schema#subClassOf
EquityPriceReturnSwap,ReturnSwap,rdf-schema#subClassOf
N0a8126d870e54a67ae14444d71450778,DividendLeg,owl#someValuesFrom
Nafc65bc508ea469aa2f1f4bc7f270ac1,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
DispersionSwapIndexConstituentsLeg,N37ae7099a6554d16a81805db1916c826,rdf-schema#subClassOf
EquityPriceReturnSwap,equity price return swap,rdf-schema#label
N17cfcc7e41924bf8b9a5974bf27865ff,owl#Restriction,22-rdf-syntax-ns#type
EquityPriceReturnSwap,N4f609df9bd5a40fa85f375bd9b035f7d,rdf-schema#subClassOf
N60d2cfad24ac41e4b11941dcf2dc09cd,owl#Restriction,22-rdf-syntax-ns#type
Nd523d030bb3548dcb85688d020bbff00,isPlayedBy,owl#onProperty
,,owl#versionIRI
