source_id,target_id,relationship
DoubleBarrierOption,BarrierOption,rdf-schema#subClassOf
FixedLookbackStrikeExpression,CashflowExpression,rdf-schema#subClassOf
CommodoreOption,exotic option consisting of a number of digital barrier options that pay a coupon if a pre-determined level of the underlying or basket of underlyings is reached,core#definition
AverageRate,AsianOptionClassifier,22-rdf-syntax-ns#type
N9b81f39962a540fd906bfb4d3469924c,XMLSchema#positiveInteger,owl#someValuesFrom
N99e111bfb0b04c569723501c0fb9f6ea,hasMinuend,owl#onProperty
N81c0884efb314913baee89ae5f0b2c0b,comprises,owl#onProperty
N8341ed92e282416eacda27f694c2f7e4,PriceStructure,owl#someValuesFrom
GeometricCalculationStrategy,geometric calculation strategy,rdf-schema#label
N467e70b900774503ae0658b44709f942,1,owl#qualifiedCardinality
FixedLookbackStrikeExpression,cashflow expression specifying the arguments required to calculate the fixed price at which the lookback option is to be exercised,core#definition
Ndb3ae818e02c49f2a2f0f3284c0ce09e,PercentageMonetaryAmount,owl#onClass
N9bbdb90b738e4671b571ea54187f4d70,FixedLookbackStrikeExpression,owl#onClass
N99e111bfb0b04c569723501c0fb9f6ea,ProjectedValueAtMaturity,owl#someValuesFrom
LookbackOption,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019.",adaptedFrom
N0e009860eeb04b6792ce83f081f7b092,StrikePrice,owl#someValuesFrom
,"This ontology covers exotic options, a category of options contracts that differ from traditional options in their payment structures, expiration dates, and strike prices. The underlying asset or security can vary with exotic options allowing for more investment alternatives. Exotic options are hybrid securities that are often customizable to the needs of the investor, and most are traded over the counter (OTC).",abstract
N58ebedcb321b4dd0b630c87897b2ef17,MonetaryPrice,owl#someValuesFrom
N8d2e6876bb684da292bd8a48fbea6c0b,hasContractualElement,owl#onProperty
N80ce63bab7e64dc29c637ce6a39a3b0b,owl#Class,22-rdf-syntax-ns#type
N106934c71ff34146835b62a44ee39601,classifies,owl#onProperty
CompoundOption,ExoticOption,rdf-schema#subClassOf
isAboveStrikePrice,is above strike price,rdf-schema#label
Nc5be608916ea44e3aca201b2599e95ed,1,owl#qualifiedCardinality
LookbackStrikeTerms,N9bbdb90b738e4671b571ea54187f4d70,rdf-schema#subClassOf
AsianOption,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019.",adaptedFrom
Ndb3ae818e02c49f2a2f0f3284c0ce09e,0,owl#minQualifiedCardinality
hasSecondBarrierPrice,owl#ObjectProperty,22-rdf-syntax-ns#type
