source_id,target_id,relationship
CurrencyFuture,forex future,synonym
FutureOnFuture,N7e52430b3d5c4db1bd353b266b4db513,rdf-schema#subClassOf
DebtInstrumentFuture,Nbe1f78888db34642ac80b586795a206b,rdf-schema#subClassOf
N428e202f0d894799a221578932943b82,MoneyMarketInstrument,owl#someValuesFrom
Future,owl#Class,22-rdf-syntax-ns#type
EquityForward,N7081f9e8e2304dd692065dcdd48e173f,rdf-schema#subClassOf
FutureOnOption,owl#Class,22-rdf-syntax-ns#type
Future,futures contract,synonym
N33cdf2afa8a646bbb5d72cf9d7e65955,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
hasDividendAdjustmentPeriod,owl#ObjectProperty,22-rdf-syntax-ns#type
FinancialFuture,financial future,rdf-schema#label
DebtInstrumentFuture,DebtInstrumentDerivative,rdf-schema#subClassOf
N7e52430b3d5c4db1bd353b266b4db513,hasUnderlier,owl#onProperty
N7081f9e8e2304dd692065dcdd48e173f,owl#Restriction,22-rdf-syntax-ns#type
N11f04e2685d949e0997c77163b89bcaf,Future,owl#someValuesFrom
Future,N65ddcb89e2624bd98035387300aec6c9,rdf-schema#subClassOf
InterestRateFuture,futures contract with an interest-bearing instrument as the underlying asset,core#definition
N65ddcb89e2624bd98035387300aec6c9,hasLotSize,owl#onProperty
FutureOnOption,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",adaptedFrom
Nc1dbbc4964ea4308a4da79a1c9627367,SettlementTerms,owl#someValuesFrom
CurrencyFuture,owl#Class,22-rdf-syntax-ns#type
EquityForward,"forward contract to buy or sell the underlying equity stock, equity index, basket of equity stock, equity futures contract, or equity option at a specified future date at the price specified at the outset of the contract",core#definition
BondFuture,owl#Class,22-rdf-syntax-ns#type
N3bc3e1b95d5741cfa2281683c724a618,N4b6ec9603ec448379179d5b4e2901a36,22-rdf-syntax-ns#rest
InterestRateFuture,Nafa81ef2c9214f9c9d29da2d879509f3,rdf-schema#subClassOf
FinancialFuture,owl#Class,22-rdf-syntax-ns#type
Forward,forward,rdf-schema#label
DebtInstrumentFuture,futures contract whose underlying asset is at least one debt instrument,core#definition
N708b7cbff4bf4bde90d718ec6eda5525,MixedBasket,owl#someValuesFrom
Nc1dbbc4964ea4308a4da79a1c9627367,owl#Restriction,22-rdf-syntax-ns#type
N1915d37a43a84f53b0f9ab076b0515ce,BasketOfEquities,22-rdf-syntax-ns#first
hasMethodOfAdjustment,indicates the method used to address any changes to the contract based on events that occur over the contract lifecycle,core#definition
FutureOnSwap,future on swap,rdf-schema#label
N11f04e2685d949e0997c77163b89bcaf,appliesTo,owl#onProperty
Nf1695055c3c14cb9b1dcb690752f1e82,N8636640487024f67a3defeb7cdd4fb5d,owl#someValuesFrom
N65ddcb89e2624bd98035387300aec6c9,owl#Restriction,22-rdf-syntax-ns#type
hasMultiple,owl#DatatypeProperty,22-rdf-syntax-ns#type
EquityFuture,"futures contract whose underlying asset is at least one equity security, specifically a publicly issued and traded share",core#definition
hasMethodOfAdjustment,owl#ObjectProperty,22-rdf-syntax-ns#type
,"FuturesAndForwards.rdf version of this ontology was modified to incorporate the concepts that were originally in a separate, very small equity forwards ontology.",core#changeNote
Nea6f0ef8070647158aa9b3e5473008bd,hasUnderlier,owl#onProperty
IndexFuture,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",adaptedFrom
