id,type,name
hasStrategy,Entity,hasStrategy
N708b7cbff4bf4bde90d718ec6eda5525,Entity,N708b7cbff4bf4bde90d718ec6eda5525
FutureOnFuture,Entity,FutureOnFuture
dividend adjustment period,Entity,dividend adjustment period
method by which adjustments will be made to the contract should one or more of a number of extraordinary events occur,Entity,method by which adjustments will be made to the contract should one or more of a number of extraordinary events occur
"FuturesAndForwards.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"FuturesAndForwards.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
future on option,Entity,future on option
N234da6fa7074473cbc38ec285950e30d,Entity,N234da6fa7074473cbc38ec285950e30d
has method of adjustment,Entity,has method of adjustment
"This ontology defines concepts for derivative contracts, including forwards and futures, representing a commitment to sell or purchase the underlier at a defined price at a given time in the future.",Entity,"This ontology defines concepts for derivative contracts, including forwards and futures, representing a commitment to sell or purchase the underlier at a defined price at a given time in the future."
bond future,Entity,bond future
forward contract,Entity,forward contract
futures contract whose underlying asset is at least one reference index or economic indicator,Entity,futures contract whose underlying asset is at least one reference index or economic indicator
owl#Restriction,Entity,owl#Restriction
"Most interest rate futures that trade on American exchanges use U.S. Treasury securities, such as Treasury bills, Treasury bonds, certificates of deposit, Treasury notes, and Ginnie Mae securities, as the underlying asset.",Entity,"Most interest rate futures that trade on American exchanges use U.S. Treasury securities, such as Treasury bills, Treasury bonds, certificates of deposit, Treasury notes, and Ginnie Mae securities, as the underlying asset."
money market future,Entity,money market future
DividendAdjustmentPeriod,Entity,DividendAdjustmentPeriod
equity forward,Entity,equity forward
Strategy,Entity,Strategy
index future,Entity,index future
BasketOfEquities,Entity,BasketOfEquities
hasDatePeriod,Entity,hasDatePeriod
financial future,Entity,financial future
MoneyMarketInstrument,Entity,MoneyMarketInstrument
specifies,Entity,specifies
forex future,Entity,forex future
FuturesAndForwards.rdf version of this ontology was modified to better integrate adjustment method.,Entity,FuturesAndForwards.rdf version of this ontology was modified to better integrate adjustment method.
interest rate future,Entity,interest rate future
BondFuture,Entity,BondFuture
IndexFuture,Entity,IndexFuture
"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",Entity,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019"
FutureOnSwap,Entity,FutureOnSwap
future on future,Entity,future on future
Nb0879a1a52f84b2c9ad0dbe39a9e9b7b,Entity,Nb0879a1a52f84b2c9ad0dbe39a9e9b7b
ListedShare,Entity,ListedShare
N9ff7ce4fa931445b899363ca4fd77607,Entity,N9ff7ce4fa931445b899363ca4fd77607
Listing,Entity,Listing
FuturesAndForwards.rdf version of this ontology was modified to move designated contract market to the markets ontology in FBC and revise the definition of a CurrencyFuture to eliminate an unnecessary superclass and restriction due to the release of CurrencyContracts and to revise the definition of a dividend future to reference the listed share that it tracks rather than the dividend itself.,Entity,FuturesAndForwards.rdf version of this ontology was modified to move designated contract market to the markets ontology in FBC and revise the definition of a CurrencyFuture to eliminate an unnecessary superclass and restriction due to the release of CurrencyContracts and to revise the definition of a dividend future to reference the listed share that it tracks rather than the dividend itself.
N428e202f0d894799a221578932943b82,Entity,N428e202f0d894799a221578932943b82
note ($1 par value) to yield a fixed rate. The conversion factor is used to calculate a final delivery price.,Entity,note ($1 par value) to yield a fixed rate. The conversion factor is used to calculate a final delivery price.
owl#DatatypeProperty,Entity,owl#DatatypeProperty
EquityOption,Entity,EquityOption
contract terms established by a derivatives exchange that apply to any listing of a futures contract on that exchange.,Entity,contract terms established by a derivatives exchange that apply to any listing of a futures contract on that exchange.
MIT,Entity,MIT
futures contract whose underlying asset is at least one option contract,Entity,futures contract whose underlying asset is at least one option contract
BasketFuture,Entity,BasketFuture
MoneyMarketFuture,Entity,MoneyMarketFuture
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
DebtInstrumentFuture,Entity,DebtInstrumentFuture
"futures contract whose underlying asset is at least one equity security, specifically a publicly issued and traded share",Entity,"futures contract whose underlying asset is at least one equity security, specifically a publicly issued and traded share"
basket future,Entity,basket future
contract terms established by a derivatives exchange that apply to any futures contract traded on that exchange,Entity,contract terms established by a derivatives exchange that apply to any futures contract traded on that exchange
DesignatedContractMarket,Entity,DesignatedContractMarket
CashInstrument,Entity,CashInstrument
hasMultiple,Entity,hasMultiple
"dividend received on the underlying). Unlike a futures contract though, the price may also include a premium for counterparty credit risk, and the fact that there is not daily marking to market process to minimize default risk. If there is no allowance for these credit risks, then the forward price will equal the futures price.",Entity,"dividend received on the underlying). Unlike a futures contract though, the price may also include a premium for counterparty credit risk, and the fact that there is not daily marking to market process to minimize default risk. If there is no allowance for these credit risks, then the forward price will equal the futures price."
hasUnderlier,Entity,hasUnderlier
DebtInstrumentDerivative,Entity,DebtInstrumentDerivative
indicates the method used to address any changes to the contract based on events that occur over the contract lifecycle,Entity,indicates the method used to address any changes to the contract based on events that occur over the contract lifecycle
futures contract with a money market instrument as the underlying asset,Entity,futures contract with a money market instrument as the underlying asset
Nf4809fc394e24b8995bae2eef1e5326c,Entity,Nf4809fc394e24b8995bae2eef1e5326c
N7081f9e8e2304dd692065dcdd48e173f,Entity,N7081f9e8e2304dd692065dcdd48e173f
owl#ObjectProperty,Entity,owl#ObjectProperty
futures contract,Entity,futures contract
Ndf5223b00f3049f8807a303a005b0f4d,Entity,Ndf5223b00f3049f8807a303a005b0f4d
"Individual listings will take on these standard terms but they are not contractual terms of the futures contract, they are facts about that listing on that exchange.",Entity,"Individual listings will take on these standard terms but they are not contractual terms of the futures contract, they are facts about that listing on that exchange."
hasLotSize,Entity,hasLotSize
FinancialFuture,Entity,FinancialFuture
FixedIncomeSecurity,Entity,FixedIncomeSecurity
hasDividendAdjustmentPeriod,Entity,hasDividendAdjustmentPeriod
XMLSchema#decimal,Entity,XMLSchema#decimal
Nea6f0ef8070647158aa9b3e5473008bd,Entity,Nea6f0ef8070647158aa9b3e5473008bd
N1915d37a43a84f53b0f9ab076b0515ce,Entity,N1915d37a43a84f53b0f9ab076b0515ce
futures contract whose underlying asset is at least one (other) futures contract,Entity,futures contract whose underlying asset is at least one (other) futures contract
"Standard symbology for the commodities are standardized by the exchanges as part of their standard contracts, for example trading in standard bushels, commonly defined kinds of oil and so on. These give the units in which lot sizes are described and defined.",Entity,"Standard symbology for the commodities are standardized by the exchanges as part of their standard contracts, for example trading in standard bushels, commonly defined kinds of oil and so on. These give the units in which lot sizes are described and defined."
EquityDerivative,Entity,EquityDerivative
hasPublisher,Entity,hasPublisher
N802a413595d0477f8bbeaea6eae66c53,Entity,N802a413595d0477f8bbeaea6eae66c53
appliesTo,Entity,appliesTo
FutureOnOption,Entity,FutureOnOption
N5b3757671c7a45dea483232065584b98,Entity,N5b3757671c7a45dea483232065584b98
"forward contract to buy or sell the underlying equity stock, equity index, basket of equity stock, equity futures contract, or equity option at a specified future date at the price specified at the outset of the contract",Entity,"forward contract to buy or sell the underlying equity stock, equity index, basket of equity stock, equity futures contract, or equity option at a specified future date at the price specified at the outset of the contract"
N33cdf2afa8a646bbb5d72cf9d7e65955,Entity,N33cdf2afa8a646bbb5d72cf9d7e65955
has conversion factor,Entity,has conversion factor
hasConversionFactor,Entity,hasConversionFactor
Futures and Forwards Ontology,Entity,Futures and Forwards Ontology
Option,Entity,Option
ForwardContractAdjustmentMethod,Entity,ForwardContractAdjustmentMethod
OverTheCounterInstrument,Entity,OverTheCounterInstrument
hasContractualElement,Entity,hasContractualElement
"date period used to calculate the difference, if any between an anticipated dividend and the actual dividend distributed in that period",Entity,"date period used to calculate the difference, if any between an anticipated dividend and the actual dividend distributed in that period"
N3bc3e1b95d5741cfa2281683c724a618,Entity,N3bc3e1b95d5741cfa2281683c724a618
For each index there may be a different multiple for determining the price of the futures contract.,Entity,For each index there may be a different multiple for determining the price of the futures contract.
N7e52430b3d5c4db1bd353b266b4db513,Entity,N7e52430b3d5c4db1bd353b266b4db513
futures contract whose underlying asset is at least one stock dividend,Entity,futures contract whose underlying asset is at least one stock dividend
Nc1dbbc4964ea4308a4da79a1c9627367,Entity,Nc1dbbc4964ea4308a4da79a1c9627367
Nec761ae9639f40aba4b9f1e99b6970fd,Entity,Nec761ae9639f40aba4b9f1e99b6970fd
"FuturesAndForwards.rdf version of this ontology was modified to eliminate references to hasContractSize, clean up unnecessary restrictions on Future and Forward, and eliminate the redundant listing class.",Entity,"FuturesAndForwards.rdf version of this ontology was modified to eliminate references to hasContractSize, clean up unnecessary restrictions on Future and Forward, and eliminate the redundant listing class."
N65ddcb89e2624bd98035387300aec6c9,Entity,N65ddcb89e2624bd98035387300aec6c9
future on swap,Entity,future on swap
N200f2ac3a77949979445038785a208ac,Entity,N200f2ac3a77949979445038785a208ac
equity future,Entity,equity future
currency future,Entity,currency future
Release,Entity,Release
,Entity,
EconomicIndicator,Entity,EconomicIndicator
"FuturesAndForwards.rdf version of this ontology was modified to incorporate the concepts that were originally in a separate, very small equity forwards ontology.",Entity,"FuturesAndForwards.rdf version of this ontology was modified to incorporate the concepts that were originally in a separate, very small equity forwards ontology."
DerivativeTerms,Entity,DerivativeTerms
futures contract with an interest-bearing instrument as the underlying asset,Entity,futures contract with an interest-bearing instrument as the underlying asset
futures contract whose underlying asset is at least one swap contract,Entity,futures contract whose underlying asset is at least one swap contract
DividendFuture,Entity,DividendFuture
N4b6ec9603ec448379179d5b4e2901a36,Entity,N4b6ec9603ec448379179d5b4e2901a36
"FuturesAndForwards.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities.",Entity,"FuturesAndForwards.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities."
foreign exchange future,Entity,foreign exchange future
"A futures contract obligates the buyer to pay the seller a predetermined price based on the market value of the underlier, unless the contract is sold before settlement date which may happen if a trader waits to take a profit or cut a loss. This contrasts with options trading in which the option buyer may choose whether or not to exercise the option. Futures are distinguished from generic forward contracts in that they contain standardized terms, trade on a formal exchange, are regulated by overseeing agencies, and are guaranteed by clearing houses. Also, in order to insure that payment will occur, futures have a margin requirement that must be settled daily. Finally, by making an offsetting trade, taking delivery of goods, or arranging for an exchange of goods, futures contracts can be closed. Hedgers often trade futures for the purpose of keeping price risk in check.",Entity,"A futures contract obligates the buyer to pay the seller a predetermined price based on the market value of the underlier, unless the contract is sold before settlement date which may happen if a trader waits to take a profit or cut a loss. This contrasts with options trading in which the option buyer may choose whether or not to exercise the option. Futures are distinguished from generic forward contracts in that they contain standardized terms, trade on a formal exchange, are regulated by overseeing agencies, and are guaranteed by clearing houses. Also, in order to insure that payment will occur, futures have a margin requirement that must be settled daily. Finally, by making an offsetting trade, taking delivery of goods, or arranging for an exchange of goods, futures contracts can be closed. Hedgers often trade futures for the purpose of keeping price risk in check."
derivative instrument that is privately negotiated between parties to buy the underlier at a specified future date at the price specified in the contract,Entity,derivative instrument that is privately negotiated between parties to buy the underlier at a specified future date at the price specified in the contract
EquityFuture,Entity,EquityFuture
Na8527888543145eba6d20b8d9f8e5daa,Entity,Na8527888543145eba6d20b8d9f8e5daa
StandardizedFuturesListingTerms,Entity,StandardizedFuturesListingTerms
SettlementTerms,Entity,SettlementTerms
Future,Entity,Future
EquityIndex,Entity,EquityIndex
ReferenceIndex,Entity,ReferenceIndex
forward,Entity,forward
dividend future,Entity,dividend future
StandardizedTerms,Entity,StandardizedTerms
Nbe1f78888db34642ac80b586795a206b,Entity,Nbe1f78888db34642ac80b586795a206b
CurrencyFuture,Entity,CurrencyFuture
forward contract adjustment method,Entity,forward contract adjustment method
Forward,Entity,Forward
MixedBasket,Entity,MixedBasket
Nc96cebb4695f474a9002dd3807c41b69,Entity,Nc96cebb4695f474a9002dd3807c41b69
