id,type,name
contract leg 2 IY7VKEUR45886,Entity,contract leg 2 IY7VKEUR45886
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
contract leg 1 IY7VKEUR45886 notional amount,Entity,contract leg 1 IY7VKEUR45886 notional amount
InternationalSecuritiesIdentificationNumber,Entity,InternationalSecuritiesIdentificationNumber
SecuritiesTransaction-IY7VKEUR45886,Entity,SecuritiesTransaction-IY7VKEUR45886
Counterparty,Entity,Counterparty
contract leg 2 IY7VKEUR45886 floating interest rate,Entity,contract leg 2 IY7VKEUR45886 floating interest rate
FixedInterestRateLeg,Entity,FixedInterestRateLeg
Trader-J_Adams,Entity,Trader-J_Adams
Interest Rate Swap Example Individuals Ontology,Entity,Interest Rate Swap Example Individuals Ontology
2015-12-12,Entity,2015-12-12
IRSwapExampleIndividuals.rdf version of the ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.,Entity,IRSwapExampleIndividuals.rdf version of the ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.
owl#NamedIndividual,Entity,owl#NamedIndividual
contract IY7VKEUR45886 swap leg 1 that is a fixed interest rate leg,Entity,contract IY7VKEUR45886 swap leg 1 that is a fixed interest rate leg
EuropeanCentralBankBBusinessDayAdjustment,Entity,EuropeanCentralBankBBusinessDayAdjustment
contract leg 1 IY7VKEUR45886 fixed interest rate,Entity,contract leg 1 IY7VKEUR45886 fixed interest rate
SecuritiesTransaction,Entity,SecuritiesTransaction
"float, single currency interest rate swap",Entity,"float, single currency interest rate swap"
ISIN for sample swap contract IY7VKEUR45886,Entity,ISIN for sample swap contract IY7VKEUR45886
contract leg 1 IY7VKEUR45886,Entity,contract leg 1 IY7VKEUR45886
"Need to create the interest rate reset schedule or add a simple payment frequency, need a separate property for reference interest rate, need rate tenor",Entity,"Need to create the interest rate reset schedule or add a simple payment frequency, need a separate property for reference interest rate, need rate tenor"
SwapParty,Entity,SwapParty
unique swap identifier for sample swap contract IY7VKEUR45886,Entity,unique swap identifier for sample swap contract IY7VKEUR45886
portfolio Alpha,Entity,portfolio Alpha
swap contract party A,Entity,swap contract party A
MIT,Entity,MIT
swap contract party ZZZWWK96TRQY0F2IY7VK,Entity,swap contract party ZZZWWK96TRQY0F2IY7VK
securities transaction for contract IY7VKEUR45886,Entity,securities transaction for contract IY7VKEUR45886
sample contract portfolio Gamma,Entity,sample contract portfolio Gamma
SixMonths,Entity,SixMonths
contract leg 2 interest payment terms IY7VKEUR45886,Entity,contract leg 2 interest payment terms IY7VKEUR45886
contract leg 1 IY7VKEUR45886 effective date,Entity,contract leg 1 IY7VKEUR45886 effective date
PortfolioBeta,Entity,PortfolioBeta
ContractLeg1-IY7VKEUR45886,Entity,ContractLeg1-IY7VKEUR45886
portfolio Beta,Entity,portfolio Beta
FixedFloatSingleCurrencyInterestRateSwap,Entity,FixedFloatSingleCurrencyInterestRateSwap
ContractLeg1-IY7VKEUR45886-InterestRate,Entity,ContractLeg1-IY7VKEUR45886-InterestRate
ContractLeg2-IY7VKEUR45886-InterestRate,Entity,ContractLeg2-IY7VKEUR45886-InterestRate
securities transaction IY7VKEUR45886,Entity,securities transaction IY7VKEUR45886
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
1286805,Entity,1286805
2025-08-17,Entity,2025-08-17
ContractLeg1-IY7VKEUR45886-InterestPaymentTerms,Entity,ContractLeg1-IY7VKEUR45886-InterestPaymentTerms
"Need to create the 1st period fixing date, payment days offset, discount notional amount, average remaining notional currency, net present value currency (pair, of type monetary amount)",Entity,"Need to create the 1st period fixing date, payment days offset, discount notional amount, average remaining notional currency, net present value currency (pair, of type monetary amount)"
PortfolioGamma,Entity,PortfolioGamma
trader J. Adams,Entity,trader J. Adams
portfolio Delta,Entity,portfolio Delta
ISIN-ZZ216659451,Entity,ISIN-ZZ216659451
IY7VKEUR45886,Entity,IY7VKEUR45886
