id,type,name
fixed float cross currency interest rate swap,Entity,fixed float cross currency interest rate swap
Fixed-fixed swaps generally take the form of either a zero coupon swap or a cross-currency swap.,Entity,Fixed-fixed swaps generally take the form of either a zero coupon swap or a cross-currency swap.
hasFirstNotionalStepDate,Entity,hasFirstNotionalStepDate
Ne4b025b13dfa4b769e110cbc46a7c13e,Entity,Ne4b025b13dfa4b769e110cbc46a7c13e
Naa8406385c124fe99e91b0d01353e561,Entity,Naa8406385c124fe99e91b0d01353e561
hasStartDate,Entity,hasStartDate
"recurrence interval indicating the frequency with which step changes occur, which is a multiple of the calculation period in the calculation schedule",Entity,"recurrence interval indicating the frequency with which step changes occur, which is a multiple of the calculation period in the calculation schedule"
ProjectedContractEventSchedule,Entity,ProjectedContractEventSchedule
Nd1570c2bb9ec44ed9f477c22cbbb5605,Entity,Nd1570c2bb9ec44ed9f477c22cbbb5605
Nfed3261682714a65a52c9b2240146ff5,Entity,Nfed3261682714a65a52c9b2240146ff5
N4925d0bb89414cd9897101c098441709,Entity,N4925d0bb89414cd9897101c098441709
2,Entity,2
exchanges,Entity,exchanges
N2c87f98c61574c919d1061c39e9bb33d,Entity,N2c87f98c61574c919d1061c39e9bb33d
N7dfc97e40e3342f78cd99bab7c26f276,Entity,N7dfc97e40e3342f78cd99bab7c26f276
GovernmentBond,Entity,GovernmentBond
RateBasedDerivativeInstrument,Entity,RateBasedDerivativeInstrument
"interest rate swap in which the fixed rate cash flows are compounded and paid once on the expiration date, rather than periodically; the payments on the other side (which can be based on a floating interest rate or a fixed rate) follow typical swap payment schedules",Entity,"interest rate swap in which the fixed rate cash flows are compounded and paid once on the expiration date, rather than periodically; the payments on the other side (which can be based on a floating interest rate or a fixed rate) follow typical swap payment schedules"
FixedInterestRateLeg,Entity,FixedInterestRateLeg
N06261583e8d541daa67e29ad49b4134c,Entity,N06261583e8d541daa67e29ad49b4134c
Nce26ab1d986b4fe2bcfad0def62e2bd9,Entity,Nce26ab1d986b4fe2bcfad0def62e2bd9
indicates the initial date in a notional step schedule,Entity,indicates the initial date in a notional step schedule
N2c7c1da7f23948adabfbc0ee833e5a77,Entity,N2c7c1da7f23948adabfbc0ee833e5a77
DayCountConvention,Entity,DayCountConvention
basis rate swap,Entity,basis rate swap
Na606753751c84e30ac333dcbb14f12aa,Entity,Na606753751c84e30ac333dcbb14f12aa
owl#Restriction,Entity,owl#Restriction
hasBusinessRecurrenceIntervalConvention,Entity,hasBusinessRecurrenceIntervalConvention
N2d61058f153c4da4b41f1fb86d5b9ae5,Entity,N2d61058f153c4da4b41f1fb86d5b9ae5
interest rate swap stream,Entity,interest rate swap stream
hasEndDate,Entity,hasEndDate
N0e21b9cac08b4a279c037b33b308affc,Entity,N0e21b9cac08b4a279c037b33b308affc
"This ontology defines concepts specific to interest rate swap contracts, including but not limited to fixed and floating rate combinations, single and cross-currency contracts, etc.",Entity,"This ontology defines concepts specific to interest rate swap contracts, including but not limited to fixed and floating rate combinations, single and cross-currency contracts, etc."
N07f436e716c745ecb7372a8380a6445c,Entity,N07f436e716c745ecb7372a8380a6445c
N3867cfa817ea4fa4a3ce042fb4a17b74,Entity,N3867cfa817ea4fa4a3ce042fb4a17b74
basisrateswap.asp,Entity,basisrateswap.asp
interest rate swap in which the two streams of interest payments are in the same currency,Entity,interest rate swap in which the two streams of interest payments are in the same currency
float float single currency interest rate swap,Entity,float float single currency interest rate swap
N8c7229a4cf4b4ddc961091bf0079cdb7,Entity,N8c7229a4cf4b4ddc961091bf0079cdb7
interest rate swap that exchanges cashflows based on two different floating interest rates in the same currency,Entity,interest rate swap that exchanges cashflows based on two different floating interest rates in the same currency
1,Entity,1
fixed float cross-currency interest rate swap,Entity,fixed float cross-currency interest rate swap
Nefe15287ca294e47bd81af5896989669,Entity,Nefe15287ca294e47bd81af5896989669
InterestRateResetSchedule,Entity,InterestRateResetSchedule
Nfc3dbe056d654b5988b0f397b1b73f37,Entity,Nfc3dbe056d654b5988b0f397b1b73f37
"floating rate leg of an inflation swap linked to an inflation index, such as the Consumer Price Index (CPI)",Entity,"floating rate leg of an inflation swap linked to an inflation index, such as the Consumer Price Index (CPI)"
specifies,Entity,specifies
BasisSwap,Entity,BasisSwap
InterestPaymentSchedule,Entity,InterestPaymentSchedule
N0d65cee440e34f8abb88a7ed3c5fa756,Entity,N0d65cee440e34f8abb88a7ed3c5fa756
OvernightRateIndexLeg,Entity,OvernightRateIndexLeg
hasPaymentSchedule,Entity,hasPaymentSchedule
indicates a multiplier applied to the coupon before adding the floating rate spread,Entity,indicates a multiplier applied to the coupon before adding the floating rate spread
float-float interest rate swap,Entity,float-float interest rate swap
N40afea6967c24f229c39b60dc0d3c978,Entity,N40afea6967c24f229c39b60dc0d3c978
N0b41b8085614487583ea929959375072,Entity,N0b41b8085614487583ea929959375072
 version of this ontology was modified to eliminate the property 'hasPaymentSchedule' from the Swaps ontology in favor of the equivalent property with the same name from FND.,Entity, version of this ontology was modified to eliminate the property 'hasPaymentSchedule' from the Swaps ontology in favor of the equivalent property with the same name from FND.
N1908efda817a405eaf4f3ad6f2aa6043,Entity,N1908efda817a405eaf4f3ad6f2aa6043
cross-currency interest rate swap,Entity,cross-currency interest rate swap
InterestRateReset,Entity,InterestRateReset
Ncd5f85e3cb7547b6849d977d3dd1b38e,Entity,Ncd5f85e3cb7547b6849d977d3dd1b38e
hasLastNotionalStepDate,Entity,hasLastNotionalStepDate
FloatFloatInterestRateSwap,Entity,FloatFloatInterestRateSwap
hasNotionalAmount,Entity,hasNotionalAmount
"Note that this is an actual concrete sum of money, which may be specified either as a monetary amount (e.g. dollars and cents) or as a percentage of either the original notional amount or the previous notional amount.",Entity,"Note that this is an actual concrete sum of money, which may be specified either as a monetary amount (e.g. dollars and cents) or as a percentage of either the original notional amount or the previous notional amount."
float float cross-currency interest rate swap,Entity,float float cross-currency interest rate swap
Neb58dd12cac746d7a5ed821cc1009459,Entity,Neb58dd12cac746d7a5ed821cc1009459
owl#DatatypeProperty,Entity,owl#DatatypeProperty
StepEvent,Entity,StepEvent
has last notional step date,Entity,has last notional step date
MIT,Entity,MIT
plain vanilla interest rate swap,Entity,plain vanilla interest rate swap
interest rate swap in which fixed interest payments on the notional are exchanged for floating interest payments and where both payment streams are expressed in terms of the same currency,Entity,interest rate swap in which fixed interest payments on the notional are exchanged for floating interest payments and where both payment streams are expressed in terms of the same currency
NotionalStepChangeEvent,Entity,NotionalStepChangeEvent
Nf21c5c9ec17440059a46351e6b2ae6a6,Entity,Nf21c5c9ec17440059a46351e6b2ae6a6
OIS swap,Entity,OIS swap
Nef8d5a2d69c04da49d6ce7ae38d26855,Entity,Nef8d5a2d69c04da49d6ce7ae38d26855
Nf88fb65561da4f7fab5c43c95242d42b,Entity,Nf88fb65561da4f7fab5c43c95242d42b
" version of this ontology was modified to reflect the addition of the concept of a rates swap and the corresponding rate-based leg to the Swaps ontology and augment this ontology to include both OIS and zero coupon swaps to facilitate mapping to the CFI standard as well as eliminate a redundant notional step percentage amount, which is not used anywhere.",Entity," version of this ontology was modified to reflect the addition of the concept of a rates swap and the corresponding rate-based leg to the Swaps ontology and augment this ontology to include both OIS and zero coupon swaps to facilitate mapping to the CFI standard as well as eliminate a redundant notional step percentage amount, which is not used anywhere."
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
"ISO 10962, Securities and related financial instruments - Classification of Financial Instruments (CFI code), Fourth edition, 2019-10.",Entity,"ISO 10962, Securities and related financial instruments - Classification of Financial Instruments (CFI code), Fourth edition, 2019-10."
hasInterestRate,Entity,hasInterestRate
Nce744200dab24264bf760e4a26edf14f,Entity,Nce744200dab24264bf760e4a26edf14f
N049b81155a864b929c93dfe0ab810011,Entity,N049b81155a864b929c93dfe0ab810011
the amount of money that is subtracted from the notional on each step date,Entity,the amount of money that is subtracted from the notional on each step date
floating leg in which periodic payments are based on an overnight interest rate index multiplied by the same notional amount on which the payments for the other leg of the swap are based,Entity,floating leg in which periodic payments are based on an overnight interest rate index multiplied by the same notional amount on which the payments for the other leg of the swap are based
interest rate swap,Entity,interest rate swap
Nfebb9f1d36f740518440a7f08f722046,Entity,Nfebb9f1d36f740518440a7f08f722046
"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fifth edition, 2021-06-15",Entity,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fifth edition, 2021-06-15"
fixed-float cross-currency interest rate swap,Entity,fixed-float cross-currency interest rate swap
fixed-float interest rate swap,Entity,fixed-float interest rate swap
"Instead of an absolute rate you have either a variable reference rate or fixed reference rate and an offset that varies in some way, called a spread (same as margin in floating rate notes).",Entity,"Instead of an absolute rate you have either a variable reference rate or fixed reference rate and an offset that varies in some way, called a spread (same as margin in floating rate notes)."
Na8e382b09ed646f9bbe0221002dafb4c,Entity,Na8e382b09ed646f9bbe0221002dafb4c
Nc2a938c12ba647e79a9e5589d0819a87,Entity,Nc2a938c12ba647e79a9e5589d0819a87
N224a8a8afc904f3ba3d11366624282ee,Entity,N224a8a8afc904f3ba3d11366624282ee
N22476e0c893549baa92bfcd29df00902,Entity,N22476e0c893549baa92bfcd29df00902
N28e286df536f41e2a3126369f3367831,Entity,N28e286df536f41e2a3126369f3367831
N978325ab036446468d3c668544b63bd3,Entity,N978325ab036446468d3c668544b63bd3
indicates an optional ceiling (cap) on interest rates on floating rate debts,Entity,indicates an optional ceiling (cap) on interest rates on floating rate debts
has floating rate cap,Entity,has floating rate cap
fixed interest rate leg,Entity,fixed interest rate leg
N5491b05446034f3cb2ba30fb38708deb,Entity,N5491b05446034f3cb2ba30fb38708deb
FixedFloatInterestRateSwap,Entity,FixedFloatInterestRateSwap
NotionalStepPeriodLength,Entity,NotionalStepPeriodLength
hasUnderlier,Entity,hasUnderlier
FloatingLeg,Entity,FloatingLeg
FloatFloatCrossCurrencyInterestRateSwap,Entity,FloatFloatCrossCurrencyInterestRateSwap
Na1aa3f14e1a945fc8c6efa642498e13b,Entity,Na1aa3f14e1a945fc8c6efa642498e13b
FixedFloatCrossCurrencyInterestRateSwap,Entity,FixedFloatCrossCurrencyInterestRateSwap
fixed interest rate payment stream,Entity,fixed interest rate payment stream
float float interest rate swap,Entity,float float interest rate swap
fixed fixed interest rate swap,Entity,fixed fixed interest rate swap
Na7f007ccafe946e9bf8ba961e57046f3,Entity,Na7f007ccafe946e9bf8ba961e57046f3
N347ac0797f614ab4a5c936e02546e9c6,Entity,N347ac0797f614ab4a5c936e02546e9c6
owl#ObjectProperty,Entity,owl#ObjectProperty
hasRecurrenceInterval,Entity,hasRecurrenceInterval
"IRSwaps.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities.",Entity,"IRSwaps.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, and to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities."
N18056474931b441ea2a37713e30e42ff,Entity,N18056474931b441ea2a37713e30e42ff
fixed float single currency interest rate swap,Entity,fixed float single currency interest rate swap
