id,type,name
owl#Ontology,Entity,owl#Ontology
2023-02-03T18:00:00,Entity,2023-02-03T18:00:00
Module,Entity,Module
Financial Industry Business Ontology (FIBO) Derivatives (DER) Credit Derivatives Module,Entity,Financial Industry Business Ontology (FIBO) Derivatives (DER) Credit Derivatives Module
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
Metadata about the EDMC-FIBO Derivatives (DER) Credit Derivatives Module,Entity,Metadata about the EDMC-FIBO Derivatives (DER) Credit Derivatives Module
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
CreditDerivativesModule,Entity,CreditDerivativesModule
MIT,Entity,MIT
"The credit derivatives module covers derivatives that allow either the lender or borrower to transfer the credit risk, or risk of default, to another party other than the lender or debtholder.",Entity,"The credit derivatives module covers derivatives that allow either the lender or borrower to transfer the credit risk, or risk of default, to another party other than the lender or debtholder."
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
FIBO DER Credit Derivatives Module,Entity,FIBO DER Credit Derivatives Module
credit derivatives module,Entity,credit derivatives module
