source_id,target_id,relationship
DerivativesContractsModule,Nordea Bank AB,contributor
,2023-04-14T18:00:00,modified
DerivativesContractsModule,Credit Suisse,contributor
DerivativesContractsModule,John F. Tierney,contributor
DerivativesContractsModule,Citigroup,contributor
DerivativesContractsModule,agnos.ai,contributor
DerivativesContractsModule,Federated Knowledge LLC,contributor
,,owl#imports
DerivativesContractsModule,"Wells Fargo Bank, N.A.",contributor
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
DerivativesContractsModule,,hasPart
,The derivatives contracts module includes the contractual components common to all derivatives or to entire classes of derivatives.,abstract
DerivativesContractsModule,Tahoe Blue Ltd,contributor
,MIT,license
DerivativesContractsModule,Module,22-rdf-syntax-ns#type
DerivativesContractsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Derivatives (DER) Derivatives Contracts Module,rdf-schema#label
,2018-03-31T18:00:00,issued
,,owl#versionIRI
DerivativesContractsModule,"Mizuho Financial Group, Inc.",contributor
DerivativesContractsModule,Exprentis,contributor
DerivativesContractsModule,Thematix Partners LLC,contributor
DerivativesContractsModule,Deutsche Bank,contributor
,owl#Ontology,22-rdf-syntax-ns#type
DerivativesContractsModule,The derivatives contracts module includes the contractual components common to all derivatives or to entire classes of derivatives.,abstract
DerivativesContractsModule,State Street Bank and Trust,contributor
DerivativesContractsModule,,rdf-schema#seeAlso
DerivativesContractsModule,MIT,license
DerivativesContractsModule,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
DerivativesContractsModule,Bloomberg LP,contributor
DerivativesContractsModule,Quarule,contributor
DerivativesContractsModule,John F. Gemski,contributor
DerivativesContractsModule,FIBO DER Derivatives Contracts Module,title
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
DerivativesContractsModule,Financial Industry Business Ontology (FIBO) Derivatives (DER) Derivatives Contracts Module,title
DerivativesContractsModule,Commodities Futures Trading Commission (CFTC),contributor
DerivativesContractsModule,derivatives contracts module,rdf-schema#label
DerivativesContractsModule,Working Ontologist,contributor
DerivativesContractsModule,Office of Financial Research (US Dept of the Treasury),contributor
DerivativesContractsModule,"Adaptive, Inc.",contributor
DerivativesContractsModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
