source_id,target_id,relationship
RateDerivativesModule,FIBO DER Rate Derivatives Module,title
,Metadata about the EDMC-FIBO Derivatives (DER) Rate Derivatives Module,rdf-schema#label
RateDerivativesModule,rate derivatives module,rdf-schema#label
RateDerivativesModule,,hasPart
,,owl#imports
,"The rate derivatives module defines derivatives that are based on numerical rates such as interest rates, indices and the like.",abstract
RateDerivativesModule,Tahoe Blue Ltd,contributor
RateDerivativesModule,Financial Industry Business Ontology (FIBO) Derivatives (DER) Rate Derivatives Module,title
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
,MIT,license
RateDerivativesModule,Thematix Partners LLC,contributor
RateDerivativesModule,Module,22-rdf-syntax-ns#type
RateDerivativesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,2023-02-03T18:00:00,modified
RateDerivativesModule,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
RateDerivativesModule,"This module defines derivatives that are based on numerical rates such as interest rates, indices and the like.",abstract
RateDerivativesModule,"Mizuho Financial Group, Inc.",contributor
RateDerivativesModule,Exprentis,contributor
,2018-03-31T18:00:00,issued
RateDerivativesModule,Deutsche Bank,contributor
,,owl#versionIRI
RateDerivativesModule,State Street Bank and Trust,contributor
RateDerivativesModule,,rdf-schema#seeAlso
RateDerivativesModule,MIT,license
,owl#Ontology,22-rdf-syntax-ns#type
RateDerivativesModule,Bloomberg LP,contributor
RateDerivativesModule,Quarule,contributor
RateDerivativesModule,John F. Gemski,contributor
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
RateDerivativesModule,"Adaptive, Inc.",contributor
RateDerivativesModule,Commodities Futures Trading Commission (CFTC),contributor
RateDerivativesModule,Nordea Bank AB,contributor
RateDerivativesModule,Working Ontologist,contributor
RateDerivativesModule,Office of Financial Research (US Dept of the Treasury),contributor
RateDerivativesModule,Credit Suisse,contributor
RateDerivativesModule,"Wells Fargo Bank, N.A.",contributor
RateDerivativesModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
RateDerivativesModule,Citigroup,contributor
RateDerivativesModule,John F. Tierney,contributor
RateDerivativesModule,agnos.ai,contributor
RateDerivativesModule,Federated Knowledge LLC,contributor
