id,type,name
Nordea Bank AB,Entity,Nordea Bank AB
Module,Entity,Module
"The security-based derivatives module covers derivatives that have underlying securities, including those based on market indices or baskets securities.",Entity,"The security-based derivatives module covers derivatives that have underlying securities, including those based on market indices or baskets securities."
Deutsche Bank,Entity,Deutsche Bank
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
Financial Industry Business Ontology (FIBO) Derivatives (DER) Security-based Derivatives Module,Entity,Financial Industry Business Ontology (FIBO) Derivatives (DER) Security-based Derivatives Module
"Mizuho Financial Group, Inc.",Entity,"Mizuho Financial Group, Inc."
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Citigroup,Entity,Citigroup
Metadata about the EDMC-FIBO Derivatives (DER) Security-Based Derivatives Module,Entity,Metadata about the EDMC-FIBO Derivatives (DER) Security-Based Derivatives Module
Federated Knowledge LLC,Entity,Federated Knowledge LLC
John F. Tierney,Entity,John F. Tierney
security-based derivatives module,Entity,security-based derivatives module
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
Quarule,Entity,Quarule
SecurityBasedDerivativesModule,Entity,SecurityBasedDerivativesModule
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
Commodities Futures Trading Commission (CFTC),Entity,Commodities Futures Trading Commission (CFTC)
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
Working Ontologist,Entity,Working Ontologist
John F. Gemski,Entity,John F. Gemski
FIBO DER Security-based Derivatives Module,Entity,FIBO DER Security-based Derivatives Module
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
agnos.ai,Entity,agnos.ai
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
2023-02-03T18:00:00,Entity,2023-02-03T18:00:00
