id,type,name
DERDomain,Entity,DERDomain
Nordea Bank AB,Entity,Nordea Bank AB
Module,Entity,Module
Deutsche Bank,Entity,Deutsche Bank
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
"Mizuho Financial Group, Inc.",Entity,"Mizuho Financial Group, Inc."
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
FIBO+-+FCT+-+Derivatives+Home,Entity,FIBO+-+FCT+-+Derivatives+Home
John F. Tierney,Entity,John F. Tierney
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
Quarule,Entity,Quarule
derivatives domain,Entity,derivatives domain
SecurityBasedDerivativesModule,Entity,SecurityBasedDerivativesModule
DerivativesContractsModule,Entity,DerivativesContractsModule
FIBO DER Domain,Entity,FIBO DER Domain
"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives.",Entity,"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives."
Metadata about the EDMC-FIBO Derivatives (DER) Domain,Entity,Metadata about the EDMC-FIBO Derivatives (DER) Domain
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
RateDerivativesModule,Entity,RateDerivativesModule
Commodities Futures Trading Commission (CFTC),Entity,Commodities Futures Trading Commission (CFTC)
"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents.",Entity,"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents."
CreditDerivativesModule,Entity,CreditDerivativesModule
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain,Entity,Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
owl#Ontology,Entity,owl#Ontology
State Street Bank and Trust,Entity,State Street Bank and Trust
Working Ontologist,Entity,Working Ontologist
John F. Gemski,Entity,John F. Gemski
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
agnos.ai,Entity,agnos.ai
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
2023-02-03T18:00:00,Entity,2023-02-03T18:00:00
