source_id,target_id,relationship
N4d4e904da78a4eb1b5b45e2aad5897c3,0,owl#minQualifiedCardinality
CompanyWarrant,owl#Class,22-rdf-syntax-ns#type
TraditionalWarrant,CoveredWarrant,owl#disjointWith
hasOversubscribeOption,has oversubscribe option,rdf-schema#label
SubscriptionRight,"privileges allotted to existing security holders, entitling them to subscribe to new securities at a price normally lower than the prevailing market price",core#definition
BarrierInstrumentBasedMiniFutureCertificate,owl#Class,22-rdf-syntax-ns#type
BondSubscriptionRight,owl#Class,22-rdf-syntax-ns#type
PreferredShareSubscriptionRight,subscription right entitling existing preferred shareholders to subscribe to new securities at a price normally lower than the prevailing market price,core#definition
Nfd77363ba83f4189af003c9b86f20ab8,0,owl#minQualifiedCardinality
Na351ad4e8abc483688902b52082bb40d,owl#Restriction,22-rdf-syntax-ns#type
ShortMiniFutureCertificate,MiniFutureCertificate,rdf-schema#subClassOf
CallWarrant,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019.",adaptedFrom
BondPurchaseRight,purchase right that gives a prospective acquiree's bondholders the right to buy bonds of the firm or bonds of anyone who acquires the firm at a deep discount to their fair market value,core#definition
AllotmentRightFormula,Note that there may be a combination of a rule expressed in text as well as an expression or more complex formula embedded in a contract for making this determination.,explanatoryNote
BarrierUnderlyingMiniFutureCertificate,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",adaptedFrom
Warrant,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",adaptedFrom
N5129fef323cf47ec992fd32cfa7c1e09,owl#Restriction,22-rdf-syntax-ns#type
PrivateWarrant,private warrant,rdf-schema#label
Na7c029f082894a38b57f9fddc1f5a857,owl#Restriction,22-rdf-syntax-ns#type
CommonShareSubscriptionRight,Ncea4e59946094cfc8e14c6e4ff98b5d3,rdf-schema#subClassOf
CompanyWarrant,company warrant,rdf-schema#label
AllotmentRightFormula,allotment right formula,rdf-schema#label
N7a65bb926ffd4066b4b7ca1df80db694,owl#Restriction,22-rdf-syntax-ns#type
