id,type,name
MiniFutureCertificate,Entity,MiniFutureCertificate
N4799dabfbd6e4d89a00402f06bbed6fc,Entity,N4799dabfbd6e4d89a00402f06bbed6fc
warrant that may be traded over the counter (OTC) or through an exchange,Entity,warrant that may be traded over the counter (OTC) or through an exchange
"RightsAndWarrants.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities.",Entity,"RightsAndWarrants.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities."
PreferredConvertibleShareSubscriptionRight,Entity,PreferredConvertibleShareSubscriptionRight
NegotiableSecurity,Entity,NegotiableSecurity
bonus right,Entity,bonus right
anti-dilution right,Entity,anti-dilution right
call put warrant,Entity,call put warrant
perpetual warrant,Entity,perpetual warrant
NonNegotiableSecurity,Entity,NonNegotiableSecurity
preferred share purchase right,Entity,preferred share purchase right
Nb1ebf2aab56749b8a2c1a7050e3f306a,Entity,Nb1ebf2aab56749b8a2c1a7050e3f306a
RightsAndWarrants.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,RightsAndWarrants.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
RightsAndWarrants.rdf version of this ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,RightsAndWarrants.rdf version of this ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
owl#Restriction,Entity,owl#Restriction
PreferredShareSubscriptionRight,Entity,PreferredShareSubscriptionRight
long mini-future certificate,Entity,long mini-future certificate
AllotmentRight,Entity,AllotmentRight
"entitlement that permits the holder to purchase a specified amount of a financial instrument, commodity, currency or other asset during a specified period at a specified price",Entity,"entitlement that permits the holder to purchase a specified amount of a financial instrument, commodity, currency or other asset during a specified period at a specified price"
Nfd77363ba83f4189af003c9b86f20ab8,Entity,Nfd77363ba83f4189af003c9b86f20ab8
common convertible share purchase right,Entity,common convertible share purchase right
Nac12979c1f6d4ca88be8dfaf0ef23d0e,Entity,Nac12979c1f6d4ca88be8dfaf0ef23d0e
isIssuedBy,Entity,isIssuedBy
"A subscription rights issue increases the number of shares in the market, thus leading to a dilution in each share's value.",Entity,"A subscription rights issue increases the number of shares in the market, thus leading to a dilution in each share's value."
isIssuedInForm,Entity,isIssuedInForm
Warrants are for any kind of instrument. Warrants may be privately issued and may not necessarily be traded on an exchange.,Entity,Warrants are for any kind of instrument. Warrants may be privately issued and may not necessarily be traded on an exchange.
has conversion ratio,Entity,has conversion ratio
isPlayedBy,Entity,isPlayedBy
BondSubscriptionRight,Entity,BondSubscriptionRight
preferred convertible share subscription right,Entity,preferred convertible share subscription right
allotment right formula,Entity,allotment right formula
CallPutWarrant,Entity,CallPutWarrant
N7451f74738d34530988db5d0308b43cc,Entity,N7451f74738d34530988db5d0308b43cc
"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",Entity,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019"
"The strike price, in the case of a perpetual warrant, is usually higher than the market value of the underlying asset at the time of issue.",Entity,"The strike price, in the case of a perpetual warrant, is usually higher than the market value of the underlying asset at the time of issue."
NakedWarrant,Entity,NakedWarrant
warrant that permits the holder to acquire a specified amount of an equity instrument during a specified period at a specified price,Entity,warrant that permits the holder to acquire a specified amount of an equity instrument during a specified period at a specified price
subscription right entitling existing preferred shareholders to subscribe to new securities at a price normally lower than the prevailing market price,Entity,subscription right entitling existing preferred shareholders to subscribe to new securities at a price normally lower than the prevailing market price
warrant that is listed on a securities exchange,Entity,warrant that is listed on a securities exchange
bond purchase right,Entity,bond purchase right
allotment right,Entity,allotment right
BarrierOption,Entity,BarrierOption
warrant that permits the holder to acquire a specified amount in a certain currency at a specified exchange rate during a specified period,Entity,warrant that permits the holder to acquire a specified amount in a certain currency at a specified exchange rate during a specified period
"The Rights and Warrants ontology covers a range of financial instruments providing the holder with the privilege to subscribe to or receive specific assets on terms specified. These include rights (privileges) extended to existing security holders to make new securities available to them at reduced prices or for free, and warrants whereby the holder can purchase or sell back a given quantity of the instrument, commodity or currency during a specified period at a pre-defined price.",Entity,"The Rights and Warrants ontology covers a range of financial instruments providing the holder with the privilege to subscribe to or receive specific assets on terms specified. These include rights (privileges) extended to existing security holders to make new securities available to them at reduced prices or for free, and warrants whereby the holder can purchase or sell back a given quantity of the instrument, commodity or currency during a specified period at a pre-defined price."
owl#DatatypeProperty,Entity,owl#DatatypeProperty
TraditionalWarrant,Entity,TraditionalWarrant
MIT,Entity,MIT
ShortMiniFutureCertificate,Entity,ShortMiniFutureCertificate
ExchangeTradedWarrant,Entity,ExchangeTradedWarrant
N7bbfc979e3fc46b4874ed211d86f110b,Entity,N7bbfc979e3fc46b4874ed211d86f110b
Ndb3e179ecb3d4c17986bc3ddcd06762f,Entity,Ndb3e179ecb3d4c17986bc3ddcd06762f
Entitlement,Entity,Entitlement
short mini-future certificate,Entity,short mini-future certificate
indicates whether the holders of the rights instrument may get securities in the event that other right holders choose not to subscribe,Entity,indicates whether the holders of the rights instrument may get securities in the event that other right holders choose not to subscribe
mini-future certificate that typically entitles the holder to acquire specific underlying assets during a specified period at a specified price,Entity,mini-future certificate that typically entitles the holder to acquire specific underlying assets during a specified period at a specified price
hasExerciseTerms,Entity,hasExerciseTerms
Warrant,Entity,Warrant
CurrencyWarrant,Entity,CurrencyWarrant
"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019.",Entity,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, 2019."
"purchase right that gives a prospective acquiree's preferred, convertible shareholders the right to buy preferred, convertible shares of the firm or preferred, convertible shares of anyone who acquires the firm at a deep discount to their fair market value",Entity,"purchase right that gives a prospective acquiree's preferred, convertible shareholders the right to buy preferred, convertible shares of the firm or preferred, convertible shares of anyone who acquires the firm at a deep discount to their fair market value"
exchange-traded warrant,Entity,exchange-traded warrant
RightsAndWarrants.rdf version of this ontology was modified to add concepts including mini-future certificate and constant leverage certificate.,Entity,RightsAndWarrants.rdf version of this ontology was modified to add concepts including mini-future certificate and constant leverage certificate.
Ncf9843b2088243d0a9d1a85ed6d3a369,Entity,Ncf9843b2088243d0a9d1a85ed6d3a369
N4d4e904da78a4eb1b5b45e2aad5897c3,Entity,N4d4e904da78a4eb1b5b45e2aad5897c3
"Commodity Warrants Australia (CWA) sells warrants based on 12 commodities and financial markets - crude oil, gold, silver, live cattle, corn, orange juice, soy, coffee, cocoa, the Dow Jones Industrial Average, the NASDAQ Composite Index and the S&P 500 Index.",Entity,"Commodity Warrants Australia (CWA) sells warrants based on 12 commodities and financial markets - crude oil, gold, silver, live cattle, corn, orange juice, soy, coffee, cocoa, the Dow Jones Industrial Average, the NASDAQ Composite Index and the S&P 500 Index."
"The underlying is usually shares but this not necessarily the case. Also known as ""Poison Pill"".",Entity,"The underlying is usually shares but this not necessarily the case. Also known as ""Poison Pill""."
subscription right entitling existing common shareholders to subscribe to new securities at a price normally lower than the prevailing market price,Entity,subscription right entitling existing common shareholders to subscribe to new securities at a price normally lower than the prevailing market price
PrivateWarrant,Entity,PrivateWarrant
N549290795ab748a6ac4140ab3bbc8b30,Entity,N549290795ab748a6ac4140ab3bbc8b30
hasUnderlier,Entity,hasUnderlier
bond subscription right,Entity,bond subscription right
traditional warrant,Entity,traditional warrant
DebtInstrumentDerivative,Entity,DebtInstrumentDerivative
ConvertiblePreferredShare,Entity,ConvertiblePreferredShare
mini-future certificate,Entity,mini-future certificate
warrant that permits the holder to acquire a specified amount of a commodity during a specified period at a specified price,Entity,warrant that permits the holder to acquire a specified amount of a commodity during a specified period at a specified price
subscription privilege,Entity,subscription privilege
"entitlement that combines the structure of an open-end certificate with a leverage option with no fixed term, making leverage available without a term restriction, and whose payoff depends on whether or not the underlying asset has reached or exceeded a predetermined price",Entity,"entitlement that combines the structure of an open-end certificate with a leverage option with no fixed term, making leverage available without a term restriction, and whose payoff depends on whether or not the underlying asset has reached or exceeded a predetermined price"
equity warrant,Entity,equity warrant
CoveredWarrant,Entity,CoveredWarrant
naked warrant,Entity,naked warrant
"purchase right that gives a prospective acquiree's common, convertible shareholders the right to buy common, convertible shares of the firm or common, convertible shares of anyone who acquires the firm at a deep discount to their fair market value",Entity,"purchase right that gives a prospective acquiree's common, convertible shareholders the right to buy common, convertible shares of the firm or common, convertible shares of anyone who acquires the firm at a deep discount to their fair market value"
Note that there may be a combination of a rule expressed in text as well as an expression or more complex formula embedded in a contract for making this determination.,Entity,Note that there may be a combination of a rule expressed in text as well as an expression or more complex formula embedded in a contract for making this determination.
preemptive right,Entity,preemptive right
IndexWarrant,Entity,IndexWarrant
equity warrant to purchase shares of capital stock issued by the corporation whose equity is the underlying asset,Entity,equity warrant to purchase shares of capital stock issued by the corporation whose equity is the underlying asset
"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued without an accompanying security by a third party that does not hold as many securities as would be required if all the warrants are exercised",Entity,"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued without an accompanying security by a third party that does not hold as many securities as would be required if all the warrants are exercised"
mini-future certificate that immediately expires if the barrier underlying level is breached during product lifetime,Entity,mini-future certificate that immediately expires if the barrier underlying level is breached during product lifetime
XMLSchema#decimal,Entity,XMLSchema#decimal
hasConversionRatio,Entity,hasConversionRatio
common convertible share subscription right,Entity,common convertible share subscription right
EquityDerivative,Entity,EquityDerivative
company warrant,Entity,company warrant
PreferredSharePurchaseRight,Entity,PreferredSharePurchaseRight
CommonConvertibleSharePurchaseRight,Entity,CommonConvertibleSharePurchaseRight
"Covered warrants are very similar to options in that they can be created to allow holders to benefit from either rising prices or falling prices, by having both put and call warrants. They can also be created on a wide variety of underlying instruments, not just equities and they are fairly standardised and are mostly traded on exchanges. The main difference is that warrants tend to have longer maturity dates, typically measured in years instead of months (as with options), and are easier to access for individuals as they can be bought and sold in the same way as shares in the stock exchange.",Entity,"Covered warrants are very similar to options in that they can be created to allow holders to benefit from either rising prices or falling prices, by having both put and call warrants. They can also be created on a wide variety of underlying instruments, not just equities and they are fairly standardised and are mostly traded on exchanges. The main difference is that warrants tend to have longer maturity dates, typically measured in years instead of months (as with options), and are easier to access for individuals as they can be bought and sold in the same way as shares in the stock exchange."
"warrant that either does not specify call or put features, or that explicitly includes both a call and put feature",Entity,"warrant that either does not specify call or put features, or that explicitly includes both a call and put feature"
Na9529f6d0fbf44d0a506480eedee82a5,Entity,Na9529f6d0fbf44d0a506480eedee82a5
private warrant,Entity,private warrant
"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued by the issuer of the underlying instrument",Entity,"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued by the issuer of the underlying instrument"
N99d8722f60b84d8a828912831d5a3d13,Entity,N99d8722f60b84d8a828912831d5a3d13
subscription right entitling existing holders of multiple securities to subscribe to new securities at a price normally lower than the prevailing market price,Entity,subscription right entitling existing holders of multiple securities to subscribe to new securities at a price normally lower than the prevailing market price
ListedSecurity,Entity,ListedSecurity
has oversubscribe option,Entity,has oversubscribe option
mini-future certificate that entitles the holder to acquire cash in exchange for specific underlying assets,Entity,mini-future certificate that entitles the holder to acquire cash in exchange for specific underlying assets
warrant that permits the holder to acquire a specified amount of a debt instrument or related debt observable a specified period at a specified price,Entity,warrant that permits the holder to acquire a specified amount of a debt instrument or related debt observable a specified period at a specified price
BasketWarrant,Entity,BasketWarrant
Ncea4e59946094cfc8e14c6e4ff98b5d3,Entity,Ncea4e59946094cfc8e14c6e4ff98b5d3
"entitlement that combines the structure of an open-end certificate with a leverage option with no fixed term, making leverage available without a term restriction, without a knock-out barrier dependency",Entity,"entitlement that combines the structure of an open-end certificate with a leverage option with no fixed term, making leverage available without a term restriction, without a knock-out barrier dependency"
"warrant giving the buyer (holder) the right, but not the obligation, to acquire specific underlying assets during a specified period at a specified price",Entity,"warrant giving the buyer (holder) the right, but not the obligation, to acquire specific underlying assets during a specified period at a specified price"
N5129fef323cf47ec992fd32cfa7c1e09,Entity,N5129fef323cf47ec992fd32cfa7c1e09
"The price of a mini-future always corresponds to its intrinsic value, i.e. the capital outlay, plus the bid-ask spread. The financing costs associated with building up the leverage effect are offset against the capital outlay on a daily basis, thereby eliminating the need for a premium. Investors have to pay only financing costs they actually utilize. In contrast to options, factors like volatility have no influence at all on the price of mini-futures.",Entity,"The price of a mini-future always corresponds to its intrinsic value, i.e. the capital outlay, plus the bid-ask spread. The financing costs associated with building up the leverage effect are offset against the capital outlay on a daily basis, thereby eliminating the need for a premium. Investors have to pay only financing costs they actually utilize. In contrast to options, factors like volatility have no influence at all on the price of mini-futures."
Option,Entity,Option
PurchaseRight,Entity,PurchaseRight
PreferredShare,Entity,PreferredShare
"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued without an accompanying security by a third party that holds as many securities as would be required if all the warrants are exercised",Entity,"warrant that gives the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a specified price (the strike or exercise price) by a predetermined date, issued without an accompanying security by a third party that holds as many securities as would be required if all the warrants are exercised"
commodity warrant,Entity,commodity warrant
PublicWarrant,Entity,PublicWarrant
SecurityBasedDerivative,Entity,SecurityBasedDerivative
basket warrant,Entity,basket warrant
CompanyWarrant,Entity,CompanyWarrant
LongMiniFutureCertificate,Entity,LongMiniFutureCertificate
SubscriptionRight,Entity,SubscriptionRight
FinancialInstitution,Entity,FinancialInstitution
debt warrant,Entity,debt warrant
CombinedInstrumentsSubscriptionRight,Entity,CombinedInstrumentsSubscriptionRight
Nba6735d3a9a142849653e850df51eb10,Entity,Nba6735d3a9a142849653e850df51eb10
PreferredConvertibleSharePurchaseRight,Entity,PreferredConvertibleSharePurchaseRight
DebtWarrant,Entity,DebtWarrant
AllotmentRightFormula,Entity,AllotmentRightFormula
N281e0a0701c04ed1b68ea462c17e606c,Entity,N281e0a0701c04ed1b68ea462c17e606c
subscription right entitling existing common convertible shareholders to subscribe to new securities at a price normally lower than the prevailing market price,Entity,subscription right entitling existing common convertible shareholders to subscribe to new securities at a price normally lower than the prevailing market price
PutWarrant,Entity,PutWarrant
Na351ad4e8abc483688902b52082bb40d,Entity,Na351ad4e8abc483688902b52082bb40d
PerpetualWarrant,Entity,PerpetualWarrant
warrant that is not tradable,Entity,warrant that is not tradable
Release,Entity,Release
warrant that permits the holder to acquire a package or group of assets at a specified price during a specified period,Entity,warrant that permits the holder to acquire a package or group of assets at a specified price during a specified period
,Entity,
EconomicIndicator,Entity,EconomicIndicator
call warrant,Entity,call warrant
currency warrant,Entity,currency warrant
"In contrast to traditional equity warrants, with covered warrants, no new issuance of common stock occurs if the warrant is exercised. The underlying shares of common stock are usually either owned by the issuer of the covered warrants or the issuer has a mechanism, such as owning equity warrants for the underlying shares, through which they can obtain the shares.",Entity,"In contrast to traditional equity warrants, with covered warrants, no new issuance of common stock occurs if the warrant is exercised. The underlying shares of common stock are usually either owned by the issuer of the covered warrants or the issuer has a mechanism, such as owning equity warrants for the underlying shares, through which they can obtain the shares."
"privileges allotted to existing security holders, entitling them to receive new securities free of charge",Entity,"privileges allotted to existing security holders, entitling them to receive new securities free of charge"
common share subscription right,Entity,common share subscription right
CombinedInstrumentsPurchaseRight,Entity,CombinedInstrumentsPurchaseRight
CurrencyDerivative,Entity,CurrencyDerivative
N27ad2c1776f34c53902891b69c3085a5,Entity,N27ad2c1776f34c53902891b69c3085a5
purchase right that gives a prospective acquiree's holders of multiple securities the right to buy securities of the firm or securities of anyone who acquires the firm at a deep discount to their fair market value,Entity,purchase right that gives a prospective acquiree's holders of multiple securities the right to buy securities of the firm or securities of anyone who acquires the firm at a deep discount to their fair market value
"warrant without an expiration date, giving the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a certain strike price",Entity,"warrant without an expiration date, giving the holder the right, but not the obligation, to buy (call warrant) or to sell (put warrant) an underlying asset at a certain strike price"
"privileges allotted to existing security holders, entitling them to subscribe to new securities at a price normally lower than the prevailing market price",Entity,"privileges allotted to existing security holders, entitling them to subscribe to new securities at a price normally lower than the prevailing market price"
CommonShareSubscriptionRight,Entity,CommonShareSubscriptionRight
ReferenceIndex,Entity,ReferenceIndex
mini-future certificate that immediately expires if the barrier instrument trading price level is breached during product lifetime,Entity,mini-future certificate that immediately expires if the barrier instrument trading price level is breached during product lifetime
Expression,Entity,Expression
company-warrant,Entity,company-warrant
N2d10c226a8ce432cbfd9688d0f2fdd71,Entity,N2d10c226a8ce432cbfd9688d0f2fdd71
N34913fa04c8e4392a1f5980f2e5eb697,Entity,N34913fa04c8e4392a1f5980f2e5eb697
hasExpression,Entity,hasExpression
subscription right,Entity,subscription right
CallWarrant,Entity,CallWarrant
common share purchase right,Entity,common share purchase right
CommonShare,Entity,CommonShare
barrier instrument-based mini-future certificate,Entity,barrier instrument-based mini-future certificate
N57845fb450f349b487c90a701a627ca2,Entity,N57845fb450f349b487c90a701a627ca2
Ned4ed117c2334461b85c1c0e114dc7ef,Entity,Ned4ed117c2334461b85c1c0e114dc7ef
public warrant,Entity,public warrant
Na7c029f082894a38b57f9fddc1f5a857,Entity,Na7c029f082894a38b57f9fddc1f5a857
BarrierUnderlyingMiniFutureCertificate,Entity,BarrierUnderlyingMiniFutureCertificate
N9bb91d06056e408a92d51888d29abca8,Entity,N9bb91d06056e408a92d51888d29abca8
N0414e73216414dc399758eec92b52d7a,Entity,N0414e73216414dc399758eec92b52d7a
BondPurchaseRight,Entity,BondPurchaseRight
XMLSchema#boolean,Entity,XMLSchema#boolean
purchase right that gives a prospective acquiree's preferred shareholders the right to buy preferred shares of the firm or preferred shares of anyone who acquires the firm at a deep discount to their fair market value,Entity,purchase right that gives a prospective acquiree's preferred shareholders the right to buy preferred shares of the firm or preferred shares of anyone who acquires the firm at a deep discount to their fair market value
combined instruments subscription right,Entity,combined instruments subscription right
"rule applied to calculate the number of securities for an allotment right, typically based on the number of these instruments that the holder holds",Entity,"rule applied to calculate the number of securities for an allotment right, typically based on the number of these instruments that the holder holds"
ConstantLeverageCertificate,Entity,ConstantLeverageCertificate
preferred convertible share purchase right,Entity,preferred convertible share purchase right
N7f5a8099272c41a590221ebf452d9c60,Entity,N7f5a8099272c41a590221ebf452d9c60
combined instruments purchase right,Entity,combined instruments purchase right
"Allotment generally means the distribution of equity, particularly shares granted to a participating underwriting firm during an initial public offering (IPO).",Entity,"Allotment generally means the distribution of equity, particularly shares granted to a participating underwriting firm during an initial public offering (IPO)."
hasOversubscribeOption,Entity,hasOversubscribeOption
indicates the factor used to determine the number of warrants needed in order to buy or sell a specific number of securities or investment units,Entity,indicates the factor used to determine the number of warrants needed in order to buy or sell a specific number of securities or investment units
CommodityDerivative,Entity,CommodityDerivative
put warrant,Entity,put warrant
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
N06d2a2e6b2eb453893d20a518192d66a,Entity,N06d2a2e6b2eb453893d20a518192d66a
covered warrant,Entity,covered warrant
Rights and Warrants Ontology,Entity,Rights and Warrants Ontology
CommodityWarrant,Entity,CommodityWarrant
"Copyright (c) 2015-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2024 Object Management Group, Inc."
Na40a572cca954e4d883136c2a10f9cfc,Entity,Na40a572cca954e4d883136c2a10f9cfc
N7a65bb926ffd4066b4b7ca1df80db694,Entity,N7a65bb926ffd4066b4b7ca1df80db694
Nebaffd4d490541278eab4a12ab0b3dd3,Entity,Nebaffd4d490541278eab4a12ab0b3dd3
BarrierInstrumentBasedMiniFutureCertificate,Entity,BarrierInstrumentBasedMiniFutureCertificate
warrant,Entity,warrant
owl#Class,Entity,owl#Class
index warrant,Entity,index warrant
warrant that permits the holder to acquire a specified amount based on the performance of an index during a specified period at a specified price,Entity,warrant that permits the holder to acquire a specified amount based on the performance of an index during a specified period at a specified price
constant leverage certificate,Entity,constant leverage certificate
N4120ef07b64a4700b52c194358fa86a9,Entity,N4120ef07b64a4700b52c194358fa86a9
CommonSharePurchaseRight,Entity,CommonSharePurchaseRight
CommonConvertibleShareSubscriptionRight,Entity,CommonConvertibleShareSubscriptionRight
SecurityForm,Entity,SecurityForm
"warrant giving the buyer (holder) the right, but not the obligation, to sell the assets specified (i.e., acquire cash in exchange for the underlying assets) back to the issuer at a fixed price or formula, on or before a specified date",Entity,"warrant giving the buyer (holder) the right, but not the obligation, to sell the assets specified (i.e., acquire cash in exchange for the underlying assets) back to the issuer at a fixed price or formula, on or before a specified date"
EquityWarrant,Entity,EquityWarrant
