id,type,name
N5a927b029f4c49959b08c2ee93f65a42,Entity,N5a927b029f4c49959b08c2ee93f65a42
N35594f96b5234407a4338554876bd671,Entity,N35594f96b5234407a4338554876bd671
LocalLinesOfCreditDebtBasket,Entity,LocalLinesOfCreditDebtBasket
equity observable,Entity,equity observable
The general debt basket has increasingly become a basket for additional secured debt. Lenders providing funding to companies need to carefully consider whether any previous debt incurred by the company using this basket has reduced the available capacity.,Entity,The general debt basket has increasingly become a basket for additional secured debt. Lenders providing funding to companies need to carefully consider whether any previous debt incurred by the company using this basket has reduced the available capacity.
owl#Restriction,Entity,owl#Restriction
"In U.S. law, a non-guarantor debt basket is a shared basket in an amount not to exceed the greater of $150,000,000 and 20% of Consolidated EBITDA for the most recently ended Test Period at any time outstanding that may be used for (A) the incurrence of certain Indebtedness by Restricted Subsidiaries that are not Loan Parties under Sections 6.01(a)(xii), 6.01(a)(xix) and 6.01(a)(xx) and (B) Secured Cash Management Obligations of any Restricted Subsidiary that is not a Loan Party.",Entity,"In U.S. law, a non-guarantor debt basket is a shared basket in an amount not to exceed the greater of $150,000,000 and 20% of Consolidated EBITDA for the most recently ended Test Period at any time outstanding that may be used for (A) the incurrence of certain Indebtedness by Restricted Subsidiaries that are not Loan Parties under Sections 6.01(a)(xii), 6.01(a)(xix) and 6.01(a)(xx) and (B) Secured Cash Management Obligations of any Restricted Subsidiary that is not a Loan Party."
ContributionDebtBasket,Entity,ContributionDebtBasket
N37aae93febce4646843bbb2076ada26c,Entity,N37aae93febce4646843bbb2076ada26c
contribution debt basket,Entity,contribution debt basket
N116d361a884a4ede8802cffcd8c85e8e,Entity,N116d361a884a4ede8802cffcd8c85e8e
non-guarantor debt basket,Entity,non-guarantor debt basket
"derivative instrument whose underlier is based on a security, including collections of securities and indices based on securities",Entity,"derivative instrument whose underlier is based on a security, including collections of securities and indices based on securities"
SecurityUnderlier,Entity,SecurityUnderlier
"A capitalized lease obligation basket is increasingly broadly drafted to include indebtedness incurred to finance the purchase, improvement, repair, renewal etc. of property (including the purchase of stock of a person owning such property).",Entity,"A capitalized lease obligation basket is increasingly broadly drafted to include indebtedness incurred to finance the purchase, improvement, repair, renewal etc. of property (including the purchase of stock of a person owning such property)."
GeneralDebtBasket,Entity,GeneralDebtBasket
N7caed8903aa2438a8a082e92e3fc7c71,Entity,N7caed8903aa2438a8a082e92e3fc7c71
BasketOfEquities,Entity,BasketOfEquities
TradableDebtInstrument,Entity,TradableDebtInstrument
CreditIndex,Entity,CreditIndex
isPlayedBy,Entity,isPlayedBy
DebtObservable,Entity,DebtObservable
N2303e185c9cc440b8dabda83357049e5,Entity,N2303e185c9cc440b8dabda83357049e5
N5525bf78772249bcad95062f8a1b11a6,Entity,N5525bf78772249bcad95062f8a1b11a6
ListedShare,Entity,ListedShare
BasketOfDebtInstruments,Entity,BasketOfDebtInstruments
MIT,Entity,MIT
local lines of credit debt basket,Entity,local lines of credit debt basket
Underlier,Entity,Underlier
"basket of debt instruments that may be relevant for companies with international operations, often permitting debt to be incurred by a non-guarantor restricted subsidiary",Entity,"basket of debt instruments that may be relevant for companies with international operations, often permitting debt to be incurred by a non-guarantor restricted subsidiary"
basket of debt instruments,Entity,basket of debt instruments
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
"security underlier that is debt-based, such as individual debt instruments, credit indices, and custom baskets of debt assets",Entity,"security underlier that is debt-based, such as individual debt instruments, credit indices, and custom baskets of debt assets"
IncrementalFacilityDebtBasket,Entity,IncrementalFacilityDebtBasket
RevolvingLineOfCredit,Entity,RevolvingLineOfCredit
credit facility debt basket,Entity,credit facility debt basket
capitalized lease obligation debt basket,Entity,capitalized lease obligation debt basket
hasUnderlier,Entity,hasUnderlier
security-based derivative,Entity,security-based derivative
DebtInstrumentDerivative,Entity,DebtInstrumentDerivative
N25a541b68e624780a914f0a468e860d9,Entity,N25a541b68e624780a914f0a468e860d9
EquityObservable,Entity,EquityObservable
"The incremental debt basket is available to borrowers and guarantors only; it cannot be used by non-guarantor entities to raise indebtedness. The size of the incremental debt basket varies depending on the size and creditworthiness of the credit group. The principle of a basket consists of allowing the borrower, up to a maximum determined amount, to make restricted payments, disposals or investments, or take on incremental debt. Commonly, a basket is expressed as subject to restrictions based on a fixed ('hard cap') amount (e.g., may not exceed EUR 5,000,000).",Entity,"The incremental debt basket is available to borrowers and guarantors only; it cannot be used by non-guarantor entities to raise indebtedness. The size of the incremental debt basket varies depending on the size and creditworthiness of the credit group. The principle of a basket consists of allowing the borrower, up to a maximum determined amount, to make restricted payments, disposals or investments, or take on incremental debt. Commonly, a basket is expressed as subject to restrictions based on a fixed ('hard cap') amount (e.g., may not exceed EUR 5,000,000)."
Security-Based Derivatives Ontology,Entity,Security-Based Derivatives Ontology
debt instrument derivative,Entity,debt instrument derivative
Nba11030c392b4ec48aded8418a32f8ca,Entity,Nba11030c392b4ec48aded8418a32f8ca
N8aef4ee57d4d40ffac467156d6b8ae5f,Entity,N8aef4ee57d4d40ffac467156d6b8ae5f
CapitalizedLeaseObligationDebtBasket,Entity,CapitalizedLeaseObligationDebtBasket
"basket of debt instruments whose constituents are contracts entitling a renter the temporary use of an asset and, in accounting terms, has asset ownership characteristics",Entity,"basket of debt instruments whose constituents are contracts entitling a renter the temporary use of an asset and, in accounting terms, has asset ownership characteristics"
EquityDerivative,Entity,EquityDerivative
N7a63286aa6ad4c26ad88564fae8deab3,Entity,N7a63286aa6ad4c26ad88564fae8deab3
N1c5b298491e14fc2b49322275ff93f20,Entity,N1c5b298491e14fc2b49322275ff93f20
ratio debt basket,Entity,ratio debt basket
RatioDebtBasket,Entity,RatioDebtBasket
comprises,Entity,comprises
hasConstituent,Entity,hasConstituent
security-based derivative whose underlier is a debt observable,Entity,security-based derivative whose underlier is a debt observable
Lease,Entity,Lease
CreditFacilityDebtBasket,Entity,CreditFacilityDebtBasket
Nb965361736b443c98758a21596c1ced9,Entity,Nb965361736b443c98758a21596c1ced9
Nb81a0e2a20504a108efc098e0fd0192f,Entity,Nb81a0e2a20504a108efc098e0fd0192f
N704798019603434bbf9c2fcc9d52eaaa,Entity,N704798019603434bbf9c2fcc9d52eaaa
SecurityBasedDerivative,Entity,SecurityBasedDerivative
Nfd6157c038ec41aab77078c0dd4f1721,Entity,Nfd6157c038ec41aab77078c0dd4f1721
"SecurityBasedDerivatives.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"SecurityBasedDerivatives.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
SecurityBasedDerivatives.rdf version of this ontology was modified to augment the concept of a basket of debt instruments with several variants (SEC-181).,Entity,SecurityBasedDerivatives.rdf version of this ontology was modified to augment the concept of a basket of debt instruments with several variants (SEC-181).
debt observable,Entity,debt observable
"SecurityBasedDerivatives.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities.",Entity,"SecurityBasedDerivatives.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary, to move the definition of an underlier and the related property, has underlier, to financial instruments so that these concepts are also available for use in relation to pool-backed securities."
N085cf152d5f64228842ca0fc0c2c4e7f,Entity,N085cf152d5f64228842ca0fc0c2c4e7f
Release,Entity,Release
"This ontology defines common concepts for derivatives based on securities as their underliers, including those based on indices or baskets of these assets.",Entity,"This ontology defines common concepts for derivatives based on securities as their underliers, including those based on indices or baskets of these assets."
,Entity,
security-based derivative whose underlier is an equity observable,Entity,security-based derivative whose underlier is an equity observable
"basket of debt instruments that include a provision allowing certain subsidiaries within a corporate group, which are not part of the loan guarantee, to incur a specified amount of indebtedness",Entity,"basket of debt instruments that include a provision allowing certain subsidiaries within a corporate group, which are not part of the loan guarantee, to incur a specified amount of indebtedness"
EquityIndex,Entity,EquityIndex
ReferenceIndex,Entity,ReferenceIndex
general debt basket,Entity,general debt basket
N082c4032e6c941adad14b4c49044dd80,Entity,N082c4032e6c941adad14b4c49044dd80
